Date,U34KNO
2011-01-01,6754000000.00
2011-02-01,6738000000.00
2011-03-01,9105000000.00
2011-04-01,6649000000.00
2011-05-01,6886000000.00
2011-06-01,7996000000.00
2011-07-01,6549000000.00
2011-08-01,6740000000.00
2011-09-01,9120000000.00
2011-10-01,7177000000.00
2011-11-01,6912000000.00
2011-12-01,9020000000.00
2012-01-01,7740000000.00
2012-02-01,8162000000.00
2012-03-01,9678000000.00
2012-04-01,8309000000.00
2012-05-01,8505000000.00
2012-06-01,8878000000.00
2012-07-01,7125000000.00
2012-08-01,6574000000.00
2012-09-01,9084000000.00
2012-10-01,7047000000.00
2012-11-01,7376000000.00
2012-12-01,9332000000.00
2013-01-01,6924000000.00
2013-02-01,7576000000.00
2013-03-01,9193000000.00
2013-04-01,8199000000.00
2013-05-01,8463000000.00
2013-06-01,9494000000.00
2013-07-01,7276000000.00
2013-08-01,7189000000.00
2013-09-01,9522000000.00
2013-10-01,7749000000.00
2013-11-01,7827000000.00
2013-12-01,9733000000.00
2014-01-01,7352000000.00
2014-02-01,7636000000.00
2014-03-01,9767000000.00
2014-04-01,7297000000.00
2014-05-01,7596000000.00
2014-06-01,9473000000.00
2014-07-01,7336000000.00
2014-08-01,7585000000.00
2014-09-01,9945000000.00
2014-10-01,7709000000.00
2014-11-01,7716000000.00
2014-12-01,9900000000.00
2015-01-01,6679000000.00
2015-02-01,6842000000.00
2015-03-01,9696000000.00
2015-04-01,6924000000.00
2015-05-01,7631000000.00
2015-06-01,8907000000.00
2015-07-01,6797000000.00
2015-08-01,7090000000.00
2015-09-01,9177000000.00
2015-10-01,7206000000.00
2015-11-01,7327000000.00
2015-12-01,9437000000.00
2016-01-01,6569000000.00
2016-02-01,7056000000.00
2016-03-01,9361000000.00
2016-04-01,6947000000.00
2016-05-01,7669000000.00
2016-06-01,8878000000.00
2016-07-01,7036000000.00
2016-08-01,7209000000.00
2016-09-01,9288000000.00
2016-10-01,7444000000.00
2016-11-01,7601000000.00
2016-12-01,9264000000.00
2017-01-01,6823000000.00
2017-02-01,7257000000.00
2017-03-01,9220000000.00
2017-04-01,7096000000.00
2017-05-01,7722000000.00
2017-06-01,8831000000.00
2017-07-01,7464000000.00
2017-08-01,7512000000.00
2017-09-01,10078000000.00
2017-10-01,8125000000.00
2017-11-01,8795000000.00
2017-12-01,10450000000.00
2018-01-01,7670000000.00
2018-02-01,7848000000.00
2018-03-01,10423000000.00
2018-04-01,8144000000.00
