Date,UBTPNO
1992-02-01,11072000000.00
1992-03-01,11454000000.00
1992-04-01,12215000000.00
1992-05-01,11849000000.00
1992-06-01,11682000000.00
1992-07-01,8611000000.00
1992-08-01,10582000000.00
1992-09-01,10780000000.00
1992-10-01,12002000000.00
1992-11-01,11513000000.00
1992-12-01,10168000000.00
1993-01-01,11326000000.00
1993-02-01,13097000000.00
1993-03-01,13554000000.00
1993-04-01,13163000000.00
1993-05-01,13016000000.00
1993-06-01,13081000000.00
1993-07-01,8839000000.00
1993-08-01,12058000000.00
1993-09-01,13053000000.00
1993-10-01,14401000000.00
1993-11-01,13415000000.00
1993-12-01,12659000000.00
1994-01-01,13617000000.00
1994-02-01,15550000000.00
1994-03-01,15920000000.00
1994-04-01,14742000000.00
1994-05-01,15113000000.00
1994-06-01,15251000000.00
1994-07-01,10959000000.00
1994-08-01,15454000000.00
1994-09-01,14836000000.00
1994-10-01,15620000000.00
1994-11-01,15115000000.00
1994-12-01,14118000000.00
1995-01-01,15240000000.00
1995-02-01,16765000000.00
1995-03-01,17433000000.00
1995-04-01,15451000000.00
1995-05-01,15156000000.00
1995-06-01,15961000000.00
1995-07-01,10225000000.00
1995-08-01,16247000000.00
1995-09-01,16485000000.00
1995-10-01,16219000000.00
1995-11-01,15927000000.00
1995-12-01,14407000000.00
1996-01-01,15869000000.00
1996-02-01,17062000000.00
1996-03-01,15168000000.00
1996-04-01,16768000000.00
1996-05-01,17002000000.00
1996-06-01,17329000000.00
1996-07-01,12538000000.00
1996-08-01,16319000000.00
1996-09-01,16778000000.00
1996-10-01,16393000000.00
1996-11-01,16327000000.00
1996-12-01,13351000000.00
1997-01-01,16990000000.00
1997-02-01,18347000000.00
1997-03-01,17118000000.00
1997-04-01,17645000000.00
1997-05-01,16952000000.00
1997-06-01,17144000000.00
1997-07-01,12392000000.00
1997-08-01,16924000000.00
1997-09-01,17485000000.00
1997-10-01,18628000000.00
1997-11-01,17204000000.00
1997-12-01,15545000000.00
1998-01-01,16516000000.00
1998-02-01,19090000000.00
1998-03-01,18988000000.00
1998-04-01,18052000000.00
1998-05-01,18436000000.00
1998-06-01,16064000000.00
1998-07-01,10740000000.00
1998-08-01,17432000000.00
1998-09-01,19355000000.00
1998-10-01,20619000000.00
1998-11-01,19234000000.00
1998-12-01,17083000000.00
1999-01-01,19289000000.00
1999-02-01,20193000000.00
1999-03-01,20355000000.00
1999-04-01,19815000000.00
1999-05-01,19426000000.00
1999-06-01,20582000000.00
1999-07-01,13224000000.00
1999-08-01,20460000000.00
1999-09-01,20122000000.00
