Date,U34DTI
1992-01-01,5220000000.00
1992-02-01,5202000000.00
1992-03-01,5123000000.00
1992-04-01,5207000000.00
1992-05-01,5400000000.00
1992-06-01,5345000000.00
1992-07-01,5502000000.00
1992-08-01,5683000000.00
1992-09-01,5738000000.00
1992-10-01,5643000000.00
1992-11-01,5753000000.00
1992-12-01,5681000000.00
1993-01-01,5810000000.00
1993-02-01,5859000000.00
1993-03-01,5782000000.00
1993-04-01,5929000000.00
1993-05-01,6084000000.00
1993-06-01,5888000000.00
1993-07-01,6026000000.00
1993-08-01,6167000000.00
1993-09-01,5996000000.00
1993-10-01,6207000000.00
1993-11-01,6357000000.00
1993-12-01,6024000000.00
1994-01-01,6274000000.00
1994-02-01,6651000000.00
1994-03-01,6654000000.00
1994-04-01,6947000000.00
1994-05-01,7078000000.00
1994-06-01,6947000000.00
1994-07-01,7174000000.00
1994-08-01,7338000000.00
1994-09-01,7122000000.00
1994-10-01,7311000000.00
1994-11-01,7378000000.00
1994-12-01,7267000000.00
1995-01-01,7736000000.00
1995-02-01,8148000000.00
1995-03-01,8014000000.00
1995-04-01,8317000000.00
1995-05-01,8500000000.00
1995-06-01,8133000000.00
1995-07-01,8400000000.00
1995-08-01,8483000000.00
1995-09-01,8702000000.00
1995-10-01,8983000000.00
1995-11-01,8585000000.00
1995-12-01,8311000000.00
1996-01-01,8743000000.00
1996-02-01,8598000000.00
1996-03-01,8524000000.00
1996-04-01,8996000000.00
1996-05-01,9021000000.00
1996-06-01,8691000000.00
1996-07-01,8646000000.00
1996-08-01,8936000000.00
1996-09-01,8775000000.00
1996-10-01,8857000000.00
1996-11-01,8819000000.00
1996-12-01,8275000000.00
1997-01-01,8804000000.00
1997-02-01,9027000000.00
1997-03-01,9016000000.00
1997-04-01,9504000000.00
1997-05-01,9918000000.00
1997-06-01,9806000000.00
1997-07-01,10488000000.00
1997-08-01,10767000000.00
1997-09-01,10722000000.00
1997-10-01,10873000000.00
1997-11-01,11158000000.00
1997-12-01,10893000000.00
1998-01-01,11392000000.00
1998-02-01,11570000000.00
1998-03-01,11213000000.00
1998-04-01,11584000000.00
1998-05-01,11736000000.00
1998-06-01,11127000000.00
1998-07-01,11480000000.00
1998-08-01,11604000000.00
1998-09-01,11300000000.00
1998-10-01,11517000000.00
1998-11-01,11398000000.00
1998-12-01,10524000000.00
1999-01-01,10390000000.00
1999-02-01,10640000000.00
1999-03-01,11414000000.00
1999-04-01,11628000000.00
1999-05-01,11788000000.00
1999-06-01,11210000000.00
1999-07-01,11457000000.00
1999-08-01,11483000000.00
1999-09-01,11215000000.00
1999-10-01,11300000000.00
1999-11-01,11740000000.00
1999-12-01,11555000000.00
2000-01-01,11606000000.00
2000-02-01,12318000000.00
2000-03-01,12311000000.00
2000-04-01,12956000000.00
2000-05-01,13820000000.00
2000-06-01,13733000000.00
2000-07-01,14503000000.00
2000-08-01,15476000000.00
2000-09-01,14364000000.00
2000-10-01,15315000000.00
2000-11-01,16705000000.00
2000-12-01,16151000000.00
2001-01-01,17071000000.00
2001-02-01,17576000000.00
2001-03-01,16237000000.00
2001-04-01,15857000000.00
2001-05-01,16190000000.00
2001-06-01,15943000000.00
2001-07-01,16014000000.00
2001-08-01,15873000000.00
2001-09-01,14186000000.00
2001-10-01,13983000000.00
2001-11-01,14568000000.00
2001-12-01,12483000000.00
2002-01-01,13055000000.00
2002-02-01,12820000000.00
2002-03-01,12119000000.00
2002-04-01,12431000000.00
2002-05-01,12298000000.00
2002-06-01,11668000000.00
2002-07-01,12200000000.00
2002-08-01,12097000000.00
2002-09-01,10960000000.00
2002-10-01,11025000000.00
2002-11-01,11389000000.00
2002-12-01,10171000000.00
2003-01-01,10423000000.00
2003-02-01,10257000000.00
2003-03-01,9682000000.00
2003-04-01,9686000000.00
2003-05-01,9814000000.00
2003-06-01,9137000000.00
2003-07-01,9377000000.00
2003-08-01,9172000000.00
2003-09-01,8984000000.00
2003-10-01,9206000000.00
2003-11-01,9507000000.00
2003-12-01,8639000000.00
2004-01-01,8340000000.00
2004-02-01,8128000000.00
2004-03-01,7581000000.00
2004-04-01,7797000000.00
2004-05-01,7686000000.00
2004-06-01,7126000000.00
2004-07-01,7355000000.00
2004-08-01,7278000000.00
2004-09-01,6889000000.00
2004-10-01,6997000000.00
2004-11-01,6977000000.00
2004-12-01,6266000000.00
2005-01-01,6755000000.00
2005-02-01,6994000000.00
2005-03-01,6868000000.00
2005-04-01,7000000000.00
2005-05-01,7350000000.00
2005-06-01,7140000000.00
2005-07-01,7870000000.00
2005-08-01,8298000000.00
2005-09-01,8208000000.00
2005-10-01,9003000000.00
2005-11-01,10003000000.00
2005-12-01,9527000000.00
2006-01-01,9946000000.00
2006-02-01,9964000000.00
2006-03-01,9089000000.00
2006-04-01,9754000000.00
2006-05-01,9385000000.00
2006-06-01,8736000000.00
2006-07-01,9054000000.00
2006-08-01,9011000000.00
2006-09-01,8844000000.00
2006-10-01,9220000000.00
2006-11-01,9354000000.00
2006-12-01,8217000000.00
2007-01-01,8668000000.00
2007-02-01,8474000000.00
2007-03-01,7581000000.00
2007-04-01,7688000000.00
2007-05-01,7832000000.00
2007-06-01,6864000000.00
2007-07-01,7172000000.00
2007-08-01,7336000000.00
2007-09-01,7299000000.00
2007-10-01,7334000000.00
2007-11-01,7524000000.00
2007-12-01,7069000000.00
2008-01-01,7301000000.00
2008-02-01,7288000000.00
2008-03-01,7044000000.00
2008-04-01,7278000000.00
2008-05-01,7279000000.00
2008-06-01,6705000000.00
2008-07-01,6853000000.00
2008-08-01,7165000000.00
2008-09-01,6593000000.00
2008-10-01,6860000000.00
2008-11-01,7031000000.00
2008-12-01,6867000000.00
2009-01-01,7088000000.00
2009-02-01,7168000000.00
2009-03-01,6710000000.00
2009-04-01,6914000000.00
2009-05-01,7040000000.00
2009-06-01,5844000000.00
2009-07-01,5880000000.00
2009-08-01,5850000000.00
2009-09-01,5661000000.00
2009-10-01,5748000000.00
2009-11-01,5885000000.00
2009-12-01,5888000000.00
2010-01-01,5989000000.00
2010-02-01,6088000000.00
2010-03-01,5117000000.00
2010-04-01,5303000000.00
2010-05-01,5339000000.00
2010-06-01,5281000000.00
2010-07-01,5522000000.00
2010-08-01,5510000000.00
2010-09-01,5391000000.00
2010-10-01,5654000000.00
2010-11-01,5746000000.00
2010-12-01,5404000000.00
2011-01-01,5284000000.00
2011-02-01,5491000000.00
2011-03-01,5459000000.00
2011-04-01,5579000000.00
2011-05-01,5698000000.00
2011-06-01,5634000000.00
2011-07-01,5757000000.00
2011-08-01,5918000000.00
2011-09-01,5722000000.00
2011-10-01,5896000000.00
2011-11-01,6010000000.00
2011-12-01,5627000000.00
2012-01-01,5891000000.00
2012-02-01,5910000000.00
2012-03-01,5645000000.00
2012-04-01,5625000000.00
2012-05-01,5680000000.00
2012-06-01,5721000000.00
2012-07-01,5870000000.00
2012-08-01,5880000000.00
2012-09-01,5716000000.00
2012-10-01,5820000000.00
2012-11-01,5900000000.00
2012-12-01,5519000000.00
2013-01-01,5654000000.00
2013-02-01,5612000000.00
2013-03-01,5349000000.00
2013-04-01,5079000000.00
2013-05-01,5056000000.00
2013-06-01,4935000000.00
2013-07-01,4872000000.00
2013-08-01,4891000000.00
2013-09-01,4748000000.00
2013-10-01,4668000000.00
2013-11-01,4788000000.00
2013-12-01,4623000000.00
2014-01-01,4668000000.00
2014-02-01,4785000000.00
2014-03-01,4612000000.00
2014-04-01,4512000000.00
2014-05-01,4560000000.00
2014-06-01,4475000000.00
2014-07-01,4423000000.00
2014-08-01,4495000000.00
2014-09-01,4335000000.00
2014-10-01,4375000000.00
2014-11-01,4332000000.00
2014-12-01,3978000000.00
2015-01-01,4180000000.00
2015-02-01,4293000000.00
2015-03-01,4209000000.00
2015-04-01,4179000000.00
2015-05-01,4285000000.00
2015-06-01,4176000000.00
2015-07-01,4268000000.00
2015-08-01,4370000000.00
2015-09-01,4229000000.00
