Date,U33CUO
1992-01-01,2228000000.00
1992-02-01,2336000000.00
1992-03-01,2459000000.00
1992-04-01,2317000000.00
1992-05-01,2453000000.00
1992-06-01,2307000000.00
1992-07-01,2189000000.00
1992-08-01,2038000000.00
1992-09-01,2238000000.00
1992-10-01,2591000000.00
1992-11-01,2564000000.00
1992-12-01,2544000000.00
1993-01-01,2607000000.00
1993-02-01,2532000000.00
1993-03-01,2542000000.00
1993-04-01,2475000000.00
1993-05-01,2529000000.00
1993-06-01,2446000000.00
1993-07-01,2429000000.00
1993-08-01,2585000000.00
1993-09-01,2700000000.00
1993-10-01,2780000000.00
1993-11-01,2820000000.00
1993-12-01,2929000000.00
1994-01-01,3047000000.00
1994-02-01,3168000000.00
1994-03-01,3351000000.00
1994-04-01,3445000000.00
1994-05-01,3394000000.00
1994-06-01,3412000000.00
1994-07-01,3376000000.00
1994-08-01,3291000000.00
1994-09-01,3322000000.00
1994-10-01,3409000000.00
1994-11-01,3601000000.00
1994-12-01,3650000000.00
1995-01-01,3767000000.00
1995-02-01,3732000000.00
1995-03-01,3890000000.00
1995-04-01,3812000000.00
1995-05-01,3627000000.00
1995-06-01,3433000000.00
1995-07-01,3327000000.00
1995-08-01,3337000000.00
1995-09-01,3611000000.00
1995-10-01,4311000000.00
1995-11-01,4581000000.00
1995-12-01,4853000000.00
1996-01-01,5048000000.00
1996-02-01,5369000000.00
1996-03-01,5412000000.00
1996-04-01,5385000000.00
1996-05-01,5301000000.00
1996-06-01,5215000000.00
1996-07-01,5081000000.00
1996-08-01,4896000000.00
1996-09-01,4732000000.00
1996-10-01,4366000000.00
1996-11-01,4640000000.00
1996-12-01,4512000000.00
1997-01-01,4916000000.00
1997-02-01,4999000000.00
1997-03-01,5189000000.00
1997-04-01,5084000000.00
1997-05-01,4877000000.00
1997-06-01,4628000000.00
1997-07-01,4561000000.00
1997-08-01,4472000000.00
1997-09-01,4462000000.00
1997-10-01,4407000000.00
1997-11-01,4418000000.00
1997-12-01,4709000000.00
1998-01-01,5066000000.00
1998-02-01,5497000000.00
1998-03-01,5347000000.00
1998-04-01,5166000000.00
1998-05-01,5005000000.00
1998-06-01,4785000000.00
1998-07-01,4492000000.00
1998-08-01,4255000000.00
1998-09-01,3821000000.00
1998-10-01,3770000000.00
1998-11-01,3741000000.00
1998-12-01,4272000000.00
1999-01-01,4780000000.00
1999-02-01,5080000000.00
1999-03-01,4992000000.00
1999-04-01,4902000000.00
1999-05-01,4698000000.00
1999-06-01,4230000000.00
1999-07-01,3914000000.00
1999-08-01,3601000000.00
1999-09-01,3390000000.00
1999-10-01,3226000000.00
1999-11-01,3537000000.00
1999-12-01,3505000000.00
