Date,UDAPUO
1992-01-01,54985000000.00
1992-02-01,54020000000.00
1992-03-01,53755000000.00
1992-04-01,54313000000.00
1992-05-01,52824000000.00
1992-06-01,51966000000.00
1992-07-01,50982000000.00
1992-08-01,49398000000.00
1992-09-01,49344000000.00
1992-10-01,49371000000.00
1992-11-01,48437000000.00
1992-12-01,48392000000.00
1993-01-01,48144000000.00
1993-02-01,47550000000.00
1993-03-01,48739000000.00
1993-04-01,49326000000.00
1993-05-01,48119000000.00
1993-06-01,47798000000.00
1993-07-01,47354000000.00
1993-08-01,46992000000.00
1993-09-01,45837000000.00
1993-10-01,45252000000.00
1993-11-01,44655000000.00
1993-12-01,45494000000.00
1994-01-01,46777000000.00
1994-02-01,46189000000.00
1994-03-01,46503000000.00
1994-04-01,46523000000.00
1994-05-01,46712000000.00
1994-06-01,47226000000.00
1994-07-01,46040000000.00
1994-08-01,45443000000.00
1994-09-01,44992000000.00
1994-10-01,44554000000.00
1994-11-01,43944000000.00
1994-12-01,43554000000.00
1995-01-01,43092000000.00
1995-02-01,43852000000.00
1995-03-01,44787000000.00
1995-04-01,44148000000.00
1995-05-01,43418000000.00
1995-06-01,42310000000.00
1995-07-01,41862000000.00
1995-08-01,42320000000.00
1995-09-01,42073000000.00
1995-10-01,41613000000.00
1995-11-01,40930000000.00
1995-12-01,41306000000.00
1996-01-01,42520000000.00
1996-02-01,41862000000.00
1996-03-01,45158000000.00
1996-04-01,45486000000.00
1996-05-01,45303000000.00
1996-06-01,45946000000.00
1996-07-01,45605000000.00
1996-08-01,44487000000.00
1996-09-01,43657000000.00
1996-10-01,43797000000.00
1996-11-01,42577000000.00
1996-12-01,44133000000.00
1997-01-01,44778000000.00
1997-02-01,44545000000.00
1997-03-01,44696000000.00
1997-04-01,44235000000.00
1997-05-01,43040000000.00
1997-06-01,42646000000.00
1997-07-01,42065000000.00
1997-08-01,41496000000.00
1997-09-01,40679000000.00
1997-10-01,40113000000.00
1997-11-01,39454000000.00
1997-12-01,39941000000.00
1998-01-01,41912000000.00
1998-02-01,42418000000.00
1998-03-01,42281000000.00
1998-04-01,43504000000.00
1998-05-01,42869000000.00
1998-06-01,41247000000.00
1998-07-01,40666000000.00
1998-08-01,39048000000.00
1998-09-01,38713000000.00
1998-10-01,37284000000.00
1998-11-01,36828000000.00
1998-12-01,36857000000.00
1999-01-01,38946000000.00
1999-02-01,38194000000.00
1999-03-01,39650000000.00
1999-04-01,39206000000.00
1999-05-01,38520000000.00
1999-06-01,37585000000.00
1999-07-01,37283000000.00
1999-08-01,36321000000.00
1999-09-01,35289000000.00
1999-10-01,34479000000.00
1999-11-01,33155000000.00
1999-12-01,34855000000.00
2000-01-01,36784000000.00
2000-02-01,36120000000.00
2000-03-01,36805000000.00
2000-04-01,37220000000.00
2000-05-01,35732000000.00
2000-06-01,42315000000.00
2000-07-01,41412000000.00
2000-08-01,41664000000.00
2000-09-01,41829000000.00
2000-10-01,41316000000.00
2000-11-01,41218000000.00
2000-12-01,41621000000.00
2001-01-01,42102000000.00
2001-02-01,42101000000.00
2001-03-01,42522000000.00
2001-04-01,42499000000.00
2001-05-01,43089000000.00
2001-06-01,42485000000.00
2001-07-01,41954000000.00
2001-08-01,40695000000.00
2001-09-01,40207000000.00
2001-10-01,51492000000.00
2001-11-01,51017000000.00
2001-12-01,51271000000.00
2002-01-01,52849000000.00
2002-02-01,54553000000.00
2002-03-01,58592000000.00
2002-04-01,58210000000.00
2002-05-01,57243000000.00
2002-06-01,56166000000.00
2002-07-01,58628000000.00
2002-08-01,58063000000.00
2002-09-01,57466000000.00
2002-10-01,56474000000.00
2002-11-01,55785000000.00
2002-12-01,57358000000.00
2003-01-01,57836000000.00
2003-02-01,58005000000.00
2003-03-01,60877000000.00
2003-04-01,62872000000.00
2003-05-01,64402000000.00
2003-06-01,64215000000.00
2003-07-01,63242000000.00
2003-08-01,62505000000.00
2003-09-01,62029000000.00
2003-10-01,61985000000.00
2003-11-01,61993000000.00
2003-12-01,63845000000.00
2004-01-01,64109000000.00
2004-02-01,63153000000.00
2004-03-01,63263000000.00
2004-04-01,62831000000.00
2004-05-01,61747000000.00
2004-06-01,63100000000.00
2004-07-01,61878000000.00
2004-08-01,59998000000.00
2004-09-01,58267000000.00
2004-10-01,57516000000.00
2004-11-01,57076000000.00
2004-12-01,57274000000.00
2005-01-01,57401000000.00
2005-02-01,56775000000.00
2005-03-01,56064000000.00
2005-04-01,55202000000.00
2005-05-01,53942000000.00
2005-06-01,52882000000.00
2005-07-01,51654000000.00
2005-08-01,50047000000.00
2005-09-01,48703000000.00
2005-10-01,51390000000.00
2005-11-01,51716000000.00
2005-12-01,55158000000.00
2006-01-01,57455000000.00
2006-02-01,58493000000.00
2006-03-01,59447000000.00
2006-04-01,58227000000.00
2006-05-01,56875000000.00
2006-06-01,56479000000.00
2006-07-01,55555000000.00
2006-08-01,54397000000.00
2006-09-01,53102000000.00
2006-10-01,52855000000.00
2006-11-01,54827000000.00
2006-12-01,59824000000.00
2007-01-01,60086000000.00
2007-02-01,59847000000.00
2007-03-01,59212000000.00
2007-04-01,57719000000.00
2007-05-01,56076000000.00
2007-06-01,55858000000.00
2007-07-01,55126000000.00
2007-08-01,58280000000.00
2007-09-01,58693000000.00
2007-10-01,58753000000.00
2007-11-01,58077000000.00
2007-12-01,63240000000.00
2008-01-01,65441000000.00
2008-02-01,65413000000.00
2008-03-01,67356000000.00
2008-04-01,66769000000.00
2008-05-01,67013000000.00
2008-06-01,67100000000.00
2008-07-01,67554000000.00
2008-08-01,67322000000.00
2008-09-01,67748000000.00
2008-10-01,68846000000.00
2008-11-01,69356000000.00
2008-12-01,72729000000.00
2009-01-01,72593000000.00
2009-02-01,71548000000.00
2009-03-01,72151000000.00
2009-04-01,71082000000.00
2009-05-01,68922000000.00
2009-06-01,69403000000.00
2009-07-01,68949000000.00
2009-08-01,66818000000.00
2009-09-01,64144000000.00
2009-10-01,63085000000.00
2009-11-01,60822000000.00
2009-12-01,61927000000.00
2010-01-01,65105000000.00
2010-02-01,64600000000.00
2010-03-01,64928000000.00
2010-04-01,63461000000.00
2010-05-01,62395000000.00
2010-06-01,62246000000.00
2010-07-01,61690000000.00
2010-08-01,60187000000.00
2010-09-01,61279000000.00
2010-10-01,60615000000.00
2010-11-01,60595000000.00
2010-12-01,62407000000.00
2011-01-01,64517000000.00
2011-02-01,64427000000.00
2011-03-01,65382000000.00
2011-04-01,65058000000.00
2011-05-01,65606000000.00
2011-06-01,65339000000.00
2011-07-01,64710000000.00
2011-08-01,65039000000.00
2011-09-01,64405000000.00
2011-10-01,64087000000.00
2011-11-01,64072000000.00
2011-12-01,65715000000.00
2012-01-01,66493000000.00
2012-02-01,67614000000.00
2012-03-01,69643000000.00
2012-04-01,69186000000.00
2012-05-01,68072000000.00
2012-06-01,68844000000.00
2012-07-01,68854000000.00
2012-08-01,67696000000.00
2012-09-01,69401000000.00
2012-10-01,70709000000.00
2012-11-01,71208000000.00
2012-12-01,76345000000.00
2013-01-01,77014000000.00
2013-02-01,75509000000.00
2013-03-01,73245000000.00
2013-04-01,72284000000.00
2013-05-01,70806000000.00
2013-06-01,71566000000.00
2013-07-01,72070000000.00
2013-08-01,70584000000.00
2013-09-01,71673000000.00
2013-10-01,71468000000.00
2013-11-01,69270000000.00
