Date,CCLACBM027NBOG
2000-07-01,209366100000.00
2000-08-01,216347800000.00
2000-09-01,221796500000.00
2000-10-01,219944400000.00
2000-11-01,223277500000.00
2000-12-01,234495300000.00
2001-01-01,236693900000.00
2001-02-01,230975000000.00
2001-03-01,226313700000.00
2001-04-01,229257100000.00
2001-05-01,232806700000.00
2001-06-01,231336000000.00
2001-07-01,229862700000.00
2001-08-01,232202300000.00
2001-09-01,232196000000.00
2001-10-01,232730800000.00
2001-11-01,240090100000.00
2001-12-01,248525700000.00
2002-01-01,247351500000.00
2002-02-01,242046200000.00
2002-03-01,238396000000.00
2002-04-01,242751300000.00
2002-05-01,242055500000.00
2002-06-01,241324400000.00
2002-07-01,238109600000.00
2002-08-01,248229300000.00
2002-09-01,254706400000.00
2002-10-01,254727800000.00
2002-11-01,252982900000.00
2002-12-01,261898400000.00
2003-01-01,257499000000.00
2003-02-01,248412600000.00
2003-03-01,241609000000.00
2003-04-01,236925900000.00
2003-05-01,245496100000.00
2003-06-01,243328300000.00
2003-07-01,244119000000.00
2003-08-01,244132300000.00
2003-09-01,243284200000.00
2003-10-01,240570400000.00
2003-11-01,272069200000.00
2003-12-01,288588100000.00
2004-01-01,290435200000.00
2004-02-01,283018700000.00
2004-03-01,276873500000.00
2004-04-01,277687800000.00
2004-05-01,281871000000.00
2004-06-01,285388200000.00
2004-07-01,285974100000.00
2004-08-01,289218100000.00
2004-09-01,293472700000.00
2004-10-01,289753900000.00
2004-11-01,288274000000.00
2004-12-01,304876300000.00
2005-01-01,311476000000.00
2005-02-01,300546800000.00
2005-03-01,296718800000.00
2005-04-01,297595600000.00
2005-05-01,295899200000.00
2005-06-01,299529200000.00
2005-07-01,300437100000.00
2005-08-01,300809900000.00
2005-09-01,303456000000.00
2005-10-01,294672200000.00
2005-11-01,300745700000.00
2005-12-01,311521500000.00
2006-01-01,309602600000.00
2006-02-01,297516300000.00
2006-03-01,289028300000.00
2006-04-01,291424200000.00
2006-05-01,298168000000.00
2006-06-01,296154800000.00
2006-07-01,297841200000.00
2006-08-01,302755300000.00
2006-09-01,303390800000.00
2006-10-01,299072400000.00
2006-11-01,303999900000.00
2006-12-01,321558300000.00
2007-01-01,322962700000.00
2007-02-01,311619000000.00
2007-03-01,299626000000.00
2007-04-01,304046600000.00
2007-05-01,307107300000.00
2007-06-01,313013900000.00
2007-07-01,314278500000.00
2007-08-01,316813800000.00
2007-09-01,321845400000.00
2007-10-01,319478400000.00
2007-11-01,330375000000.00
2007-12-01,350814600000.00
2008-01-01,346412400000.00
2008-02-01,332924700000.00
2008-03-01,324519200000.00
2008-04-01,325234800000.00
2008-05-01,326347300000.00
2008-06-01,327951700000.00
2008-07-01,332635600000.00
2008-08-01,340482700000.00
2008-09-01,349652100000.00
2008-10-01,372218400000.00
2008-11-01,382554500000.00
2008-12-01,394949000000.00
2009-01-01,402815100000.00
2009-02-01,396855500000.00
2009-03-01,378159700000.00
2009-04-01,368159200000.00
2009-05-01,360206500000.00
2009-06-01,355394600000.00
2009-07-01,354422300000.00
2009-08-01,354872900000.00
2009-09-01,351497700000.00
2009-10-01,344527100000.00
2009-11-01,344179700000.00
2009-12-01,345321200000.00
2010-01-01,330997000000.00
2010-02-01,318802800000.00
2010-03-01,385946500000.00
2010-04-01,639612300000.00
2010-05-01,632780700000.00
2010-06-01,627903200000.00
2010-07-01,623143600000.00
2010-08-01,621776800000.00
2010-09-01,617457100000.00
2010-10-01,609605200000.00
2010-11-01,608584400000.00
2010-12-01,624899900000.00
2011-01-01,617329800000.00
2011-02-01,602063400000.00
2011-03-01,591204700000.00
2011-04-01,589742500000.00
2011-05-01,590042600000.00
2011-06-01,596357200000.00
2011-07-01,597392000000.00
2011-08-01,600547900000.00
2011-09-01,601036900000.00
2011-10-01,599506700000.00
2011-11-01,602372200000.00
2011-12-01,619815400000.00
2012-01-01,613896400000.00
2012-02-01,599416000000.00
2012-03-01,590382700000.00
2012-04-01,592639900000.00
2012-05-01,602228200000.00
