Date,UBTPTI
1992-01-01,12597000000.00
1992-02-01,12609000000.00
1992-03-01,12513000000.00
1992-04-01,12325000000.00
1992-05-01,12076000000.00
1992-06-01,12052000000.00
1992-07-01,12114000000.00
1992-08-01,12819000000.00
1992-09-01,12861000000.00
1992-10-01,12621000000.00
1992-11-01,12618000000.00
1992-12-01,12348000000.00
1993-01-01,12281000000.00
1993-02-01,12534000000.00
1993-03-01,12417000000.00
1993-04-01,12195000000.00
1993-05-01,11974000000.00
1993-06-01,12155000000.00
1993-07-01,12499000000.00
1993-08-01,13250000000.00
1993-09-01,13192000000.00
1993-10-01,13180000000.00
1993-11-01,13556000000.00
1993-12-01,13489000000.00
1994-01-01,13814000000.00
1994-02-01,14151000000.00
1994-03-01,13901000000.00
1994-04-01,13791000000.00
1994-05-01,13883000000.00
1994-06-01,14045000000.00
1994-07-01,14602000000.00
1994-08-01,14772000000.00
1994-09-01,14769000000.00
1994-10-01,14827000000.00
1994-11-01,15074000000.00
1994-12-01,15109000000.00
1995-01-01,15496000000.00
1995-02-01,15515000000.00
1995-03-01,15552000000.00
1995-04-01,15617000000.00
1995-05-01,15685000000.00
1995-06-01,15555000000.00
1995-07-01,16082000000.00
1995-08-01,16280000000.00
1995-09-01,16005000000.00
1995-10-01,15918000000.00
1995-11-01,15994000000.00
1995-12-01,15791000000.00
1996-01-01,16103000000.00
1996-02-01,16063000000.00
1996-03-01,16302000000.00
1996-04-01,15876000000.00
1996-05-01,15611000000.00
1996-06-01,15449000000.00
1996-07-01,16072000000.00
1996-08-01,16277000000.00
1996-09-01,16389000000.00
1996-10-01,16629000000.00
1996-11-01,16673000000.00
1996-12-01,16412000000.00
1997-01-01,16440000000.00
1997-02-01,16485000000.00
1997-03-01,16449000000.00
1997-04-01,16527000000.00
1997-05-01,16760000000.00
1997-06-01,15963000000.00
1997-07-01,16803000000.00
1997-08-01,16861000000.00
1997-09-01,16365000000.00
1997-10-01,16023000000.00
1997-11-01,15968000000.00
1997-12-01,15691000000.00
1998-01-01,15965000000.00
1998-02-01,16113000000.00
1998-03-01,16310000000.00
1998-04-01,16003000000.00
1998-05-01,16059000000.00
1998-06-01,16298000000.00
1998-07-01,16434000000.00
1998-08-01,16076000000.00
1998-09-01,16030000000.00
1998-10-01,16192000000.00
1998-11-01,16597000000.00
1998-12-01,16318000000.00
1999-01-01,16307000000.00
1999-02-01,16248000000.00
1999-03-01,16509000000.00
1999-04-01,16370000000.00
1999-05-01,16447000000.00
1999-06-01,16502000000.00
1999-07-01,17161000000.00
1999-08-01,17091000000.00
1999-09-01,16846000000.00
1999-10-01,17051000000.00
1999-11-01,17321000000.00
1999-12-01,17399000000.00
2000-01-01,17615000000.00
2000-02-01,17764000000.00
2000-03-01,17371000000.00
2000-04-01,17575000000.00
2000-05-01,17595000000.00
2000-06-01,17493000000.00
2000-07-01,17932000000.00
2000-08-01,17884000000.00
2000-09-01,17823000000.00
2000-10-01,17914000000.00
2000-11-01,17891000000.00
2000-12-01,17443000000.00
2001-01-01,17595000000.00
2001-02-01,17391000000.00
2001-03-01,16913000000.00
2001-04-01,16900000000.00
2001-05-01,16734000000.00
2001-06-01,16391000000.00
2001-07-01,16480000000.00
2001-08-01,16233000000.00
2001-09-01,16108000000.00
2001-10-01,16183000000.00
2001-11-01,15708000000.00
2001-12-01,15486000000.00
2002-01-01,15156000000.00
2002-02-01,15105000000.00
2002-03-01,15103000000.00
2002-04-01,15363000000.00
2002-05-01,15364000000.00
2002-06-01,15497000000.00
2002-07-01,15991000000.00
2002-08-01,15824000000.00
2002-09-01,16136000000.00
2002-10-01,16347000000.00
2002-11-01,16166000000.00
2002-12-01,16304000000.00
2003-01-01,16432000000.00
2003-02-01,16784000000.00
2003-03-01,16706000000.00
2003-04-01,16728000000.00
2003-05-01,16517000000.00
2003-06-01,16198000000.00
2003-07-01,16318000000.00
2003-08-01,16231000000.00
2003-09-01,16091000000.00
2003-10-01,16000000000.00
2003-11-01,16029000000.00
2003-12-01,15822000000.00
2004-01-01,16429000000.00
2004-02-01,16617000000.00
2004-03-01,16649000000.00
2004-04-01,16538000000.00
2004-05-01,16591000000.00
2004-06-01,16712000000.00
2004-07-01,17046000000.00
2004-08-01,16892000000.00
2004-09-01,17021000000.00
2004-10-01,17110000000.00
2004-11-01,17254000000.00
2004-12-01,16608000000.00
2005-01-01,17493000000.00
2005-02-01,17846000000.00
2005-03-01,18042000000.00
2005-04-01,18103000000.00
2005-05-01,17831000000.00
2005-06-01,17799000000.00
2005-07-01,17717000000.00
2005-08-01,17346000000.00
2005-09-01,17261000000.00
2005-10-01,17556000000.00
2005-11-01,17599000000.00
2005-12-01,16994000000.00
2006-01-01,17340000000.00
2006-02-01,17557000000.00
2006-03-01,18027000000.00
2006-04-01,18328000000.00
2006-05-01,18460000000.00
2006-06-01,18352000000.00
2006-07-01,18882000000.00
2006-08-01,18627000000.00
2006-09-01,19058000000.00
2006-10-01,19291000000.00
2006-11-01,19513000000.00
2006-12-01,19098000000.00
2007-01-01,20124000000.00
2007-02-01,20375000000.00
2007-03-01,19840000000.00
2007-04-01,19915000000.00
2007-05-01,19830000000.00
2007-06-01,19220000000.00
2007-07-01,19467000000.00
2007-08-01,19350000000.00
2007-09-01,19301000000.00
2007-10-01,19455000000.00
2007-11-01,19319000000.00
2007-12-01,18985000000.00
2008-01-01,19524000000.00
2008-02-01,19451000000.00
2008-03-01,19391000000.00
2008-04-01,19420000000.00
2008-05-01,19275000000.00
2008-06-01,18831000000.00
2008-07-01,19044000000.00
2008-08-01,18767000000.00
2008-09-01,18171000000.00
2008-10-01,18120000000.00
2008-11-01,17872000000.00
2008-12-01,17027000000.00
2009-01-01,17386000000.00
2009-02-01,17178000000.00
2009-03-01,16510000000.00
2009-04-01,16286000000.00
2009-05-01,16103000000.00
2009-06-01,14632000000.00
2009-07-01,14809000000.00
2009-08-01,14647000000.00
2009-09-01,14498000000.00
2009-10-01,14476000000.00
2009-11-01,14579000000.00
2009-12-01,14420000000.00
2010-01-01,14903000000.00
2010-02-01,15898000000.00
2010-03-01,15795000000.00
2010-04-01,16194000000.00
2010-05-01,16073000000.00
2010-06-01,15807000000.00
2010-07-01,16167000000.00
2010-08-01,16154000000.00
