Date,UBTPTI
2010-09-01,16226000000.00
2010-10-01,16225000000.00
2010-11-01,16361000000.00
2010-12-01,16195000000.00
2011-01-01,16980000000.00
2011-02-01,17150000000.00
2011-03-01,17005000000.00
2011-04-01,17492000000.00
2011-05-01,17611000000.00
2011-06-01,17527000000.00
2011-07-01,17970000000.00
2011-08-01,18092000000.00
2011-09-01,18159000000.00
2011-10-01,18403000000.00
2011-11-01,18624000000.00
2011-12-01,18449000000.00
2012-01-01,19194000000.00
2012-02-01,19278000000.00
2012-03-01,19381000000.00
2012-04-01,19433000000.00
2012-05-01,19610000000.00
2012-06-01,19516000000.00
2012-07-01,20165000000.00
2012-08-01,20259000000.00
2012-09-01,20282000000.00
2012-10-01,20573000000.00
2012-11-01,20632000000.00
2012-12-01,20394000000.00
2013-01-01,20914000000.00
2013-02-01,20917000000.00
2013-03-01,20448000000.00
2013-04-01,20738000000.00
2013-05-01,20961000000.00
2013-06-01,20817000000.00
2013-07-01,21640000000.00
2013-08-01,21838000000.00
2013-09-01,21684000000.00
2013-10-01,21955000000.00
2013-11-01,21866000000.00
2013-12-01,21391000000.00
2014-01-01,22415000000.00
2014-02-01,22386000000.00
2014-03-01,22350000000.00
2014-04-01,22779000000.00
2014-05-01,22697000000.00
2014-06-01,22365000000.00
2014-07-01,22957000000.00
2014-08-01,23140000000.00
2014-09-01,23334000000.00
2014-10-01,23625000000.00
2014-11-01,23686000000.00
2014-12-01,23299000000.00
2015-01-01,24303000000.00
2015-02-01,24812000000.00
2015-03-01,24807000000.00
2015-04-01,24606000000.00
2015-05-01,24524000000.00
2015-06-01,24227000000.00
2015-07-01,24543000000.00
2015-08-01,24432000000.00
2015-09-01,23877000000.00
2015-10-01,23952000000.00
2015-11-01,23952000000.00
2015-12-01,23715000000.00
2016-01-01,24420000000.00
2016-02-01,24606000000.00
2016-03-01,24454000000.00
2016-04-01,24152000000.00
2016-05-01,24134000000.00
2016-06-01,23838000000.00
2016-07-01,24590000000.00
2016-08-01,24627000000.00
2016-09-01,24256000000.00
2016-10-01,24380000000.00
2016-11-01,24596000000.00
2016-12-01,23878000000.00
2017-01-01,24098000000.00
2017-02-01,23845000000.00
2017-03-01,23492000000.00
2017-04-01,23479000000.00
2017-05-01,23811000000.00
2017-06-01,23010000000.00
2017-07-01,24038000000.00
2017-08-01,23978000000.00
2017-09-01,25088000000.00
2017-10-01,24967000000.00
2017-11-01,25008000000.00
2017-12-01,25005000000.00
2018-01-01,25555000000.00
2018-02-01,25459000000.00
2018-03-01,25378000000.00
2018-04-01,25164000000.00
