Date,SUUR0000SAN
1999-12-01,100.00
2000-01-01,100.20
2000-02-01,101.40
2000-03-01,103.10
2000-04-01,103.00
2000-05-01,102.90
2000-06-01,103.20
2000-07-01,103.00
2000-08-01,102.50
2000-09-01,104.00
2000-10-01,104.10
2000-11-01,103.90
2000-12-01,103.00
2001-01-01,103.10
2001-02-01,103.60
2001-03-01,103.70
2001-04-01,104.70
2001-05-01,105.70
2001-06-01,105.00
2001-07-01,103.30
2001-08-01,103.00
2001-09-01,104.70
2001-10-01,103.90
2001-11-01,102.60
2001-12-01,100.90
2002-01-01,101.20
2002-02-01,101.70
2002-03-01,103.10
2002-04-01,104.80
2002-05-01,104.30
2002-06-01,103.60
2002-07-01,103.40
2002-08-01,103.60
2002-09-01,104.30
2002-10-01,104.70
2002-11-01,104.50
2002-12-01,103.60
2003-01-01,104.10
2003-02-01,106.00
2003-03-01,107.20
2003-04-01,106.40
2003-05-01,105.40
2003-06-01,105.10
2003-07-01,105.00
2003-08-01,106.10
2003-09-01,107.50
2003-10-01,107.10
2003-11-01,106.40
2003-12-01,105.80
2004-01-01,106.60
2004-02-01,107.70
2004-03-01,109.00
2004-04-01,109.60
2004-05-01,111.10
2004-06-01,110.90
2004-07-01,109.80
2004-08-01,109.60
2004-09-01,110.10
2004-10-01,112.00
2004-11-01,111.70
2004-12-01,110.20
2005-01-01,109.80
2005-02-01,111.00
2005-03-01,112.60
2005-04-01,114.50
2005-05-01,113.90
2005-06-01,113.00
2005-07-01,114.00
2005-08-01,115.80
2005-09-01,119.80
2005-10-01,119.40
2005-11-01,116.30
2005-12-01,114.80
2006-01-01,115.90
2006-02-01,116.10
2006-03-01,117.50
2006-04-01,120.20
2006-05-01,121.50
2006-06-01,121.00
2006-07-01,121.20
2006-08-01,121.60
2006-09-01,119.70
2006-10-01,117.80
2006-11-01,117.20
2006-12-01,117.40
2007-01-01,117.37
2007-02-01,118.23
2007-03-01,121.07
2007-04-01,123.14
2007-05-01,125.04
2007-06-01,124.29
2007-07-01,123.42
2007-08-01,122.80
2007-09-01,123.87
2007-10-01,124.54
2007-11-01,126.43
2007-12-01,125.73
2008-01-01,126.44
2008-02-01,126.91
2008-03-01,129.35
2008-04-01,131.46
2008-05-01,134.13
2008-06-01,136.17
2008-07-01,136.75
2008-08-01,135.30
2008-09-01,135.72
2008-10-01,132.64
2008-11-01,125.46
2008-12-01,120.88
2009-01-01,121.82
2009-02-01,123.28
2009-03-01,123.92
2009-04-01,125.03
2009-05-01,126.25
2009-06-01,128.76
2009-07-01,127.72
2009-08-01,128.68
2009-09-01,128.94
2009-10-01,129.04
2009-11-01,129.44
2009-12-01,128.76
2010-01-01,129.75
2010-02-01,129.46
2010-03-01,130.73
2010-04-01,131.25
2010-05-01,131.26
2010-06-01,129.81
2010-07-01,129.38
2010-08-01,129.89
2010-09-01,130.38
2010-10-01,131.32
2010-11-01,131.46
2010-12-01,132.08
2011-01-01,133.54
2011-02-01,134.73
2011-03-01,138.52
2011-04-01,140.72
2011-05-01,141.73
2011-06-01,139.97
2011-07-01,139.60
2011-08-01,140.22
2011-09-01,141.01
2011-10-01,140.27
2011-11-01,139.77
2011-12-01,138.31
2012-01-01,139.64
2012-02-01,141.10
2012-03-01,143.78
2012-04-01,144.49
2012-05-01,143.31
2012-06-01,141.30
2012-07-01,140.26
2012-08-01,142.66
2012-09-01,144.43
2012-10-01,144.20
2012-11-01,141.76
2012-12-01,139.98
2013-01-01,140.32
2013-02-01,143.12
2013-03-01,143.85
2013-04-01,143.00
2013-05-01,142.90
2013-06-01,142.85
2013-07-01,142.51
2013-08-01,142.73
2013-09-01,143.03
2013-10-01,141.93
2013-11-01,140.81
2013-12-01,140.41
2014-01-01,141.02
2014-02-01,141.97
2014-03-01,143.67
2014-04-01,144.79
2014-05-01,145.17
2014-06-01,144.97
2014-07-01,144.44
2014-08-01,143.65
2014-09-01,144.03
2014-10-01,142.92
2014-11-01,140.54
2014-12-01,137.56
2015-01-01,133.98
2015-02-01,135.58
2015-03-01,138.03
2015-04-01,137.89
2015-05-01,139.93
2015-06-01,140.15
2015-07-01,139.83
2015-08-01,139.10
2015-09-01,137.68
2015-10-01,137.25
2015-11-01,135.90
2015-12-01,133.95
2016-01-01,133.38
2016-02-01,132.28
2016-03-01,133.86
2016-04-01,135.39
2016-05-01,136.26
2016-06-01,136.66
2016-07-01,135.25
2016-08-01,135.08
2016-09-01,136.13
2016-10-01,136.82
2016-11-01,135.70
2016-12-01,135.19
2017-01-01,136.54
2017-02-01,136.70
2017-03-01,137.17
2017-04-01,137.98
2017-05-01,137.50
2017-06-01,136.83
2017-07-01,136.28
2017-08-01,137.34
2017-09-01,140.18
2017-10-01,139.33
2017-11-01,139.20
2017-12-01,138.00
2018-01-01,139.33
2018-02-01,140.22
2018-03-01,140.44
2018-04-01,141.98
2018-05-01,142.95
