Date,LEU0252881500Q
1979-01-01,234.00
1979-04-01,239.00
1979-07-01,240.00
1979-10-01,249.00
1980-01-01,256.00
1980-04-01,257.00
1980-07-01,262.00
1980-10-01,271.00
1981-01-01,278.00
1981-04-01,279.00
1981-07-01,281.00
1981-10-01,294.00
1982-01-01,298.00
1982-04-01,301.00
1982-07-01,299.00
1982-10-01,308.00
1983-01-01,311.00
1983-04-01,311.00
1983-07-01,311.00
1983-10-01,318.00
1984-01-01,323.00
1984-04-01,323.00
1984-07-01,322.00
1984-10-01,335.00
1985-01-01,336.00
1985-04-01,347.00
1985-07-01,340.00
1985-10-01,351.00
1986-01-01,354.00
1986-04-01,358.00
1986-07-01,354.00
1986-10-01,368.00
1987-01-01,369.00
1987-04-01,371.00
1987-07-01,371.00
1987-10-01,381.00
1988-01-01,385.00
1988-04-01,382.00
1988-07-01,381.00
1988-10-01,392.00
1989-01-01,397.00
1989-04-01,398.00
1989-07-01,395.00
1989-10-01,408.00
1990-01-01,413.00
1990-04-01,411.00
1990-07-01,406.00
1990-10-01,419.00
1991-01-01,432.00
1991-04-01,422.00
1991-07-01,421.00
1991-10-01,432.00
1992-01-01,443.00
1992-04-01,436.00
1992-07-01,437.00
1992-10-01,445.00
1993-01-01,456.00
1993-04-01,455.00
1993-07-01,456.00
1993-10-01,467.00
1994-01-01,469.00
1994-04-01,465.00
1994-07-01,462.00
1994-10-01,472.00
1995-01-01,478.00
1995-04-01,475.00
1995-07-01,479.00
1995-10-01,484.00
1996-01-01,489.00
1996-04-01,486.00
1996-07-01,488.00
1996-10-01,499.00
1997-01-01,504.00
1997-04-01,499.00
1997-07-01,499.00
1997-10-01,511.00
1998-01-01,521.00
1998-04-01,515.00
1998-07-01,520.00
1998-10-01,541.00
1999-01-01,538.00
1999-04-01,543.00
1999-07-01,546.00
1999-10-01,568.00
2000-01-01,573.00
2000-04-01,569.00
2000-07-01,574.00
2000-10-01,585.00
2001-01-01,589.00
2001-04-01,592.00
2001-07-01,596.00
2001-10-01,606.00
2002-01-01,611.00
2002-04-01,605.00
2002-07-01,603.00
2002-10-01,613.00
2003-01-01,620.00
2003-04-01,616.00
2003-07-01,618.00
2003-10-01,625.00
2004-01-01,634.00
2004-04-01,639.00
2004-07-01,632.00
2004-10-01,647.00
2005-01-01,653.00
2005-04-01,643.00
2005-07-01,649.00
2005-10-01,659.00
2006-01-01,668.00
2006-04-01,659.00
2006-07-01,675.00
2006-10-01,682.00
2007-01-01,693.00
2007-04-01,690.00
2007-07-01,695.00
2007-10-01,700.00
2008-01-01,719.00
2008-04-01,719.00
2008-07-01,720.00
2008-10-01,728.00
2009-01-01,738.00
2009-04-01,734.00
2009-07-01,738.00
2009-10-01,748.00
2010-01-01,754.00
2010-04-01,740.00
2010-07-01,740.00
2010-10-01,752.00
2011-01-01,755.00
2011-04-01,753.00
2011-07-01,753.00
2011-10-01,764.00
2012-01-01,769.00
2012-04-01,771.00
2012-07-01,758.00
2012-10-01,775.00
2013-01-01,773.00
2013-04-01,776.00
2013-07-01,771.00
2013-10-01,786.00
2014-01-01,796.00
2014-04-01,780.00
2014-07-01,790.00
2014-10-01,799.00
2015-01-01,808.00
2015-04-01,801.00
2015-07-01,803.00
2015-10-01,825.00
2016-01-01,830.00
2016-04-01,824.00
2016-07-01,827.00
2016-10-01,849.00
2017-01-01,865.00
2017-04-01,859.00
2017-07-01,859.00
2017-10-01,857.00
2018-01-01,881.00
