Date,UCOGVS
1992-01-01,80358000000.00
1992-02-01,88210000000.00
1992-03-01,92198000000.00
1992-04-01,89223000000.00
1992-05-01,92584000000.00
1992-06-01,97700000000.00
1992-07-01,84855000000.00
1992-08-01,91628000000.00
1992-09-01,99147000000.00
1992-10-01,97008000000.00
1992-11-01,95051000000.00
1992-12-01,90518000000.00
1993-01-01,87024000000.00
1993-02-01,93836000000.00
1993-03-01,97803000000.00
1993-04-01,92283000000.00
1993-05-01,94088000000.00
1993-06-01,99353000000.00
1993-07-01,84442000000.00
1993-08-01,92803000000.00
1993-09-01,99740000000.00
1993-10-01,99480000000.00
1993-11-01,96013000000.00
1993-12-01,90764000000.00
1994-01-01,88445000000.00
1994-02-01,96831000000.00
1994-03-01,100475000000.00
1994-04-01,95829000000.00
1994-05-01,98110000000.00
1994-06-01,103649000000.00
1994-07-01,88282000000.00
1994-08-01,103016000000.00
1994-09-01,106577000000.00
1994-10-01,105293000000.00
1994-11-01,104690000000.00
1994-12-01,100901000000.00
1995-01-01,95788000000.00
1995-02-01,104465000000.00
1995-03-01,107117000000.00
1995-04-01,102935000000.00
1995-05-01,104456000000.00
1995-06-01,109086000000.00
1995-07-01,93027000000.00
1995-08-01,107260000000.00
1995-09-01,112159000000.00
1995-10-01,110945000000.00
1995-11-01,106945000000.00
1995-12-01,102428000000.00
1996-01-01,96457000000.00
1996-02-01,104623000000.00
1996-03-01,107211000000.00
1996-04-01,106822000000.00
1996-05-01,109046000000.00
1996-06-01,110241000000.00
1996-07-01,98112000000.00
1996-08-01,110263000000.00
1996-09-01,115216000000.00
1996-10-01,116474000000.00
1996-11-01,112978000000.00
1996-12-01,105512000000.00
1997-01-01,104599000000.00
1997-02-01,111089000000.00
1997-03-01,113604000000.00
1997-04-01,111521000000.00
1997-05-01,112423000000.00
1997-06-01,116426000000.00
1997-07-01,103248000000.00
1997-08-01,116299000000.00
1997-09-01,120461000000.00
1997-10-01,121444000000.00
1997-11-01,116529000000.00
1997-12-01,110873000000.00
1998-01-01,104553000000.00
1998-02-01,113170000000.00
1998-03-01,117501000000.00
1998-04-01,112451000000.00
1998-05-01,112770000000.00
1998-06-01,114547000000.00
1998-07-01,98925000000.00
1998-08-01,114587000000.00
1998-09-01,119835000000.00
1998-10-01,119318000000.00
1998-11-01,113808000000.00
1998-12-01,110347000000.00
1999-01-01,105553000000.00
1999-02-01,115084000000.00
1999-03-01,122249000000.00
1999-04-01,115766000000.00
1999-05-01,117609000000.00
1999-06-01,124275000000.00
1999-07-01,104998000000.00
1999-08-01,123329000000.00
1999-09-01,127576000000.00
1999-10-01,126569000000.00
1999-11-01,123766000000.00
1999-12-01,118054000000.00
2000-01-01,114328000000.00
2000-02-01,123170000000.00
2000-03-01,130889000000.00
2000-04-01,122522000000.00
2000-05-01,126241000000.00
2000-06-01,132541000000.00
2000-07-01,112269000000.00
2000-08-01,127564000000.00
2000-09-01,131992000000.00
2000-10-01,131204000000.00
2000-11-01,127164000000.00
2000-12-01,120648000000.00
2001-01-01,117022000000.00
2001-02-01,120853000000.00
2001-03-01,129051000000.00
2001-04-01,120963000000.00
2001-05-01,129799000000.00
2001-06-01,125906000000.00
2001-07-01,110885000000.00
2001-08-01,131355000000.00
2001-09-01,124859000000.00
2001-10-01,128506000000.00
2001-11-01,122998000000.00
2001-12-01,118298000000.00
2002-01-01,115606000000.00
2002-02-01,115944000000.00
2002-03-01,124252000000.00
2002-04-01,122072000000.00
2002-05-01,127637000000.00
2002-06-01,126503000000.00
2002-07-01,113096000000.00
2002-08-01,130103000000.00
2002-09-01,131676000000.00
2002-10-01,135891000000.00
2002-11-01,127494000000.00
2002-12-01,124301000000.00
2003-01-01,123576000000.00
2003-02-01,124991000000.00
2003-03-01,136859000000.00
2003-04-01,125818000000.00
2003-05-01,131253000000.00
2003-06-01,134072000000.00
2003-07-01,123915000000.00
2003-08-01,135802000000.00
2003-09-01,140138000000.00
2003-10-01,143518000000.00
2003-11-01,132364000000.00
2003-12-01,132023000000.00
2004-01-01,126162000000.00
2004-02-01,131774000000.00
2004-03-01,145851000000.00
2004-04-01,136817000000.00
2004-05-01,140970000000.00
2004-06-01,146006000000.00
2004-07-01,129383000000.00
2004-08-01,147946000000.00
2004-09-01,147617000000.00
2004-10-01,152849000000.00
2004-11-01,149618000000.00
2004-12-01,145842000000.00
2005-01-01,137941000000.00
2005-02-01,142035000000.00
2005-03-01,158630000000.00
2005-04-01,151989000000.00
2005-05-01,158343000000.00
2005-06-01,162829000000.00
2005-07-01,147644000000.00
2005-08-01,170905000000.00
2005-09-01,171636000000.00
2005-10-01,170109000000.00
2005-11-01,162611000000.00
2005-12-01,160447000000.00
2006-01-01,154450000000.00
2006-02-01,151394000000.00
2006-03-01,171888000000.00
2006-04-01,160552000000.00
2006-05-01,177228000000.00
2006-06-01,176344000000.00
2006-07-01,158895000000.00
2006-08-01,177946000000.00
2006-09-01,162574000000.00
2006-10-01,164690000000.00
2006-11-01,161268000000.00
2006-12-01,162802000000.00
2007-01-01,152051000000.00
2007-02-01,154707000000.00
2007-03-01,173688000000.00
2007-04-01,167675000000.00
2007-05-01,182570000000.00
2007-06-01,181776000000.00
2007-07-01,168737000000.00
2007-08-01,185095000000.00
2007-09-01,178078000000.00
2007-10-01,189638000000.00
2007-11-01,188749000000.00
2007-12-01,183317000000.00
2008-01-01,177561000000.00
2008-02-01,179714000000.00
2008-03-01,190066000000.00
2008-04-01,195844000000.00
2008-05-01,208279000000.00
2008-06-01,211338000000.00
2008-07-01,204978000000.00
2008-08-01,205753000000.00
2008-09-01,191361000000.00
2008-10-01,184005000000.00
2008-11-01,157396000000.00
2008-12-01,147712000000.00
2009-01-01,139938000000.00
2009-02-01,139008000000.00
2009-03-01,148265000000.00
2009-04-01,145406000000.00
2009-05-01,151240000000.00
2009-06-01,159533000000.00
2009-07-01,150604000000.00
2009-08-01,161310000000.00
2009-09-01,160960000000.00
2009-10-01,166615000000.00
2009-11-01,161864000000.00
2009-12-01,164370000000.00
2010-01-01,155425000000.00
2010-02-01,152720000000.00
2010-03-01,174902000000.00
2010-04-01,168880000000.00
2010-05-01,170763000000.00
2010-06-01,173935000000.00
2010-07-01,165517000000.00
2010-08-01,177384000000.00
2010-09-01,176677000000.00
2010-10-01,180979000000.00
2010-11-01,178305000000.00
2010-12-01,183426000000.00
2011-01-01,177164000000.00
2011-02-01,176838000000.00
2011-03-01,206671000000.00
2011-04-01,199300000000.00
2011-05-01,202599000000.00
2011-06-01,205028000000.00
2011-07-01,195768000000.00
2011-08-01,207393000000.00
2011-09-01,202149000000.00
2011-10-01,204019000000.00
2011-11-01,200368000000.00
2011-12-01,196215000000.00
2012-01-01,189092000000.00
2012-02-01,195215000000.00
2012-03-01,210489000000.00
2012-04-01,202257000000.00
2012-05-01,210255000000.00
2012-06-01,200019000000.00
2012-07-01,194838000000.00
2012-08-01,213434000000.00
2012-09-01,206637000000.00
2012-10-01,213712000000.00
2012-11-01,203084000000.00
2012-12-01,198115000000.00
2013-01-01,196528000000.00
2013-02-01,198113000000.00
2013-03-01,210592000000.00
2013-04-01,203891000000.00
2013-05-01,212399000000.00
2013-06-01,205891000000.00
2013-07-01,206046000000.00
2013-08-01,217633000000.00
2013-09-01,211408000000.00
2013-10-01,218171000000.00
2013-11-01,208915000000.00
2013-12-01,206498000000.00
2014-01-01,199606000000.00
2014-02-01,199757000000.00
2014-03-01,216825000000.00
2014-04-01,214995000000.00
2014-05-01,219369000000.00
2014-06-01,215996000000.00
2014-07-01,208696000000.00
2014-08-01,216222000000.00
2014-09-01,213208000000.00
2014-10-01,213172000000.00
2014-11-01,197284000000.00
2014-12-01,192459000000.00
2015-01-01,174482000000.00
2015-02-01,177304000000.00
2015-03-01,197490000000.00
2015-04-01,191856000000.00
2015-05-01,195152000000.00
2015-06-01,198987000000.00
2015-07-01,186474000000.00
2015-08-01,191740000000.00
2015-09-01,192244000000.00
2015-10-01,190940000000.00
2015-11-01,180945000000.00
2015-12-01,178885000000.00
2016-01-01,164137000000.00
2016-02-01,171298000000.00
2016-03-01,186362000000.00
2016-04-01,178170000000.00
2016-05-01,183529000000.00
2016-06-01,189211000000.00
2016-07-01,172482000000.00
2016-08-01,189540000000.00
2016-09-01,188458000000.00
2016-10-01,188381000000.00
2016-11-01,183637000000.00
2016-12-01,189169000000.00
2017-01-01,179575000000.00
2017-02-01,178579000000.00
2017-03-01,197633000000.00
2017-04-01,187597000000.00
2017-05-01,197132000000.00
2017-06-01,196070000000.00
2017-07-01,183236000000.00
2017-08-01,203610000000.00
2017-09-01,199864000000.00
2017-10-01,205302000000.00
2017-11-01,203460000000.00
2017-12-01,199055000000.00
2018-01-01,195468000000.00
2018-02-01,192825000000.00
2018-03-01,213382000000.00
2018-04-01,207526000000.00
