Date,UBTPVS
1992-01-01,9699000000.00
1992-02-01,10933000000.00
1992-03-01,11794000000.00
1992-04-01,11858000000.00
1992-05-01,12134000000.00
1992-06-01,12017000000.00
1992-07-01,8403000000.00
1992-08-01,10589000000.00
1992-09-01,11038000000.00
1992-10-01,12459000000.00
1992-11-01,11374000000.00
1992-12-01,10097000000.00
1993-01-01,10906000000.00
1993-02-01,12978000000.00
1993-03-01,13711000000.00
1993-04-01,13468000000.00
1993-05-01,12600000000.00
1993-06-01,13403000000.00
1993-07-01,8460000000.00
1993-08-01,11844000000.00
1993-09-01,13287000000.00
1993-10-01,14215000000.00
1993-11-01,13268000000.00
1993-12-01,11772000000.00
1994-01-01,13209000000.00
1994-02-01,15110000000.00
1994-03-01,15482000000.00
1994-04-01,14781000000.00
1994-05-01,15188000000.00
1994-06-01,15507000000.00
1994-07-01,10141000000.00
1994-08-01,15098000000.00
1994-09-01,15130000000.00
1994-10-01,15435000000.00
1994-11-01,15122000000.00
1994-12-01,13626000000.00
1995-01-01,14734000000.00
1995-02-01,16444000000.00
1995-03-01,17421000000.00
1995-04-01,15804000000.00
1995-05-01,15862000000.00
1995-06-01,16313000000.00
1995-07-01,9979000000.00
1995-08-01,15628000000.00
1995-09-01,16675000000.00
1995-10-01,16851000000.00
1995-11-01,16091000000.00
1995-12-01,14379000000.00
1996-01-01,15508000000.00
1996-02-01,17237000000.00
1996-03-01,15633000000.00
1996-04-01,17028000000.00
1996-05-01,17798000000.00
1996-06-01,17611000000.00
1996-07-01,11907000000.00
1996-08-01,16668000000.00
1996-09-01,16809000000.00
1996-10-01,16735000000.00
1996-11-01,16271000000.00
1996-12-01,13381000000.00
1997-01-01,16250000000.00
1997-02-01,18157000000.00
1997-03-01,17106000000.00
1997-04-01,18061000000.00
1997-05-01,17233000000.00
1997-06-01,17359000000.00
1997-07-01,12118000000.00
1997-08-01,16912000000.00
1997-09-01,17805000000.00
1997-10-01,18687000000.00
1997-11-01,16969000000.00
1997-12-01,14863000000.00
1998-01-01,15610000000.00
1998-02-01,19068000000.00
1998-03-01,19049000000.00
1998-04-01,18506000000.00
1998-05-01,18405000000.00
1998-06-01,16389000000.00
1998-07-01,10909000000.00
1998-08-01,17742000000.00
1998-09-01,18920000000.00
1998-10-01,20123000000.00
1998-11-01,19081000000.00
1998-12-01,16463000000.00
1999-01-01,17749000000.00
1999-02-01,20135000000.00
1999-03-01,20788000000.00
1999-04-01,20164000000.00
1999-05-01,20031000000.00
1999-06-01,20597000000.00
1999-07-01,13187000000.00
1999-08-01,20344000000.00
1999-09-01,20365000000.00
1999-10-01,20816000000.00
1999-11-01,19490000000.00
1999-12-01,17650000000.00
2000-01-01,19209000000.00
2000-02-01,20677000000.00
2000-03-01,22074000000.00
2000-04-01,19760000000.00
2000-05-01,20653000000.00
2000-06-01,21417000000.00
2000-07-01,13834000000.00
2000-08-01,20292000000.00
2000-09-01,20256000000.00
2000-10-01,20105000000.00
2000-11-01,17813000000.00
2000-12-01,15617000000.00
2001-01-01,16561000000.00
2001-02-01,18646000000.00
2001-03-01,19705000000.00
2001-04-01,17855000000.00
2001-05-01,19725000000.00
2001-06-01,18775000000.00
2001-07-01,12684000000.00
2001-08-01,18922000000.00
2001-09-01,16660000000.00
2001-10-01,18724000000.00
2001-11-01,17899000000.00
2001-12-01,14892000000.00
2002-01-01,17292000000.00
2002-02-01,18867000000.00
2002-03-01,19731000000.00
2002-04-01,21257000000.00
2002-05-01,22019000000.00
2002-06-01,19512000000.00
2002-07-01,14159000000.00
2002-08-01,20957000000.00
2002-09-01,19665000000.00
2002-10-01,21906000000.00
2002-11-01,19003000000.00
2002-12-01,14493000000.00
2003-01-01,18274000000.00
2003-02-01,19855000000.00
2003-03-01,20328000000.00
2003-04-01,19770000000.00
2003-05-01,20073000000.00
2003-06-01,19844000000.00
2003-07-01,14303000000.00
2003-08-01,19101000000.00
2003-09-01,20118000000.00
2003-10-01,21661000000.00
2003-11-01,18129000000.00
2003-12-01,16826000000.00
2004-01-01,17902000000.00
2004-02-01,19632000000.00
2004-03-01,22100000000.00
2004-04-01,20435000000.00
2004-05-01,19800000000.00
2004-06-01,20623000000.00
2004-07-01,14467000000.00
2004-08-01,20225000000.00
2004-09-01,20206000000.00
2004-10-01,20505000000.00
2004-11-01,18945000000.00
2004-12-01,17827000000.00
2005-01-01,18737000000.00
2005-02-01,20214000000.00
2005-03-01,20903000000.00
2005-04-01,21164000000.00
2005-05-01,21291000000.00
2005-06-01,21597000000.00
2005-07-01,14219000000.00
2005-08-01,22089000000.00
2005-09-01,21324000000.00
2005-10-01,21715000000.00
2005-11-01,19073000000.00
2005-12-01,17316000000.00
2006-01-01,18353000000.00
2006-02-01,19660000000.00
2006-03-01,22173000000.00
2006-04-01,19152000000.00
2006-05-01,21595000000.00
2006-06-01,21491000000.00
2006-07-01,14382000000.00
2006-08-01,22619000000.00
2006-09-01,20359000000.00
2006-10-01,21332000000.00
2006-11-01,19514000000.00
2006-12-01,17685000000.00
2007-01-01,18399000000.00
2007-02-01,20228000000.00
2007-03-01,22695000000.00
2007-04-01,20243000000.00
2007-05-01,21892000000.00
2007-06-01,21452000000.00
2007-07-01,16423000000.00
2007-08-01,23068000000.00
2007-09-01,20062000000.00
2007-10-01,21812000000.00
2007-11-01,19696000000.00
2007-12-01,16527000000.00
2008-01-01,18518000000.00
2008-02-01,20394000000.00
2008-03-01,19552000000.00
2008-04-01,19352000000.00
2008-05-01,18946000000.00
2008-06-01,19322000000.00
2008-07-01,13983000000.00
2008-08-01,16945000000.00
2008-09-01,16683000000.00
2008-10-01,16877000000.00
2008-11-01,13747000000.00
2008-12-01,11885000000.00
2009-01-01,11640000000.00
2009-02-01,12366000000.00
2009-03-01,13122000000.00
2009-04-01,12497000000.00
2009-05-01,11706000000.00
2009-06-01,13053000000.00
2009-07-01,10349000000.00
2009-08-01,13771000000.00
2009-09-01,14649000000.00
2009-10-01,15174000000.00
2009-11-01,14009000000.00
2009-12-01,13427000000.00
2010-01-01,14283000000.00
2010-02-01,13885000000.00
2010-03-01,16273000000.00
2010-04-01,16176000000.00
2010-05-01,16527000000.00
2010-06-01,18151000000.00
2010-07-01,14545000000.00
2010-08-01,18267000000.00
2010-09-01,17940000000.00
2010-10-01,18263000000.00
2010-11-01,16539000000.00
2010-12-01,15571000000.00
2011-01-01,16012000000.00
2011-02-01,16943000000.00
