Date,TLHWYCON
2002-01-01,3180000000.00
2002-02-01,2979000000.00
2002-03-01,2966000000.00
2002-04-01,3772000000.00
2002-05-01,4991000000.00
2002-06-01,5597000000.00
2002-07-01,6180000000.00
2002-08-01,6621000000.00
2002-09-01,6549000000.00
2002-10-01,5917000000.00
2002-11-01,4696000000.00
2002-12-01,4035000000.00
2003-01-01,3077000000.00
2003-02-01,2824000000.00
2003-03-01,3021000000.00
2003-04-01,3865000000.00
2003-05-01,4793000000.00
2003-06-01,5695000000.00
2003-07-01,5975000000.00
2003-08-01,6519000000.00
2003-09-01,6864000000.00
2003-10-01,5977000000.00
2003-11-01,4865000000.00
2003-12-01,3664000000.00
2004-01-01,2886000000.00
2004-02-01,2716000000.00
2004-03-01,3434000000.00
2004-04-01,4270000000.00
2004-05-01,5246000000.00
2004-06-01,6161000000.00
2004-07-01,6213000000.00
2004-08-01,6517000000.00
2004-09-01,6184000000.00
2004-10-01,5842000000.00
2004-11-01,5287000000.00
2004-12-01,3868000000.00
2005-01-01,2978000000.00
2005-02-01,3169000000.00
2005-03-01,3636000000.00
2005-04-01,4395000000.00
2005-05-01,5632000000.00
2005-06-01,6565000000.00
2005-07-01,6815000000.00
2005-08-01,7365000000.00
2005-09-01,7383000000.00
2005-10-01,6558000000.00
2005-11-01,5505000000.00
2005-12-01,4139000000.00
2006-01-01,3288000000.00
2006-02-01,3399000000.00
2006-03-01,4150000000.00
2006-04-01,5216000000.00
2006-05-01,6729000000.00
2006-06-01,7705000000.00
2006-07-01,8048000000.00
2006-08-01,8358000000.00
2006-09-01,7640000000.00
2006-10-01,7073000000.00
2006-11-01,6002000000.00
2006-12-01,4431000000.00
2007-01-01,3909000000.00
2007-02-01,3817000000.00
2007-03-01,4405000000.00
2007-04-01,5419000000.00
2007-05-01,6821000000.00
2007-06-01,7560000000.00
2007-07-01,7808000000.00
2007-08-01,8790000000.00
2007-09-01,8520000000.00
2007-10-01,8023000000.00
2007-11-01,6703000000.00
2007-12-01,4907000000.00
2008-01-01,3757000000.00
2008-02-01,3989000000.00
2008-03-01,4734000000.00
2008-04-01,5844000000.00
2008-05-01,6894000000.00
2008-06-01,8064000000.00
2008-07-01,8900000000.00
2008-08-01,9188000000.00
2008-09-01,9435000000.00
2008-10-01,8639000000.00
2008-11-01,6908000000.00
2008-12-01,5010000000.00
2009-01-01,3821000000.00
2009-02-01,3943000000.00
2009-03-01,4530000000.00
2009-04-01,5649000000.00
2009-05-01,6695000000.00
2009-06-01,8513000000.00
2009-07-01,9222000000.00
2009-08-01,9547000000.00
2009-09-01,9694000000.00
2009-10-01,8829000000.00
2009-11-01,6871000000.00
2009-12-01,4852000000.00
2010-01-01,3584000000.00
2010-02-01,3796000000.00
2010-03-01,4564000000.00
2010-04-01,5728000000.00
2010-05-01,7055000000.00
2010-06-01,8468000000.00
2010-07-01,8379000000.00
2010-08-01,9653000000.00
2010-09-01,9920000000.00
2010-10-01,8962000000.00
2010-11-01,7352000000.00
2010-12-01,5068000000.00
2011-01-01,3760000000.00
2011-02-01,3794000000.00
2011-03-01,4431000000.00
2011-04-01,5160000000.00
2011-05-01,6398000000.00
2011-06-01,7869000000.00
2011-07-01,8108000000.00
2011-08-01,9207000000.00
2011-09-01,9466000000.00
2011-10-01,8591000000.00
2011-11-01,7412000000.00
2011-12-01,5128000000.00
2012-01-01,3714000000.00
2012-02-01,4044000000.00
2012-03-01,4385000000.00
2012-04-01,5631000000.00
2012-05-01,7361000000.00
2012-06-01,8720000000.00
2012-07-01,8827000000.00
2012-08-01,9616000000.00
2012-09-01,8739000000.00
2012-10-01,8259000000.00
2012-11-01,6684000000.00
2012-12-01,4566000000.00
2013-01-01,3701000000.00
2013-02-01,3804000000.00
2013-03-01,4051000000.00
2013-04-01,5604000000.00
2013-05-01,7105000000.00
2013-06-01,8320000000.00
2013-07-01,9092000000.00
2013-08-01,9798000000.00
2013-09-01,9415000000.00
2013-10-01,8687000000.00
2013-11-01,6855000000.00
2013-12-01,4932000000.00
2014-01-01,3864000000.00
2014-02-01,3884000000.00
2014-03-01,4530000000.00
2014-04-01,5949000000.00
2014-05-01,7329000000.00
2014-06-01,8030000000.00
2014-07-01,9318000000.00
2014-08-01,9857000000.00
2014-09-01,9697000000.00
2014-10-01,9598000000.00
2014-11-01,7308000000.00
2014-12-01,5379000000.00
2015-01-01,3969000000.00
2015-02-01,4019000000.00
2015-03-01,4620000000.00
2015-04-01,6339000000.00
2015-05-01,7696000000.00
2015-06-01,9469000000.00
2015-07-01,10172000000.00
2015-08-01,10855000000.00
2015-09-01,10589000000.00
2015-10-01,9708000000.00
2015-11-01,7311000000.00
2015-12-01,5881000000.00
2016-01-01,4587000000.00
2016-02-01,4564000000.00
2016-03-01,5366000000.00
2016-04-01,6328000000.00
2016-05-01,7551000000.00
2016-06-01,9138000000.00
2016-07-01,9564000000.00
2016-08-01,10291000000.00
2016-09-01,10426000000.00
2016-10-01,10028000000.00
2016-11-01,8140000000.00
2016-12-01,5406000000.00
2017-01-01,4135000000.00
2017-02-01,4432000000.00
2017-03-01,5352000000.00
2017-04-01,6284000000.00
2017-05-01,7618000000.00
2017-06-01,8541000000.00
2017-07-01,9156000000.00
2017-08-01,9958000000.00
2017-09-01,9831000000.00
2017-10-01,9553000000.00
2017-11-01,7671000000.00
2017-12-01,5257000000.00
2018-01-01,4236000000.00
2018-02-01,4181000000.00
2018-03-01,5080000000.00
2018-04-01,6108000000.00
