Date,CEBNDIF066MNFRBPHI
2011-03-01,33.30
2011-04-01,25.00
2011-05-01,43.50
2011-06-01,4.00
2011-07-01,10.50
2011-08-01,5.00
2011-09-01,15.00
2011-10-01,36.80
2011-11-01,11.10
2011-12-01,15.40
2012-01-01,31.30
2012-02-01,34.20
2012-03-01,48.10
2012-04-01,20.00
2012-05-01,37.90
2012-06-01,28.90
2012-07-01,20.60
2012-08-01,9.10
2012-09-01,17.40
2012-10-01,19.40
2012-12-01,20.70
2013-01-01,11.80
2013-02-01,22.20
2013-03-01,31.00
2013-04-01,19.50
2013-05-01,17.50
2013-06-01,19.00
2013-07-01,21.40
2013-08-01,27.90
2013-09-01,33.30
2013-10-01,28.60
2013-11-01,27.90
2013-12-01,24.40
2014-01-01,4.90
2014-02-01,9.50
2014-03-01,16.40
2014-04-01,31.90
2014-05-01,20.40
2014-06-01,30.40
2014-07-01,25.00
2014-08-01,20.50
2014-09-01,23.80
2014-10-01,20.60
2014-11-01,14.70
2014-12-01,27.50
2015-01-01,20.60
2015-02-01,24.50
2015-03-01,18.60
2015-04-01,25.60
2015-05-01,25.00
2015-06-01,18.90
2015-07-01,5.40
2015-08-01,7.70
2015-09-01,24.40
2015-10-01,15.00
2015-11-01,26.30
2015-12-01,25.50
2016-01-01,18.20
2016-02-01,19.20
2016-03-01,26.40
2016-04-01,23.30
2016-05-01,22.40
2016-06-01,29.00
2016-07-01,27.60
2016-08-01,23.00
2016-09-01,20.70
2016-10-01,22.20
2016-11-01,16.90
2016-12-01,28.30
2017-01-01,31.90
2017-02-01,27.70
2017-03-01,23.90
2017-04-01,35.10
2017-05-01,30.90
2017-06-01,22.60
2017-07-01,22.60
2017-08-01,31.00
2017-09-01,21.40
2017-10-01,32.80
2017-11-01,18.60
2017-12-01,22.00
2018-01-01,27.90
2018-02-01,26.30
2018-03-01,36.20
2018-04-01,31.50
2018-05-01,36.20
2018-06-01,35.90
