Date,U21STI
1992-01-01,6665000000.00
1992-02-01,6754000000.00
1992-03-01,6750000000.00
1992-04-01,6721000000.00
1992-05-01,6703000000.00
1992-06-01,6642000000.00
1992-07-01,6687000000.00
1992-08-01,6687000000.00
1992-09-01,6692000000.00
1992-10-01,6812000000.00
1992-11-01,6742000000.00
1992-12-01,6778000000.00
1993-01-01,6765000000.00
1993-02-01,7094000000.00
1993-03-01,7299000000.00
1993-04-01,7571000000.00
1993-05-01,7522000000.00
1993-06-01,7528000000.00
1993-07-01,7478000000.00
1993-08-01,7654000000.00
1993-09-01,7875000000.00
1993-10-01,7999000000.00
1993-11-01,8091000000.00
1993-12-01,8413000000.00
1994-01-01,8861000000.00
1994-02-01,8879000000.00
1994-03-01,8809000000.00
1994-04-01,8554000000.00
1994-05-01,8470000000.00
1994-06-01,8548000000.00
1994-07-01,8497000000.00
1994-08-01,8589000000.00
1994-09-01,8613000000.00
1994-10-01,8627000000.00
1994-11-01,8645000000.00
1994-12-01,8691000000.00
1995-01-01,8711000000.00
1995-02-01,8730000000.00
1995-03-01,8490000000.00
1995-04-01,8363000000.00
1995-05-01,8289000000.00
1995-06-01,8103000000.00
1995-07-01,8364000000.00
1995-08-01,8434000000.00
1995-09-01,8755000000.00
1995-10-01,9038000000.00
1995-11-01,9125000000.00
1995-12-01,9035000000.00
1996-01-01,9099000000.00
1996-02-01,9024000000.00
1996-03-01,8804000000.00
1996-04-01,8281000000.00
1996-05-01,8321000000.00
1996-06-01,8387000000.00
1996-07-01,8511000000.00
1996-08-01,8655000000.00
1996-09-01,8895000000.00
1996-10-01,8895000000.00
1996-11-01,8960000000.00
1996-12-01,8879000000.00
1997-01-01,8933000000.00
1997-02-01,8988000000.00
1997-03-01,8765000000.00
1997-04-01,8599000000.00
1997-05-01,8516000000.00
1997-06-01,8491000000.00
1997-07-01,8705000000.00
1997-08-01,8982000000.00
1997-09-01,9276000000.00
1997-10-01,9518000000.00
1997-11-01,9578000000.00
1997-12-01,9441000000.00
1998-01-01,9406000000.00
1998-02-01,9450000000.00
1998-03-01,9203000000.00
1998-04-01,9078000000.00
1998-05-01,9109000000.00
1998-06-01,8898000000.00
1998-07-01,9060000000.00
1998-08-01,9230000000.00
1998-09-01,9451000000.00
1998-10-01,9727000000.00
1998-11-01,9877000000.00
1998-12-01,9684000000.00
1999-01-01,9952000000.00
1999-02-01,10031000000.00
1999-03-01,9815000000.00
1999-04-01,9547000000.00
1999-05-01,9559000000.00
1999-06-01,9557000000.00
1999-07-01,9885000000.00
1999-08-01,9916000000.00
1999-09-01,9851000000.00
1999-10-01,10040000000.00
1999-11-01,10183000000.00
1999-12-01,10289000000.00
2000-01-01,10623000000.00
2000-02-01,10671000000.00
2000-03-01,10424000000.00
2000-04-01,10242000000.00
2000-05-01,9987000000.00
2000-06-01,9987000000.00
2000-07-01,10126000000.00
2000-08-01,10137000000.00
2000-09-01,10128000000.00
2000-10-01,10412000000.00
2000-11-01,10451000000.00
