Date,S4235SM144NCEN
1992-01-01,5742000000.00
1992-02-01,5431000000.00
1992-03-01,6334000000.00
1992-04-01,5873000000.00
1992-05-01,5884000000.00
1992-06-01,6249000000.00
1992-07-01,5909000000.00
1992-08-01,6145000000.00
1992-09-01,6079000000.00
1992-10-01,5823000000.00
1992-11-01,5459000000.00
1992-12-01,5689000000.00
1993-01-01,5814000000.00
1993-02-01,5451000000.00
1993-03-01,6545000000.00
1993-04-01,6188000000.00
1993-05-01,6143000000.00
1993-06-01,6627000000.00
1993-07-01,5862000000.00
1993-08-01,6195000000.00
1993-09-01,6169000000.00
1993-10-01,5948000000.00
1993-11-01,5548000000.00
1993-12-01,5700000000.00
1994-01-01,5722000000.00
1994-02-01,5874000000.00
1994-03-01,7208000000.00
1994-04-01,6507000000.00
1994-05-01,6985000000.00
1994-06-01,7311000000.00
1994-07-01,6366000000.00
1994-08-01,7549000000.00
1994-09-01,7420000000.00
1994-10-01,7292000000.00
1994-11-01,6773000000.00
1994-12-01,6673000000.00
1995-01-01,7219000000.00
1995-02-01,6822000000.00
1995-03-01,8115000000.00
1995-04-01,7260000000.00
1995-05-01,7579000000.00
1995-06-01,7536000000.00
1995-07-01,6687000000.00
1995-08-01,7610000000.00
1995-09-01,7257000000.00
1995-10-01,7546000000.00
1995-11-01,6939000000.00
1995-12-01,6459000000.00
1996-01-01,7164000000.00
1996-02-01,7005000000.00
1996-03-01,7117000000.00
1996-04-01,7429000000.00
1996-05-01,7751000000.00
1996-06-01,7050000000.00
1996-07-01,6976000000.00
1996-08-01,7404000000.00
1996-09-01,6946000000.00
1996-10-01,7677000000.00
1996-11-01,6910000000.00
1996-12-01,6748000000.00
1997-01-01,7360000000.00
1997-02-01,7136000000.00
1997-03-01,7478000000.00
1997-04-01,7979000000.00
1997-05-01,7675000000.00
1997-06-01,7865000000.00
1997-07-01,7642000000.00
1997-08-01,7663000000.00
1997-09-01,7975000000.00
1997-10-01,8305000000.00
1997-11-01,7084000000.00
1997-12-01,7391000000.00
1998-01-01,7319000000.00
1998-02-01,7114000000.00
1998-03-01,8155000000.00
1998-04-01,7702000000.00
1998-05-01,7371000000.00
1998-06-01,7797000000.00
1998-07-01,7403000000.00
1998-08-01,7288000000.00
1998-09-01,7535000000.00
1998-10-01,7425000000.00
1998-11-01,6661000000.00
1998-12-01,6744000000.00
1999-01-01,6934000000.00
1999-02-01,6876000000.00
1999-03-01,7843000000.00
1999-04-01,7287000000.00
1999-05-01,6908000000.00
1999-06-01,7456000000.00
1999-07-01,6936000000.00
1999-08-01,7180000000.00
1999-09-01,7118000000.00
1999-10-01,7368000000.00
1999-11-01,7288000000.00
1999-12-01,7320000000.00
2000-01-01,7603000000.00
2000-02-01,7833000000.00
2000-03-01,8698000000.00
2000-04-01,7607000000.00
2000-05-01,8178000000.00
2000-06-01,8325000000.00
2000-07-01,7426000000.00
2000-08-01,8379000000.00
2000-09-01,7681000000.00
2000-10-01,7879000000.00
2000-11-01,7396000000.00
2000-12-01,6801000000.00
2001-01-01,7254000000.00
2001-02-01,6945000000.00
2001-03-01,7472000000.00
2001-04-01,7129000000.00
2001-05-01,7762000000.00
2001-06-01,7424000000.00
2001-07-01,7117000000.00
2001-08-01,7809000000.00
2001-09-01,6772000000.00
2001-10-01,7214000000.00
2001-11-01,6455000000.00
2001-12-01,5494000000.00
2002-01-01,6523000000.00
2002-02-01,6084000000.00
2002-03-01,6567000000.00
2002-04-01,7092000000.00
2002-05-01,7306000000.00
2002-06-01,7184000000.00
2002-07-01,7427000000.00
2002-08-01,7365000000.00
2002-09-01,6857000000.00
2002-10-01,7551000000.00
2002-11-01,6146000000.00
2002-12-01,5644000000.00
2003-01-01,6479000000.00
2003-02-01,5973000000.00
2003-03-01,6592000000.00
2003-04-01,6865000000.00
2003-05-01,6897000000.00
2003-06-01,6844000000.00
2003-07-01,7197000000.00
2003-08-01,6913000000.00
2003-09-01,7051000000.00
2003-10-01,7431000000.00
2003-11-01,6334000000.00
2003-12-01,6629000000.00
2004-01-01,7552000000.00
2004-02-01,7958000000.00
2004-03-01,10334000000.00
2004-04-01,10453000000.00
2004-05-01,9504000000.00
2004-06-01,10655000000.00
2004-07-01,10510000000.00
2004-08-01,11397000000.00
2004-09-01,10913000000.00
2004-10-01,10912000000.00
2004-11-01,10441000000.00
2004-12-01,10128000000.00
2005-01-01,10575000000.00
2005-02-01,10577000000.00
2005-03-01,12014000000.00
2005-04-01,11659000000.00
2005-05-01,11638000000.00
2005-06-01,11790000000.00
2005-07-01,10603000000.00
2005-08-01,11785000000.00
2005-09-01,11416000000.00
2005-10-01,11906000000.00
2005-11-01,11310000000.00
2005-12-01,10860000000.00
2006-01-01,11666000000.00
2006-02-01,11565000000.00
2006-03-01,13487000000.00
2006-04-01,12407000000.00
2006-05-01,14048000000.00
2006-06-01,14740000000.00
2006-07-01,13269000000.00
2006-08-01,14489000000.00
2006-09-01,13613000000.00
2006-10-01,14360000000.00
2006-11-01,13143000000.00
2006-12-01,11415000000.00
2007-01-01,13938000000.00
2007-02-01,12935000000.00
2007-03-01,14659000000.00
2007-04-01,14384000000.00
2007-05-01,15234000000.00
2007-06-01,14544000000.00
2007-07-01,14042000000.00
2007-08-01,14909000000.00
2007-09-01,12361000000.00
2007-10-01,14634000000.00
2007-11-01,13039000000.00
2007-12-01,11182000000.00
2008-01-01,14361000000.00
2008-02-01,13523000000.00
2008-03-01,14215000000.00
2008-04-01,15504000000.00
2008-05-01,16270000000.00
2008-06-01,16276000000.00
2008-07-01,16990000000.00
2008-08-01,16780000000.00
2008-09-01,16228000000.00
2008-10-01,16777000000.00
