Date,UCOGNO
1992-02-01,88509000000.00
1992-03-01,92115000000.00
1992-04-01,89815000000.00
1992-05-01,92566000000.00
1992-06-01,97444000000.00
1992-07-01,85142000000.00
1992-08-01,91341000000.00
1992-09-01,98822000000.00
1992-10-01,96779000000.00
1992-11-01,94687000000.00
1992-12-01,90125000000.00
1993-01-01,88164000000.00
1993-02-01,94064000000.00
1993-03-01,97907000000.00
1993-04-01,92964000000.00
1993-05-01,94168000000.00
1993-06-01,99158000000.00
1993-07-01,84827000000.00
1993-08-01,92766000000.00
1993-09-01,99352000000.00
1993-10-01,99145000000.00
1993-11-01,95427000000.00
1993-12-01,90505000000.00
1994-01-01,89234000000.00
1994-02-01,96958000000.00
1994-03-01,100532000000.00
1994-04-01,96114000000.00
1994-05-01,98639000000.00
1994-06-01,103510000000.00
1994-07-01,88610000000.00
1994-08-01,103036000000.00
1994-09-01,106374000000.00
1994-10-01,104992000000.00
1994-11-01,104215000000.00
1994-12-01,100370000000.00
1995-01-01,96560000000.00
1995-02-01,104474000000.00
1995-03-01,107300000000.00
1995-04-01,103039000000.00
1995-05-01,105006000000.00
1995-06-01,108927000000.00
1995-07-01,93691000000.00
1995-08-01,107214000000.00
1995-09-01,111564000000.00
1995-10-01,110648000000.00
1995-11-01,106468000000.00
1995-12-01,101830000000.00
1996-01-01,97533000000.00
1996-02-01,104732000000.00
1996-03-01,107596000000.00
1996-04-01,107283000000.00
1996-05-01,109281000000.00
1996-06-01,109748000000.00
1996-07-01,98195000000.00
1996-08-01,110155000000.00
1996-09-01,114869000000.00
1996-10-01,116689000000.00
1996-11-01,112444000000.00
1996-12-01,105012000000.00
1997-01-01,105067000000.00
1997-02-01,111350000000.00
1997-03-01,113409000000.00
1997-04-01,111823000000.00
1997-05-01,112971000000.00
1997-06-01,116232000000.00
1997-07-01,103840000000.00
1997-08-01,116002000000.00
1997-09-01,120446000000.00
1997-10-01,121921000000.00
1997-11-01,116392000000.00
1997-12-01,110557000000.00
1998-01-01,105110000000.00
1998-02-01,112951000000.00
1998-03-01,116792000000.00
1998-04-01,112116000000.00
1998-05-01,113228000000.00
1998-06-01,114846000000.00
1998-07-01,99307000000.00
1998-08-01,114841000000.00
1998-09-01,119832000000.00
1998-10-01,120026000000.00
1998-11-01,113573000000.00
1998-12-01,110086000000.00
1999-01-01,106179000000.00
1999-02-01,115722000000.00
1999-03-01,122604000000.00
1999-04-01,115795000000.00
1999-05-01,117079000000.00
1999-06-01,123714000000.00
1999-07-01,105468000000.00
1999-08-01,123045000000.00
1999-09-01,127711000000.00
1999-10-01,127779000000.00
1999-11-01,123138000000.00
1999-12-01,117383000000.00
2000-01-01,114971000000.00
