Date,CMRMT
2005-08-01,1097704000000.00
2005-09-01,1092251000000.00
2005-10-01,1092223000000.00
2005-11-01,1105057000000.00
2005-12-01,1113236000000.00
2006-01-01,1118050000000.00
2006-02-01,1120978000000.00
2006-03-01,1123080000000.00
2006-04-01,1112450000000.00
2006-05-01,1120799000000.00
2006-06-01,1117590000000.00
2006-07-01,1115827000000.00
2006-08-01,1121724000000.00
2006-09-01,1117718000000.00
2006-10-01,1119501000000.00
2006-11-01,1121303000000.00
2006-12-01,1137388000000.00
2007-01-01,1130367000000.00
2007-02-01,1137955000000.00
2007-03-01,1138826000000.00
2007-04-01,1136935000000.00
2007-05-01,1145722000000.00
2007-06-01,1141136000000.00
2007-07-01,1138244000000.00
2007-08-01,1151455000000.00
2007-09-01,1152180000000.00
2007-10-01,1155628000000.00
2007-11-01,1153212000000.00
2007-12-01,1147266000000.00
2008-01-01,1152183000000.00
2008-02-01,1137218000000.00
2008-03-01,1121144000000.00
2008-04-01,1136200000000.00
2008-05-01,1126704000000.00
2008-06-01,1124894000000.00
2008-07-01,1106906000000.00
2008-08-01,1096142000000.00
2008-09-01,1067217000000.00
2008-10-01,1055089000000.00
2008-11-01,1028942000000.00
2008-12-01,1023336000000.00
2009-01-01,1000768000000.00
2009-02-01,1005768000000.00
2009-03-01,985406000000.00
2009-04-01,978282000000.00
2009-05-01,976269000000.00
2009-06-01,974099000000.00
2009-07-01,991095000000.00
2009-08-01,990106000000.00
2009-09-01,990690000000.00
2009-10-01,994658000000.00
2009-11-01,1003259000000.00
2009-12-01,1007307000000.00
2010-01-01,1001504000000.00
2010-02-01,1008381000000.00
2010-03-01,1021117000000.00
2010-04-01,1029274000000.00
2010-05-01,1027859000000.00
2010-06-01,1036467000000.00
2010-07-01,1048281000000.00
2010-08-01,1049492000000.00
2010-09-01,1050625000000.00
2010-10-01,1051984000000.00
2010-11-01,1057303000000.00
2010-12-01,1058790000000.00
2011-01-01,1070953000000.00
2011-02-01,1055798000000.00
2011-03-01,1070267000000.00
2011-04-01,1061408000000.00
2011-05-01,1056784000000.00
2011-06-01,1068773000000.00
2011-07-01,1071867000000.00
2011-08-01,1080005000000.00
2011-09-01,1073363000000.00
2011-10-01,1085499000000.00
2011-11-01,1080201000000.00
2011-12-01,1088893000000.00
2012-01-01,1095416000000.00
2012-02-01,1098744000000.00
2012-03-01,1097654000000.00
2012-04-01,1100916000000.00
2012-05-01,1106032000000.00
2012-06-01,1099213000000.00
2012-07-01,1104949000000.00
2012-08-01,1101955000000.00
2012-09-01,1107540000000.00
2012-10-01,1100633000000.00
2012-11-01,1121401000000.00
2012-12-01,1126593000000.00
2013-01-01,1129823000000.00
2013-02-01,1133609000000.00
2013-03-01,1122586000000.00
2013-04-01,1126149000000.00
2013-05-01,1138055000000.00
2013-06-01,1134074000000.00
2013-07-01,1132832000000.00
2013-08-01,1137502000000.00
2013-09-01,1142174000000.00
2013-10-01,1148423000000.00
2013-11-01,1160122000000.00
2013-12-01,1158109000000.00
2014-01-01,1144107000000.00
2014-02-01,1153948000000.00
2014-03-01,1165044000000.00
2014-04-01,1163861000000.00
2014-05-01,1166585000000.00
2014-06-01,1166521000000.00
2014-07-01,1173131000000.00
2014-08-01,1177328000000.00
2014-09-01,1175770000000.00
2014-10-01,1177585000000.00
2014-11-01,1182149000000.00
2014-12-01,1189586000000.00
2015-01-01,1188495000000.00
2015-02-01,1184317000000.00
2015-03-01,1192240000000.00
2015-04-01,1197851000000.00
2015-05-01,1190377000000.00
2015-06-01,1191166000000.00
2015-07-01,1192891000000.00
2015-08-01,1195077000000.00
2015-09-01,1208576000000.00
2015-10-01,1204884000000.00
2015-11-01,1204334000000.00
2015-12-01,1205759000000.00
2016-01-01,1204310000000.00
2016-02-01,1210419000000.00
2016-03-01,1216477000000.00
2016-04-01,1217324000000.00
2016-05-01,1213020000000.00
2016-06-01,1218397000000.00
2016-07-01,1219514000000.00
2016-08-01,1226441000000.00
2016-09-01,1233567000000.00
2016-10-01,1237107000000.00
2016-11-01,1239361000000.00
2016-12-01,1257616000000.00
2017-01-01,1248443000000.00
2017-02-01,1247909000000.00
2017-03-01,1250135000000.00
2017-04-01,1245568000000.00
2017-05-01,1253613000000.00
2017-06-01,1256934000000.00
2017-07-01,1261670000000.00
2017-08-01,1266673000000.00
2017-09-01,1275743000000.00
2017-10-01,1283167000000.00
2017-11-01,1291379000000.00
2017-12-01,1293514000000.00
2018-01-01,1280728000000.00
2018-02-01,1282448000000.00
2018-03-01,1290922000000.00
2018-04-01,1290112000000.00
