Date,CMRMT
1997-01-01,830765000000.00
1997-02-01,847706000000.00
1997-03-01,848088000000.00
1997-04-01,850955000000.00
1997-05-01,850741000000.00
1997-06-01,862181000000.00
1997-07-01,870992000000.00
1997-08-01,868477000000.00
1997-09-01,875469000000.00
1997-10-01,872898000000.00
1997-11-01,882245000000.00
1997-12-01,880007000000.00
1998-01-01,881646000000.00
1998-02-01,894042000000.00
1998-03-01,898463000000.00
1998-04-01,899613000000.00
1998-05-01,902645000000.00
1998-06-01,899100000000.00
1998-07-01,893864000000.00
1998-08-01,903640000000.00
1998-09-01,912190000000.00
1998-10-01,919966000000.00
1998-11-01,923924000000.00
1998-12-01,931087000000.00
1999-01-01,929771000000.00
1999-02-01,944131000000.00
1999-03-01,942748000000.00
1999-04-01,941076000000.00
1999-05-01,955000000000.00
1999-06-01,955931000000.00
1999-07-01,957148000000.00
1999-08-01,964785000000.00
1999-09-01,962947000000.00
1999-10-01,971382000000.00
1999-11-01,976367000000.00
1999-12-01,980672000000.00
2000-01-01,988511000000.00
2000-02-01,970668000000.00
2000-03-01,982117000000.00
2000-04-01,990182000000.00
2000-05-01,985063000000.00
2000-06-01,991595000000.00
2000-07-01,985361000000.00
2000-08-01,985751000000.00
2000-09-01,996297000000.00
2000-10-01,988764000000.00
2000-11-01,981487000000.00
2000-12-01,989191000000.00
2001-01-01,982192000000.00
2001-02-01,986452000000.00
2001-03-01,974611000000.00
2001-04-01,966901000000.00
2001-05-01,975322000000.00
2001-06-01,961911000000.00
2001-07-01,965638000000.00
2001-08-01,973575000000.00
2001-09-01,953116000000.00
2001-10-01,981507000000.00
2001-11-01,976426000000.00
2001-12-01,978560000000.00
2002-01-01,978220000000.00
2002-02-01,980487000000.00
2002-03-01,974185000000.00
2002-04-01,987178000000.00
2002-05-01,989114000000.00
2002-06-01,991365000000.00
2002-07-01,990582000000.00
2002-08-01,999536000000.00
2002-09-01,991164000000.00
2002-10-01,987569000000.00
2002-11-01,995803000000.00
2002-12-01,988651000000.00
2003-01-01,994220000000.00
2003-02-01,982784000000.00
2003-03-01,991898000000.00
2003-04-01,989143000000.00
2003-05-01,998166000000.00
2003-06-01,1007270000000.00
2003-07-01,1017066000000.00
2003-08-01,1012741000000.00
2003-09-01,1019694000000.00
2003-10-01,1021527000000.00
2003-11-01,1023705000000.00
2003-12-01,1022527000000.00
2004-01-01,1016808000000.00
2004-02-01,1022878000000.00
2004-03-01,1049123000000.00
2004-04-01,1038053000000.00
2004-05-01,1039745000000.00
2004-06-01,1039052000000.00
2004-07-01,1042660000000.00
2004-08-01,1050354000000.00
2004-09-01,1055321000000.00
2004-10-01,1054648000000.00
2004-11-01,1058606000000.00
2004-12-01,1074485000000.00
2005-01-01,1078622000000.00
2005-02-01,1077814000000.00
2005-03-01,1070573000000.00
2005-04-01,1087441000000.00
2005-05-01,1084706000000.00
2005-06-01,1095469000000.00
2005-07-01,1094829000000.00
