Date,UDEFTI
1992-01-01,26273000000.00
1992-02-01,25896000000.00
1992-03-01,25980000000.00
1992-04-01,25978000000.00
1992-05-01,25624000000.00
1992-06-01,24831000000.00
1992-07-01,24778000000.00
1992-08-01,25067000000.00
1992-09-01,24142000000.00
1992-10-01,24004000000.00
1992-11-01,23399000000.00
1992-12-01,22922000000.00
1993-01-01,22726000000.00
1993-02-01,22495000000.00
1993-03-01,22580000000.00
1993-04-01,22505000000.00
1993-05-01,23114000000.00
1993-06-01,22583000000.00
1993-07-01,22562000000.00
1993-08-01,22474000000.00
1993-09-01,22987000000.00
1993-10-01,22486000000.00
1993-11-01,22529000000.00
1993-12-01,21130000000.00
1994-01-01,21909000000.00
1994-02-01,22069000000.00
1994-03-01,22040000000.00
1994-04-01,22217000000.00
1994-05-01,21950000000.00
1994-06-01,21882000000.00
1994-07-01,22208000000.00
1994-08-01,22080000000.00
1994-09-01,21488000000.00
1994-10-01,21705000000.00
1994-11-01,21164000000.00
1994-12-01,19810000000.00
1995-01-01,19677000000.00
1995-02-01,19621000000.00
1995-03-01,19841000000.00
1995-04-01,19367000000.00
1995-05-01,19543000000.00
1995-06-01,19366000000.00
1995-07-01,19588000000.00
1995-08-01,19144000000.00
1995-09-01,19325000000.00
1995-10-01,18990000000.00
1995-11-01,18131000000.00
1995-12-01,17929000000.00
1996-01-01,17828000000.00
1996-02-01,17888000000.00
1996-03-01,18234000000.00
1996-04-01,18150000000.00
1996-05-01,18310000000.00
1996-06-01,18686000000.00
1996-07-01,18963000000.00
1996-08-01,18831000000.00
1996-09-01,18582000000.00
1996-10-01,18628000000.00
1996-11-01,18636000000.00
1996-12-01,17336000000.00
1997-01-01,18105000000.00
1997-02-01,17700000000.00
1997-03-01,16770000000.00
1997-04-01,17005000000.00
1997-05-01,16606000000.00
1997-06-01,16095000000.00
1997-07-01,16240000000.00
1997-08-01,16023000000.00
1997-09-01,16386000000.00
1997-10-01,15972000000.00
1997-11-01,15305000000.00
1997-12-01,14814000000.00
1998-01-01,16074000000.00
1998-02-01,15948000000.00
1998-03-01,16166000000.00
1998-04-01,16546000000.00
1998-05-01,16977000000.00
1998-06-01,17163000000.00
1998-07-01,18014000000.00
1998-08-01,18140000000.00
1998-09-01,17872000000.00
1998-10-01,18162000000.00
1998-11-01,17824000000.00
1998-12-01,17775000000.00
1999-01-01,17471000000.00
1999-02-01,17902000000.00
1999-03-01,17868000000.00
1999-04-01,17907000000.00
1999-05-01,18728000000.00
1999-06-01,18839000000.00
1999-07-01,19594000000.00
1999-08-01,19678000000.00
1999-09-01,19923000000.00
1999-10-01,19586000000.00
1999-11-01,19368000000.00
1999-12-01,19754000000.00
2000-01-01,20368000000.00
2000-02-01,20180000000.00
2000-03-01,18840000000.00
2000-04-01,19396000000.00
2000-05-01,19129000000.00
2000-06-01,19648000000.00
2000-07-01,19069000000.00
2000-08-01,18751000000.00
2000-09-01,19070000000.00
2000-10-01,18285000000.00
2000-11-01,18479000000.00
2000-12-01,17153000000.00
2001-01-01,17250000000.00
2001-02-01,16491000000.00
2001-03-01,15642000000.00
2001-04-01,16270000000.00
2001-05-01,15861000000.00
2001-06-01,14953000000.00
2001-07-01,14947000000.00
2001-08-01,14904000000.00
2001-09-01,14832000000.00
2001-10-01,14319000000.00
2001-11-01,14283000000.00
2001-12-01,13628000000.00
2002-01-01,13897000000.00
2002-02-01,14108000000.00
2002-03-01,13904000000.00
2002-04-01,14158000000.00
2002-05-01,13996000000.00
2002-06-01,14071000000.00
2002-07-01,13831000000.00
2002-08-01,14527000000.00
2002-09-01,14180000000.00
2002-10-01,14058000000.00
2002-11-01,13969000000.00
2002-12-01,14299000000.00
2003-01-01,14199000000.00
2003-02-01,14403000000.00
2003-03-01,14218000000.00
2003-04-01,14638000000.00
2003-05-01,14578000000.00
