Date,DHIDFHVTUR
2001-01-01,0.89
2001-02-01,0.76
2001-03-01,0.73
2001-04-01,0.79
2001-05-01,0.73
2001-06-01,0.66
2001-07-01,0.68
2001-08-01,0.58
2001-09-01,0.55
2001-10-01,0.47
2001-11-01,0.43
2001-12-01,0.42
2002-01-01,0.46
2002-02-01,0.41
2002-03-01,0.42
2002-04-01,0.40
2002-05-01,0.43
2002-06-01,0.40
2002-07-01,0.41
2002-08-01,0.42
2002-09-01,0.40
2002-10-01,0.43
2002-11-01,0.40
2002-12-01,0.34
2003-01-01,0.44
2003-02-01,0.39
2003-03-01,0.35
2003-04-01,0.38
2003-05-01,0.36
2003-06-01,0.36
2003-07-01,0.37
2003-08-01,0.37
2003-09-01,0.34
2003-10-01,0.37
2003-11-01,0.37
2003-12-01,0.39
2004-01-01,0.41
2004-02-01,0.42
2004-03-01,0.39
2004-04-01,0.44
2004-05-01,0.45
2004-06-01,0.42
2004-07-01,0.49
2004-08-01,0.45
2004-09-01,0.47
2004-10-01,0.47
2004-11-01,0.41
2004-12-01,0.46
2005-01-01,0.47
2005-02-01,0.48
2005-03-01,0.49
2005-04-01,0.55
2005-05-01,0.51
2005-06-01,0.54
2005-07-01,0.58
2005-08-01,0.55
2005-09-01,0.56
2005-10-01,0.57
2005-11-01,0.56
2005-12-01,0.56
2006-01-01,0.61
2006-02-01,0.59
2006-03-01,0.63
2006-04-01,0.66
2006-05-01,0.63
2006-06-01,0.62
2006-07-01,0.58
2006-08-01,0.64
2006-09-01,0.65
2006-10-01,0.67
2006-11-01,0.63
2006-12-01,0.63
2007-01-01,0.65
2007-02-01,0.64
2007-03-01,0.69
2007-04-01,0.71
2007-05-01,0.67
2007-06-01,0.66
2007-07-01,0.63
2007-08-01,0.65
2007-09-01,0.63
2007-10-01,0.60
2007-11-01,0.57
2007-12-01,0.54
2008-01-01,0.56
2008-02-01,0.54
2008-03-01,0.51
2008-04-01,0.54
2008-05-01,0.47
2008-06-01,0.44
2008-07-01,0.43
2008-08-01,0.39
2008-09-01,0.34
2008-10-01,0.33
2008-11-01,0.28
2008-12-01,0.25
2009-01-01,0.23
2009-02-01,0.22
2009-03-01,0.18
2009-04-01,0.17
2009-05-01,0.17
2009-06-01,0.17
2009-07-01,0.15
2009-08-01,0.16
2009-09-01,0.16
2009-10-01,0.16
2009-11-01,0.15
2009-12-01,0.16
2010-01-01,0.17
2010-02-01,0.17
2010-03-01,0.17
2010-04-01,0.21
2010-05-01,0.20
2010-06-01,0.19
2010-07-01,0.21
2010-08-01,0.20
2010-09-01,0.19
2010-10-01,0.21
2010-11-01,0.19
2010-12-01,0.20
2011-01-01,0.21
2011-02-01,0.22
2011-03-01,0.23
2011-04-01,0.23
2011-05-01,0.22
2011-06-01,0.23
2011-07-01,0.25
2011-08-01,0.23
2011-09-01,0.25
2011-10-01,0.25
2011-11-01,0.24
2011-12-01,0.26
2012-01-01,0.29
2012-02-01,0.27
2012-03-01,0.30
2012-04-01,0.29
2012-05-01,0.29
2012-06-01,0.30
2012-07-01,0.29
2012-08-01,0.30
2012-09-01,0.29
2012-10-01,0.30
2012-11-01,0.29
2012-12-01,0.29
2013-01-01,0.31
2013-02-01,0.33
2013-03-01,0.34
2013-04-01,0.33
2013-05-01,0.33
2013-06-01,0.33
2013-07-01,0.34
2013-08-01,0.35
2013-09-01,0.35
2013-10-01,0.37
2013-11-01,0.36
2013-12-01,0.36
2014-01-01,0.39
2014-02-01,0.40
2014-03-01,0.41
2014-04-01,0.47
2014-05-01,0.47
2014-06-01,0.49
2014-07-01,0.48
2014-08-01,0.52
2014-09-01,0.50
2014-10-01,0.55
2014-11-01,0.52
2014-12-01,0.55
2015-01-01,0.57
2015-02-01,0.60
2015-03-01,0.61
2015-04-01,0.66
2015-05-01,0.62
2015-06-01,0.62
2015-07-01,0.71
2015-08-01,0.67
2015-09-01,0.68
2015-10-01,0.70
2015-11-01,0.66
2015-12-01,0.68
2016-01-01,0.74
2016-02-01,0.72
2016-03-01,0.75
2016-04-01,0.74
2016-05-01,0.75
2016-06-01,0.72
2016-07-01,0.78
2016-08-01,0.71
2016-09-01,0.72
2016-10-01,0.70
2016-11-01,0.76
2016-12-01,0.72
2017-01-01,0.72
2017-02-01,0.76
2017-03-01,0.78
2017-04-01,0.87
2017-05-01,0.82
2017-06-01,0.88
2017-07-01,0.89
2017-08-01,0.85
2017-09-01,0.92
2017-10-01,0.93
2017-11-01,0.90
2017-12-01,0.86
2018-01-01,0.93
2018-02-01,0.91
2018-03-01,1.01
2018-04-01,1.05
