Date,SUUR0000SAH2
1999-12-01,100.00
2000-01-01,100.30
2000-02-01,102.40
2000-03-01,101.80
2000-04-01,101.80
2000-05-01,102.70
2000-06-01,107.70
2000-07-01,109.10
2000-08-01,108.90
2000-09-01,110.50
2000-10-01,109.00
2000-11-01,108.20
2000-12-01,110.10
2001-01-01,116.70
2001-02-01,115.70
2001-03-01,114.50
2001-04-01,113.60
2001-05-01,115.10
2001-06-01,119.40
2001-07-01,119.20
2001-08-01,117.90
2001-09-01,116.60
2001-10-01,111.90
2001-11-01,110.70
2001-12-01,109.90
2002-01-01,109.40
2002-02-01,107.90
2002-03-01,108.00
2002-04-01,108.30
2002-05-01,109.20
2002-06-01,113.30
2002-07-01,113.60
2002-08-01,113.60
2002-09-01,113.70
2002-10-01,111.10
2002-11-01,110.40
2002-12-01,110.90
2003-01-01,112.70
2003-02-01,114.80
2003-03-01,120.20
2003-04-01,118.80
2003-05-01,119.40
2003-06-01,124.20
2003-07-01,124.50
2003-08-01,124.50
2003-09-01,124.90
2003-10-01,120.80
2003-11-01,119.10
2003-12-01,119.70
2004-01-01,122.10
2004-02-01,122.50
2004-03-01,120.90
2004-04-01,121.20
2004-05-01,123.10
2004-06-01,129.40
2004-07-01,130.20
2004-08-01,131.00
2004-09-01,130.50
2004-10-01,126.90
2004-11-01,128.30
2004-12-01,128.40
2005-01-01,129.30
2005-02-01,128.80
2005-03-01,128.90
2005-04-01,131.20
2005-05-01,133.10
2005-06-01,138.20
2005-07-01,139.70
2005-08-01,140.80
2005-09-01,144.10
2005-10-01,144.00
2005-11-01,144.80
2005-12-01,143.20
2006-01-01,148.10
2006-02-01,144.40
2006-03-01,142.20
2006-04-01,141.10
2006-05-01,141.90
2006-06-01,146.70
2006-07-01,147.30
2006-08-01,147.70
2006-09-01,148.00
2006-10-01,141.20
2006-11-01,141.30
2006-12-01,142.80
2007-01-01,143.89
2007-02-01,144.16
2007-03-01,145.43
2007-04-01,145.41
2007-05-01,147.07
2007-06-01,152.93
2007-07-01,153.00
2007-08-01,152.06
2007-09-01,152.00
2007-10-01,149.10
2007-11-01,149.72
2007-12-01,150.34
2008-01-01,151.62
2008-02-01,152.59
2008-03-01,155.32
2008-04-01,158.48
2008-05-01,163.09
2008-06-01,171.40
2008-07-01,176.33
2008-08-01,175.18
2008-09-01,170.96
2008-10-01,165.89
2008-11-01,161.94
2008-12-01,161.11
2009-01-01,160.64
2009-02-01,158.72
2009-03-01,155.87
2009-04-01,152.68
2009-05-01,151.82
2009-06-01,156.20
2009-07-01,156.42
2009-08-01,156.03
2009-09-01,155.42
2009-10-01,152.97
2009-11-01,154.06
2009-12-01,153.90
2010-01-01,156.29
2010-02-01,155.82
2010-03-01,156.64
2010-04-01,155.82
2010-05-01,156.41
2010-06-01,160.24
2010-07-01,161.48
2010-08-01,161.43
2010-09-01,160.24
2010-10-01,156.80
2010-11-01,155.32
2010-12-01,156.64
2011-01-01,157.91
2011-02-01,159.16
2011-03-01,159.74
2011-04-01,160.03
2011-05-01,161.93
2011-06-01,166.05
2011-07-01,167.47
2011-08-01,167.34
2011-09-01,167.39
2011-10-01,163.11
2011-11-01,161.51
2011-12-01,161.11
2012-01-01,161.43
2012-02-01,160.32
2012-03-01,159.82
2012-04-01,159.31
2012-05-01,159.82
2012-06-01,164.31
2012-07-01,163.87
2012-08-01,164.39
2012-09-01,164.16
2012-10-01,160.87
2012-11-01,160.45
2012-12-01,160.95
2013-01-01,162.07
2013-02-01,162.69
2013-03-01,162.08
2013-04-01,163.06
2013-05-01,165.80
2013-06-01,170.28
2013-07-01,170.70
2013-08-01,169.97
2013-09-01,170.25
2013-10-01,166.38
2013-11-01,165.04
2013-12-01,165.70
2014-01-01,170.04
2014-02-01,171.97
2014-03-01,174.49
2014-04-01,171.07
2014-05-01,174.17
2014-06-01,179.13
2014-07-01,179.59
2014-08-01,178.69
2014-09-01,177.58
2014-10-01,173.06
2014-11-01,170.99
2014-12-01,172.11
2015-01-01,171.91
2015-02-01,171.19
2015-03-01,169.30
2015-04-01,167.55
2015-05-01,167.77
2015-06-01,172.45
2015-07-01,171.88
2015-08-01,171.67
2015-09-01,170.66
2015-10-01,166.36
2015-11-01,164.81
2015-12-01,163.84
2016-01-01,164.42
2016-02-01,163.98
2016-03-01,163.78
2016-04-01,163.42
2016-05-01,165.44
2016-06-01,169.81
2016-07-01,171.03
2016-08-01,171.44
2016-09-01,171.87
2016-10-01,168.40
2016-11-01,167.10
2016-12-01,167.74
2017-01-01,170.09
2017-02-01,170.96
2017-03-01,170.06
2017-04-01,170.84
2017-05-01,173.03
2017-06-01,177.06
2017-07-01,177.13
2017-08-01,177.02
2017-09-01,176.87
2017-10-01,173.57
2017-11-01,173.20
2017-12-01,174.02
2018-01-01,174.98
2018-02-01,176.49
2018-03-01,175.67
2018-04-01,174.97
2018-05-01,176.57
