Date,TLOFCON
2002-01-01,3763000000.00
2002-02-01,3595000000.00
2002-03-01,3730000000.00
2002-04-01,3930000000.00
2002-05-01,3954000000.00
2002-06-01,3711000000.00
2002-07-01,3756000000.00
2002-08-01,3703000000.00
2002-09-01,3713000000.00
2002-10-01,3636000000.00
2002-11-01,3535000000.00
2002-12-01,3253000000.00
2003-01-01,3065000000.00
2003-02-01,2902000000.00
2003-03-01,3064000000.00
2003-04-01,3166000000.00
2003-05-01,3186000000.00
2003-06-01,3348000000.00
2003-07-01,3356000000.00
2003-08-01,3393000000.00
2003-09-01,3562000000.00
2003-10-01,3650000000.00
2003-11-01,3458000000.00
2003-12-01,3269000000.00
2004-01-01,2998000000.00
2004-02-01,3212000000.00
2004-03-01,3459000000.00
2004-04-01,3604000000.00
2004-05-01,3599000000.00
2004-06-01,3629000000.00
2004-07-01,3714000000.00
2004-08-01,3660000000.00
2004-09-01,3743000000.00
2004-10-01,3593000000.00
2004-11-01,3655000000.00
2004-12-01,3540000000.00
2005-01-01,3510000000.00
2005-02-01,3671000000.00
2005-03-01,3830000000.00
2005-04-01,4032000000.00
2005-05-01,3993000000.00
2005-06-01,3949000000.00
2005-07-01,3716000000.00
2005-08-01,3794000000.00
2005-09-01,4067000000.00
2005-10-01,3794000000.00
2005-11-01,3778000000.00
2005-12-01,3629000000.00
2006-01-01,3570000000.00
2006-02-01,3764000000.00
2006-03-01,4047000000.00
2006-04-01,4423000000.00
2006-05-01,4627000000.00
2006-06-01,4760000000.00
2006-07-01,4761000000.00
2006-08-01,4934000000.00
2006-09-01,4940000000.00
2006-10-01,4832000000.00
2006-11-01,4861000000.00
2006-12-01,4668000000.00
2007-01-01,4700000000.00
2007-02-01,4653000000.00
2007-03-01,5150000000.00
2007-04-01,5223000000.00
2007-05-01,5554000000.00
2007-06-01,5489000000.00
2007-07-01,5498000000.00
2007-08-01,5899000000.00
2007-09-01,5942000000.00
2007-10-01,6036000000.00
2007-11-01,5825000000.00
2007-12-01,5293000000.00
2008-01-01,5282000000.00
2008-02-01,5514000000.00
2008-03-01,5444000000.00
2008-04-01,5849000000.00
2008-05-01,5841000000.00
2008-06-01,5904000000.00
2008-07-01,5936000000.00
2008-08-01,5891000000.00
2008-09-01,6244000000.00
2008-10-01,5917000000.00
2008-11-01,5623000000.00
2008-12-01,5120000000.00
2009-01-01,4782000000.00
2009-02-01,4557000000.00
2009-03-01,4591000000.00
2009-04-01,4664000000.00
2009-05-01,4678000000.00
2009-06-01,4646000000.00
2009-07-01,4491000000.00
2009-08-01,4291000000.00
2009-09-01,4152000000.00
2009-10-01,3908000000.00
2009-11-01,3685000000.00
2009-12-01,3464000000.00
2010-01-01,3085000000.00
2010-02-01,3133000000.00
2010-03-01,3152000000.00
2010-04-01,3305000000.00
2010-05-01,3204000000.00
2010-06-01,3280000000.00
2010-07-01,3066000000.00
2010-08-01,3158000000.00
2010-09-01,3532000000.00
2010-10-01,3121000000.00
2010-11-01,2980000000.00
2010-12-01,2833000000.00
2011-01-01,2604000000.00
2011-02-01,2573000000.00
2011-03-01,2751000000.00
2011-04-01,2889000000.00
2011-05-01,3031000000.00
2011-06-01,3138000000.00
2011-07-01,2991000000.00
2011-08-01,3207000000.00
2011-09-01,3407000000.00
2011-10-01,3101000000.00
2011-11-01,3193000000.00
2011-12-01,3125000000.00
2012-01-01,2823000000.00
2012-02-01,2893000000.00
2012-03-01,3072000000.00
2012-04-01,3094000000.00
2012-05-01,3156000000.00
2012-06-01,3190000000.00
2012-07-01,3201000000.00
2012-08-01,3365000000.00
2012-09-01,3433000000.00
2012-10-01,3395000000.00
2012-11-01,3163000000.00
2012-12-01,3015000000.00
2013-01-01,2810000000.00
2013-02-01,2707000000.00
2013-03-01,2859000000.00
2013-04-01,2897000000.00
2013-05-01,3043000000.00
2013-06-01,3121000000.00
2013-07-01,3189000000.00
2013-08-01,3263000000.00
2013-09-01,3514000000.00
2013-10-01,3605000000.00
2013-11-01,3526000000.00
2013-12-01,3445000000.00
2014-01-01,3267000000.00
2014-02-01,3265000000.00
2014-03-01,3446000000.00
2014-04-01,3781000000.00
2014-05-01,3898000000.00
2014-06-01,4058000000.00
2014-07-01,4019000000.00
2014-08-01,4061000000.00
2014-09-01,4342000000.00
2014-10-01,4345000000.00
2014-11-01,4068000000.00
2014-12-01,4034000000.00
2015-01-01,3842000000.00
2015-02-01,3878000000.00
2015-03-01,4173000000.00
2015-04-01,4444000000.00
2015-05-01,4894000000.00
2015-06-01,5184000000.00
2015-07-01,4782000000.00
2015-08-01,4939000000.00
2015-09-01,5039000000.00
2015-10-01,4903000000.00
2015-11-01,4860000000.00
2015-12-01,4583000000.00
2016-01-01,4338000000.00
2016-02-01,4659000000.00
2016-03-01,4996000000.00
2016-04-01,5228000000.00
2016-05-01,5354000000.00
2016-06-01,5647000000.00
2016-07-01,5977000000.00
2016-08-01,6187000000.00
2016-09-01,6450000000.00
2016-10-01,6282000000.00
2016-11-01,6262000000.00
2016-12-01,5881000000.00
2017-01-01,5462000000.00
2017-02-01,5368000000.00
2017-03-01,5612000000.00
2017-04-01,5556000000.00
2017-05-01,6031000000.00
2017-06-01,6030000000.00
2017-07-01,5854000000.00
2017-08-01,5728000000.00
2017-09-01,5805000000.00
2017-10-01,5721000000.00
2017-11-01,5882000000.00
2017-12-01,5737000000.00
2018-01-01,5403000000.00
2018-02-01,5666000000.00
2018-03-01,5936000000.00
2018-04-01,6126000000.00
