Date,TLHLTHCON
2002-01-01,2013000000.00
2002-02-01,1983000000.00
2002-03-01,2087000000.00
2002-04-01,2211000000.00
2002-05-01,2258000000.00
2002-06-01,2387000000.00
2002-07-01,2299000000.00
2002-08-01,2301000000.00
2002-09-01,2405000000.00
2002-10-01,2452000000.00
2002-11-01,2456000000.00
2002-12-01,2287000000.00
2003-01-01,2175000000.00
2003-02-01,2266000000.00
2003-03-01,2342000000.00
2003-04-01,2457000000.00
2003-05-01,2516000000.00
2003-06-01,2585000000.00
2003-07-01,2434000000.00
2003-08-01,2431000000.00
2003-09-01,2502000000.00
2003-10-01,2546000000.00
2003-11-01,2568000000.00
2003-12-01,2508000000.00
2004-01-01,2325000000.00
2004-02-01,2393000000.00
2004-03-01,2608000000.00
2004-04-01,2785000000.00
2004-05-01,2794000000.00
2004-06-01,2873000000.00
2004-07-01,2736000000.00
2004-08-01,2709000000.00
2004-09-01,2766000000.00
2004-10-01,2722000000.00
2004-11-01,2820000000.00
2004-12-01,2654000000.00
2005-01-01,2583000000.00
2005-02-01,2530000000.00
2005-03-01,2670000000.00
2005-04-01,2750000000.00
2005-05-01,2916000000.00
2005-06-01,2948000000.00
2005-07-01,2947000000.00
2005-08-01,3040000000.00
2005-09-01,3168000000.00
2005-10-01,3070000000.00
2005-11-01,2981000000.00
2005-12-01,2826000000.00
2006-01-01,2823000000.00
2006-02-01,2827000000.00
2006-03-01,2972000000.00
2006-04-01,3090000000.00
2006-05-01,3231000000.00
2006-06-01,3366000000.00
2006-07-01,3246000000.00
2006-08-01,3380000000.00
2006-09-01,3374000000.00
2006-10-01,3407000000.00
2006-11-01,3399000000.00
2006-12-01,3357000000.00
2007-01-01,3339000000.00
2007-02-01,3313000000.00
2007-03-01,3471000000.00
2007-04-01,3555000000.00
2007-05-01,3683000000.00
2007-06-01,3681000000.00
2007-07-01,3650000000.00
2007-08-01,3812000000.00
2007-09-01,3819000000.00
2007-10-01,3991000000.00
2007-11-01,3859000000.00
2007-12-01,3594000000.00
2008-01-01,3511000000.00
2008-02-01,3584000000.00
2008-03-01,3729000000.00
2008-04-01,3846000000.00
2008-05-01,3934000000.00
2008-06-01,4005000000.00
2008-07-01,3997000000.00
2008-08-01,3996000000.00
2008-09-01,4098000000.00
2008-10-01,4175000000.00
2008-11-01,4125000000.00
2008-12-01,3902000000.00
2009-01-01,3657000000.00
2009-02-01,3712000000.00
2009-03-01,3879000000.00
2009-04-01,3889000000.00
2009-05-01,3884000000.00
2009-06-01,3992000000.00
2009-07-01,3706000000.00
2009-08-01,3754000000.00
2009-09-01,3856000000.00
2009-10-01,3725000000.00
2009-11-01,3466000000.00
2009-12-01,3326000000.00
2010-01-01,3062000000.00
2010-02-01,2967000000.00
2010-03-01,3179000000.00
2010-04-01,3255000000.00
2010-05-01,3284000000.00
2010-06-01,3325000000.00
2010-07-01,3238000000.00
2010-08-01,3389000000.00
2010-09-01,3611000000.00
2010-10-01,3391000000.00
2010-11-01,3404000000.00
2010-12-01,3239000000.00
2011-01-01,2983000000.00
2011-02-01,3012000000.00
2011-03-01,3275000000.00
2011-04-01,3309000000.00
2011-05-01,3302000000.00
2011-06-01,3520000000.00
2011-07-01,3439000000.00
2011-08-01,3522000000.00
2011-09-01,3686000000.00
2011-10-01,3340000000.00
2011-11-01,3416000000.00
2011-12-01,3399000000.00
2012-01-01,3240000000.00
2012-02-01,3354000000.00
2012-03-01,3455000000.00
2012-04-01,3579000000.00
2012-05-01,3690000000.00
2012-06-01,3711000000.00
2012-07-01,3640000000.00
2012-08-01,3741000000.00
2012-09-01,3657000000.00
2012-10-01,3589000000.00
2012-11-01,3463000000.00
2012-12-01,3426000000.00
2013-01-01,3218000000.00
2013-02-01,3177000000.00
2013-03-01,3222000000.00
2013-04-01,3377000000.00
2013-05-01,3469000000.00
2013-06-01,3453000000.00
2013-07-01,3490000000.00
2013-08-01,3473000000.00
2013-09-01,3605000000.00
2013-10-01,3547000000.00
2013-11-01,3424000000.00
2013-12-01,3234000000.00
2014-01-01,2995000000.00
2014-02-01,3004000000.00
2014-03-01,2987000000.00
2014-04-01,3190000000.00
2014-05-01,3239000000.00
2014-06-01,3272000000.00
2014-07-01,3324000000.00
2014-08-01,3282000000.00
2014-09-01,3400000000.00
2014-10-01,3453000000.00
2014-11-01,3282000000.00
2014-12-01,3219000000.00
2015-01-01,2986000000.00
2015-02-01,2993000000.00
2015-03-01,3147000000.00
2015-04-01,3266000000.00
2015-05-01,3378000000.00
2015-06-01,3471000000.00
2015-07-01,3276000000.00
2015-08-01,3384000000.00
2015-09-01,3467000000.00
2015-10-01,3380000000.00
2015-11-01,3294000000.00
2015-12-01,3105000000.00
2016-01-01,2827000000.00
2016-02-01,3019000000.00
2016-03-01,3240000000.00
2016-04-01,3157000000.00
2016-05-01,3256000000.00
2016-06-01,3305000000.00
2016-07-01,3265000000.00
2016-08-01,3389000000.00
2016-09-01,3587000000.00
2016-10-01,3285000000.00
2016-11-01,3215000000.00
2016-12-01,3160000000.00
2017-01-01,2887000000.00
2017-02-01,2992000000.00
2017-03-01,3198000000.00
2017-04-01,3147000000.00
2017-05-01,3410000000.00
2017-06-01,3413000000.00
2017-07-01,3292000000.00
2017-08-01,3564000000.00
2017-09-01,3632000000.00
2017-10-01,3584000000.00
2017-11-01,3511000000.00
2017-12-01,3451000000.00
2018-01-01,3280000000.00
2018-02-01,3288000000.00
2018-03-01,3362000000.00
2018-04-01,3376000000.00
