Date,HSN1FNSA
1963-01-01,42000.00
1963-02-01,35000.00
1963-03-01,44000.00
1963-04-01,52000.00
1963-05-01,58000.00
1963-06-01,48000.00
1963-07-01,62000.00
1963-08-01,56000.00
1963-09-01,49000.00
1963-10-01,44000.00
1963-11-01,39000.00
1963-12-01,31000.00
1964-01-01,39000.00
1964-02-01,46000.00
1964-03-01,53000.00
1964-04-01,49000.00
1964-05-01,52000.00
1964-06-01,53000.00
1964-07-01,54000.00
1964-08-01,56000.00
1964-09-01,48000.00
1964-10-01,45000.00
1964-11-01,37000.00
1964-12-01,33000.00
1965-01-01,38000.00
1965-02-01,44000.00
1965-03-01,53000.00
1965-04-01,49000.00
1965-05-01,54000.00
1965-06-01,57000.00
1965-07-01,51000.00
1965-08-01,58000.00
1965-09-01,48000.00
1965-10-01,44000.00
1965-11-01,42000.00
1965-12-01,37000.00
1966-01-01,42000.00
1966-02-01,43000.00
1966-03-01,53000.00
1966-04-01,49000.00
1966-05-01,49000.00
1966-06-01,40000.00
1966-07-01,40000.00
1966-08-01,36000.00
1966-09-01,29000.00
1966-10-01,31000.00
1966-11-01,26000.00
1966-12-01,23000.00
1967-01-01,29000.00
1967-02-01,32000.00
1967-03-01,41000.00
1967-04-01,44000.00
1967-05-01,49000.00
1967-06-01,47000.00
1967-07-01,46000.00
1967-08-01,47000.00
1967-09-01,43000.00
1967-10-01,45000.00
1967-11-01,34000.00
1967-12-01,31000.00
1968-01-01,35000.00
1968-02-01,43000.00
1968-03-01,46000.00
1968-04-01,46000.00
1968-05-01,43000.00
1968-06-01,41000.00
1968-07-01,44000.00
1968-08-01,47000.00
1968-09-01,41000.00
1968-10-01,40000.00
1968-11-01,32000.00
1968-12-01,32000.00
1969-01-01,34000.00
1969-02-01,40000.00
1969-03-01,43000.00
1969-04-01,42000.00
1969-05-01,43000.00
1969-06-01,44000.00
1969-07-01,39000.00
1969-08-01,40000.00
1969-09-01,33000.00
1969-10-01,32000.00
1969-11-01,31000.00
1969-12-01,28000.00
1970-01-01,34000.00
1970-02-01,29000.00
1970-03-01,36000.00
1970-04-01,42000.00
1970-05-01,43000.00
1970-06-01,44000.00
1970-07-01,44000.00
1970-08-01,48000.00
1970-09-01,45000.00
1970-10-01,44000.00
1970-11-01,40000.00
1970-12-01,37000.00
1971-01-01,45000.00
1971-02-01,49000.00
1971-03-01,62000.00
1971-04-01,62000.00
1971-05-01,58000.00
1971-06-01,59000.00
1971-07-01,64000.00
1971-08-01,62000.00
1971-09-01,50000.00
1971-10-01,52000.00
1971-11-01,50000.00
1971-12-01,44000.00
1972-01-01,51000.00
1972-02-01,56000.00
1972-03-01,60000.00
1972-04-01,65000.00
1972-05-01,64000.00
1972-06-01,63000.00
1972-07-01,63000.00
1972-08-01,72000.00
1972-09-01,61000.00
1972-10-01,65000.00
1972-11-01,51000.00
1972-12-01,47000.00
1973-01-01,55000.00
1973-02-01,60000.00
1973-03-01,68000.00
1973-04-01,63000.00
1973-05-01,65000.00
1973-06-01,61000.00
1973-07-01,54000.00
1973-08-01,52000.00
1973-09-01,46000.00
1973-10-01,42000.00
1973-11-01,37000.00
1973-12-01,30000.00
1974-01-01,37000.00
1974-02-01,44000.00
1974-03-01,55000.00
1974-04-01,53000.00
1974-05-01,58000.00
1974-06-01,50000.00
1974-07-01,48000.00
1974-08-01,45000.00
1974-09-01,41000.00
1974-10-01,34000.00
1974-11-01,30000.00
1974-12-01,24000.00
1975-01-01,29000.00
1975-02-01,34000.00
1975-03-01,44000.00
1975-04-01,54000.00
1975-05-01,57000.00
1975-06-01,51000.00
1975-07-01,51000.00
1975-08-01,53000.00
1975-09-01,46000.00
1975-10-01,46000.00
1975-11-01,46000.00
1975-12-01,39000.00
1976-01-01,41000.00
1976-02-01,53000.00
1976-03-01,55000.00
1976-04-01,62000.00
1976-05-01,55000.00
1976-06-01,56000.00
1976-07-01,57000.00
1976-08-01,59000.00
1976-09-01,58000.00
1976-10-01,55000.00
1976-11-01,49000.00
1976-12-01,47000.00
1977-01-01,57000.00
1977-02-01,68000.00
1977-03-01,84000.00
1977-04-01,81000.00
1977-05-01,78000.00
1977-06-01,74000.00
1977-07-01,64000.00
1977-08-01,74000.00
1977-09-01,71000.00
1977-10-01,63000.00
1977-11-01,55000.00
1977-12-01,51000.00
1978-01-01,57000.00
1978-02-01,63000.00
1978-03-01,75000.00
1978-04-01,85000.00
1978-05-01,80000.00
1978-06-01,77000.00
1978-07-01,68000.00
1978-08-01,72000.00
1978-09-01,68000.00
1978-10-01,70000.00
1978-11-01,53000.00
1978-12-01,50000.00
1979-01-01,53000.00
1979-02-01,58000.00
1979-03-01,73000.00
1979-04-01,72000.00
1979-05-01,68000.00
1979-06-01,63000.00
1979-07-01,64000.00
1979-08-01,68000.00
1979-09-01,60000.00
1979-10-01,54000.00
1979-11-01,41000.00
1979-12-01,35000.00
1980-01-01,43000.00
1980-02-01,44000.00
1980-03-01,44000.00
1980-04-01,36000.00
1980-05-01,44000.00
1980-06-01,50000.00
1980-07-01,55000.00
1980-08-01,61000.00
1980-09-01,50000.00
1980-10-01,46000.00
1980-11-01,39000.00
1980-12-01,33000.00
1981-01-01,37000.00
1981-02-01,40000.00
1981-03-01,49000.00
1981-04-01,44000.00
1981-05-01,45000.00
1981-06-01,38000.00
1981-07-01,36000.00
1981-08-01,34000.00
1981-09-01,28000.00
1981-10-01,29000.00
1981-11-01,27000.00
1981-12-01,29000.00
1982-01-01,28000.00
1982-02-01,29000.00
1982-03-01,36000.00
1982-04-01,32000.00
1982-05-01,36000.00
1982-06-01,34000.00
1982-07-01,31000.00
1982-08-01,36000.00
1982-09-01,39000.00
1982-10-01,40000.00
1982-11-01,39000.00
1982-12-01,33000.00
1983-01-01,44000.00
1983-02-01,46000.00
1983-03-01,57000.00
1983-04-01,59000.00
1983-05-01,64000.00
1983-06-01,59000.00
1983-07-01,51000.00
1983-08-01,50000.00
1983-09-01,48000.00
1983-10-01,51000.00
1983-11-01,45000.00
1983-12-01,48000.00
1984-01-01,52000.00
1984-02-01,58000.00
1984-03-01,63000.00
1984-04-01,61000.00
1984-05-01,59000.00
1984-06-01,58000.00
1984-07-01,52000.00
1984-08-01,48000.00
1984-09-01,53000.00
1984-10-01,55000.00
1984-11-01,42000.00
1984-12-01,38000.00
1985-01-01,48000.00
1985-02-01,55000.00
1985-03-01,67000.00
1985-04-01,60000.00
1985-05-01,65000.00
1985-06-01,65000.00
1985-07-01,63000.00
1985-08-01,61000.00
1985-09-01,54000.00
1985-10-01,52000.00
1985-11-01,51000.00
1985-12-01,47000.00
1986-01-01,55000.00
1986-02-01,59000.00
1986-03-01,89000.00
1986-04-01,84000.00
1986-05-01,75000.00
1986-06-01,66000.00
1986-07-01,57000.00
1986-08-01,52000.00
1986-09-01,60000.00
1986-10-01,54000.00
1986-11-01,48000.00
1986-12-01,49000.00
1987-01-01,53000.00
1987-02-01,59000.00
1987-03-01,73000.00
1987-04-01,72000.00
1987-05-01,62000.00
1987-06-01,58000.00
1987-07-01,55000.00
1987-08-01,56000.00
1987-09-01,52000.00
1987-10-01,52000.00
1987-11-01,43000.00
1987-12-01,37000.00
1988-01-01,43000.00
1988-02-01,55000.00
1988-03-01,68000.00
1988-04-01,68000.00
1988-05-01,64000.00
1988-06-01,65000.00
1988-07-01,57000.00
1988-08-01,59000.00
1988-09-01,54000.00
1988-10-01,57000.00
1988-11-01,43000.00
1988-12-01,42000.00
1989-01-01,52000.00
1989-02-01,51000.00
1989-03-01,58000.00
1989-04-01,60000.00
1989-05-01,61000.00
1989-06-01,58000.00
1989-07-01,62000.00
1989-08-01,61000.00
1989-09-01,49000.00
1989-10-01,51000.00
1989-11-01,47000.00
1989-12-01,40000.00
1990-01-01,45000.00
1990-02-01,50000.00
1990-03-01,58000.00
1990-04-01,52000.00
1990-05-01,50000.00
1990-06-01,50000.00
1990-07-01,46000.00
1990-08-01,46000.00
1990-09-01,38000.00
1990-10-01,37000.00
1990-11-01,34000.00
1990-12-01,29000.00
1991-01-01,30000.00
1991-02-01,40000.00
1991-03-01,51000.00
1991-04-01,50000.00
1991-05-01,47000.00
1991-06-01,47000.00
1991-07-01,43000.00
1991-08-01,46000.00
1991-09-01,37000.00
1991-10-01,41000.00
1991-11-01,39000.00
1991-12-01,36000.00
1992-01-01,48000.00
1992-02-01,55000.00
1992-03-01,56000.00
1992-04-01,53000.00
1992-05-01,52000.00
1992-06-01,53000.00
1992-07-01,52000.00
1992-08-01,56000.00
1992-09-01,51000.00
1992-10-01,48000.00
1992-11-01,42000.00
1992-12-01,42000.00
1993-01-01,44000.00
1993-02-01,50000.00
1993-03-01,60000.00
1993-04-01,66000.00
1993-05-01,58000.00
1993-06-01,59000.00
1993-07-01,55000.00
1993-08-01,57000.00
1993-09-01,57000.00
1993-10-01,56000.00
1993-11-01,53000.00
1993-12-01,51000.00
1994-01-01,46000.00
1994-02-01,58000.00
1994-03-01,74000.00
1994-04-01,65000.00
1994-05-01,65000.00
1994-06-01,55000.00
1994-07-01,52000.00
1994-08-01,59000.00
1994-09-01,54000.00
1994-10-01,57000.00
1994-11-01,45000.00
1994-12-01,40000.00
1995-01-01,47000.00
1995-02-01,47000.00
1995-03-01,60000.00
1995-04-01,58000.00
1995-05-01,63000.00
1995-06-01,64000.00
1995-07-01,64000.00
1995-08-01,63000.00
1995-09-01,54000.00
1995-10-01,54000.00
1995-11-01,46000.00
1995-12-01,45000.00
1996-01-01,54000.00
1996-02-01,68000.00
1996-03-01,70000.00
1996-04-01,70000.00
1996-05-01,69000.00
1996-06-01,65000.00
1996-07-01,66000.00
1996-08-01,73000.00
1996-09-01,62000.00
1996-10-01,56000.00
1996-11-01,54000.00
1996-12-01,51000.00
1997-01-01,61000.00
1997-02-01,69000.00
1997-03-01,81000.00
1997-04-01,70000.00
1997-05-01,71000.00
1997-06-01,71000.00
1997-07-01,69000.00
1997-08-01,72000.00
1997-09-01,67000.00
1997-10-01,62000.00
1997-11-01,61000.00
1997-12-01,51000.00
1998-01-01,64000.00
1998-02-01,75000.00
1998-03-01,81000.00
1998-04-01,82000.00
1998-05-01,82000.00
1998-06-01,83000.00
1998-07-01,75000.00
1998-08-01,75000.00
1998-09-01,68000.00
1998-10-01,69000.00
1998-11-01,70000.00
1998-12-01,61000.00
1999-01-01,67000.00
1999-02-01,76000.00
1999-03-01,84000.00
1999-04-01,86000.00
1999-05-01,80000.00
1999-06-01,82000.00
1999-07-01,78000.00
1999-08-01,78000.00
1999-09-01,65000.00
1999-10-01,67000.00
1999-11-01,61000.00
1999-12-01,57000.00
2000-01-01,67000.00
2000-02-01,78000.00
2000-03-01,88000.00
2000-04-01,78000.00
2000-05-01,77000.00
2000-06-01,71000.00
2000-07-01,76000.00
2000-08-01,73000.00
2000-09-01,70000.00
2000-10-01,71000.00
2000-11-01,63000.00
2000-12-01,65000.00
2001-01-01,72000.00
2001-02-01,85000.00
2001-03-01,94000.00
2001-04-01,84000.00
2001-05-01,80000.00
2001-06-01,79000.00
2001-07-01,76000.00
2001-08-01,74000.00
2001-09-01,66000.00
2001-10-01,66000.00
2001-11-01,67000.00
2001-12-01,66000.00
2002-01-01,66000.00
2002-02-01,84000.00
2002-03-01,90000.00
2002-04-01,86000.00
2002-05-01,88000.00
2002-06-01,84000.00
2002-07-01,82000.00
2002-08-01,90000.00
2002-09-01,82000.00
2002-10-01,77000.00
2002-11-01,73000.00
2002-12-01,70000.00
2003-01-01,76000.00
2003-02-01,82000.00
2003-03-01,98000.00
2003-04-01,91000.00
2003-05-01,101000.00
2003-06-01,107000.00
2003-07-01,99000.00
2003-08-01,105000.00
2003-09-01,90000.00
2003-10-01,88000.00
2003-11-01,76000.00
2003-12-01,75000.00
2004-01-01,89000.00
2004-02-01,102000.00
2004-03-01,123000.00
2004-04-01,109000.00
2004-05-01,115000.00
2004-06-01,105000.00
2004-07-01,96000.00
2004-08-01,102000.00
2004-09-01,94000.00
2004-10-01,101000.00
2004-11-01,84000.00
2004-12-01,83000.00
2005-01-01,92000.00
2005-02-01,109000.00
2005-03-01,127000.00
2005-04-01,116000.00
2005-05-01,120000.00
2005-06-01,115000.00
2005-07-01,117000.00
2005-08-01,110000.00
2005-09-01,99000.00
2005-10-01,105000.00
2005-11-01,86000.00
2005-12-01,87000.00
2006-01-01,89000.00
2006-02-01,88000.00
2006-03-01,108000.00
2006-04-01,100000.00
2006-05-01,102000.00
2006-06-01,98000.00
