Date,RTWVDAL684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.58
1988-03-01,98.77
1988-04-01,97.60
1988-05-01,97.75
1988-06-01,98.96
1988-07-01,101.12
1988-08-01,101.87
1988-09-01,103.14
1988-10-01,100.43
1988-11-01,97.90
1988-12-01,97.51
1989-01-01,99.17
1989-02-01,99.46
1989-03-01,101.09
1989-04-01,101.75
1989-05-01,104.17
1989-06-01,105.89
1989-07-01,103.59
1989-08-01,104.18
1989-09-01,105.08
1989-10-01,103.40
1989-11-01,103.47
1989-12-01,103.12
1990-01-01,102.63
1990-02-01,102.65
1990-03-01,104.30
1990-04-01,103.79
1990-05-01,102.38
1990-06-01,102.99
1990-07-01,101.54
1990-08-01,99.93
1990-09-01,99.25
1990-10-01,96.91
1990-11-01,96.48
1990-12-01,97.30
1991-01-01,96.89
1991-02-01,96.04
1991-03-01,99.76
1991-04-01,100.89
1991-05-01,101.23
1991-06-01,102.78
1991-07-01,102.48
1991-08-01,101.33
1991-09-01,100.14
1991-10-01,99.22
1991-11-01,97.67
1991-12-01,96.71
1992-01-01,96.48
1992-02-01,97.91
1992-03-01,99.69
1992-04-01,98.95
1992-05-01,98.14
1992-06-01,97.06
1992-07-01,95.60
1992-08-01,94.96
1992-09-01,95.44
1992-10-01,97.48
1992-11-01,100.34
1992-12-01,100.19
1993-01-01,101.04
1993-02-01,100.93
1993-03-01,100.18
1993-04-01,98.43
1993-05-01,98.30
1993-06-01,98.96
1993-07-01,100.03
1993-08-01,99.89
1993-09-01,99.24
1993-10-01,100.20
1993-11-01,101.09
1993-12-01,101.17
1994-01-01,102.44
1994-02-01,102.27
1994-03-01,102.51
1994-04-01,102.94
1994-05-01,102.07
1994-06-01,101.22
1994-07-01,100.00
1994-08-01,99.67
1994-09-01,98.56
1994-10-01,97.79
1994-11-01,98.08
1994-12-01,99.65
1995-01-01,100.70
1995-02-01,99.89
1995-03-01,98.29
1995-04-01,95.17
1995-05-01,94.92
1995-06-01,95.03
1995-07-01,94.87
1995-08-01,96.93
1995-09-01,97.81
1995-10-01,97.65
1995-11-01,98.45
1995-12-01,98.74
1996-01-01,99.50
1996-02-01,99.48
1996-03-01,99.61
1996-04-01,99.67
1996-05-01,99.83
1996-06-01,100.05
1996-07-01,100.02
1996-08-01,99.40
1996-09-01,99.84
1996-10-01,100.26
1996-11-01,99.76
1996-12-01,100.55
1997-01-01,100.98
1997-02-01,102.29
1997-03-01,103.23
1997-04-01,103.45
1997-05-01,102.10
1997-06-01,101.88
1997-07-01,102.17
1997-08-01,103.15
1997-09-01,102.96
1997-10-01,103.05
1997-11-01,104.86
1997-12-01,107.15
1998-01-01,108.37
1998-02-01,107.73
1998-03-01,107.59
1998-04-01,107.68
1998-05-01,107.88
1998-06-01,109.55
1998-07-01,109.97
1998-08-01,111.70
1998-09-01,110.15
1998-10-01,108.03
1998-11-01,108.22
1998-12-01,107.29
1999-01-01,107.31
1999-02-01,108.67
