Date,IPG2211A2N
1939-01-01,3.38
1939-02-01,3.41
1939-03-01,3.49
1939-04-01,3.51
1939-05-01,3.51
1939-06-01,3.57
1939-07-01,3.57
1939-08-01,3.62
1939-09-01,3.72
1939-10-01,3.72
1939-11-01,3.75
1939-12-01,3.75
1940-01-01,3.77
1940-02-01,3.82
1940-03-01,3.85
1940-04-01,3.85
1940-05-01,3.88
1940-06-01,3.93
1940-07-01,3.93
1940-08-01,3.98
1940-09-01,4.03
1940-10-01,4.06
1940-11-01,4.16
1940-12-01,4.16
1941-01-01,4.19
1941-02-01,4.24
1941-03-01,4.29
1941-04-01,4.34
1941-05-01,4.37
1941-06-01,4.44
1941-07-01,4.50
1941-08-01,4.55
1941-09-01,4.57
1941-10-01,4.60
1941-11-01,4.65
1941-12-01,4.75
1942-01-01,4.81
1942-02-01,4.86
1942-03-01,4.88
1942-04-01,4.88
1942-05-01,4.88
1942-06-01,4.91
1942-07-01,5.06
1942-08-01,5.09
1942-09-01,5.12
1942-10-01,5.12
1942-11-01,5.19
1942-12-01,5.27
1943-01-01,5.22
1943-02-01,5.30
1943-03-01,5.32
1943-04-01,5.40
1943-05-01,5.43
1943-06-01,5.53
1943-07-01,5.58
1943-08-01,5.61
1943-09-01,5.71
1943-10-01,5.71
1943-11-01,5.79
1943-12-01,5.79
1944-01-01,5.74
1944-02-01,5.81
1944-03-01,5.92
1944-04-01,5.94
1944-05-01,5.94
1944-06-01,5.94
1944-07-01,5.89
1944-08-01,5.92
1944-09-01,5.89
1944-10-01,5.84
1944-11-01,5.89
1944-12-01,5.92
1945-01-01,6.02
1945-02-01,6.02
1945-03-01,5.99
1945-04-01,5.99
1945-05-01,6.05
1945-06-01,6.12
1945-07-01,6.10
1945-08-01,5.99
1945-09-01,5.89
1945-10-01,5.84
1945-11-01,5.89
1945-12-01,5.94
1946-01-01,5.94
1946-02-01,5.94
1946-03-01,5.94
1946-04-01,6.05
1946-05-01,6.10
1946-06-01,6.12
1946-07-01,6.25
1946-08-01,6.36
1946-09-01,6.43
1946-10-01,6.51
1946-11-01,6.54
1946-12-01,6.56
1947-01-01,6.74
1947-02-01,6.61
1947-03-01,6.56
1947-04-01,6.56
1947-05-01,6.54
1947-06-01,6.54
1947-07-01,6.54
1947-08-01,6.72
1947-09-01,6.85
1947-10-01,6.87
1947-11-01,6.95
1947-12-01,7.29
1948-01-01,7.65
1948-02-01,7.47
1948-03-01,7.49
1948-04-01,7.34
1948-05-01,7.18
1948-06-01,7.23
1948-07-01,7.29
1948-08-01,7.47
1948-09-01,7.60
1948-10-01,7.67
1948-11-01,7.78
1948-12-01,8.09
1949-01-01,8.27
1949-02-01,8.09
1949-03-01,7.98
1949-04-01,7.80
1949-05-01,7.65
1949-06-01,7.70
1949-07-01,7.80
1949-08-01,7.98
1949-09-01,8.06
1949-10-01,8.01
1949-11-01,8.22
1949-12-01,8.68
1950-01-01,9.09
1950-02-01,8.89
1950-03-01,8.94
1950-04-01,8.84
1950-05-01,8.81
1950-06-01,8.89
1950-07-01,8.91
1950-08-01,9.12
1950-09-01,9.25
1950-10-01,9.40
1950-11-01,9.53
1950-12-01,9.87
1951-01-01,10.44
1951-02-01,10.28
1951-03-01,10.28
1951-04-01,10.26
1951-05-01,10.05
1951-06-01,10.18
1951-07-01,10.23
1951-08-01,10.46
1951-09-01,10.57
1951-10-01,10.49
1951-11-01,10.70
1951-12-01,11.01
1952-01-01,11.55
1952-02-01,11.29
1952-03-01,11.21
1952-04-01,10.93
1952-05-01,10.72
1952-06-01,10.80
1952-07-01,10.98
1952-08-01,11.34
1952-09-01,11.55
1952-10-01,11.52
1952-11-01,11.63
1952-12-01,12.04
1953-01-01,12.45
1953-02-01,12.06
1953-03-01,12.14
1953-04-01,12.06
1953-05-01,11.91
1953-06-01,12.06
1953-07-01,12.25
1953-08-01,12.43
1953-09-01,12.43
1953-10-01,12.32
1953-11-01,12.25
1953-12-01,12.66
1954-01-01,13.36
1954-02-01,12.99
1954-03-01,12.94
1954-04-01,12.79
1954-05-01,12.53
1954-06-01,12.74
1954-07-01,13.07
1954-08-01,13.41
1954-09-01,13.46
1954-10-01,13.36
1954-11-01,13.41
1954-12-01,14.08
1955-01-01,14.49
1955-02-01,14.44
1955-03-01,14.44
1955-04-01,14.29
1955-05-01,14.00
1955-06-01,14.13
1955-07-01,14.49
1955-08-01,15.22
1955-09-01,15.32
1955-10-01,15.04
1955-11-01,15.11
1955-12-01,15.89
1956-01-01,16.46
1956-02-01,16.25
1956-03-01,16.09
1956-04-01,15.89
1956-05-01,15.73
1956-06-01,15.84
1956-07-01,16.07
1956-08-01,16.46
1956-09-01,16.35
1956-10-01,16.07
1956-11-01,16.07
1956-12-01,16.79
1957-01-01,17.54
1957-02-01,17.31
1957-03-01,17.08
1957-04-01,16.79
1957-05-01,16.51
1957-06-01,16.71
1957-07-01,17.39
1957-08-01,17.93
1957-09-01,17.67
1957-10-01,17.18
1957-11-01,17.23
1957-12-01,17.88
1958-01-01,18.50
1958-02-01,18.19
1958-03-01,17.95
1958-04-01,17.33
1958-05-01,17.00
1958-06-01,17.44
1958-07-01,17.93
1958-08-01,18.65
1958-09-01,18.70
1958-10-01,18.14
1958-11-01,18.06
1958-12-01,19.01
1959-01-01,20.02
1959-02-01,19.69
1959-03-01,19.58
1959-04-01,19.12
1959-05-01,18.99
1959-06-01,19.58
1959-07-01,20.10
1959-08-01,20.51
1959-09-01,20.72
1959-10-01,19.79
1959-11-01,19.74
1959-12-01,20.87
1960-01-01,21.75
1960-02-01,21.44
1960-03-01,21.55
1960-04-01,20.82
1960-05-01,20.20
1960-06-01,20.72
1960-07-01,21.24
1960-08-01,22.06
1960-09-01,22.09
1960-10-01,21.05
1960-11-01,20.82
1960-12-01,21.60
1961-01-01,22.63
1961-02-01,22.17
1961-03-01,21.86
1961-04-01,21.49
1961-05-01,21.49
1961-06-01,21.96
1961-07-01,22.48
1961-08-01,23.53
1961-09-01,23.66
1961-10-01,22.73
1961-11-01,22.40
1961-12-01,23.33
1962-01-01,24.72
1962-02-01,24.08
1962-03-01,23.92
1962-04-01,23.04
1962-05-01,22.94
1962-06-01,23.72
1962-07-01,24.44
1962-08-01,25.11
1962-09-01,25.11
1962-10-01,24.08
1962-11-01,23.92
1962-12-01,24.83
1963-01-01,26.27
1963-02-01,25.96
1963-03-01,25.47
1963-04-01,24.52
1963-05-01,24.52
1963-06-01,25.32
1963-07-01,26.45
1963-08-01,27.31
1963-09-01,26.92
1963-10-01,25.55
1963-11-01,25.24
1963-12-01,26.48
1964-01-01,28.21
1964-02-01,27.36
1964-03-01,27.28
1964-04-01,26.84
1964-05-01,26.63
1964-06-01,27.51
1964-07-01,29.27
1964-08-01,30.07
1964-09-01,29.42
1964-10-01,27.90
1964-11-01,27.28
1964-12-01,28.80
1965-01-01,29.94
1965-02-01,29.27
1965-03-01,29.32
1965-04-01,28.65
1965-05-01,28.16
1965-06-01,29.17
1965-07-01,30.48
1965-08-01,31.52
1965-09-01,31.36
1965-10-01,29.84
1965-11-01,29.04
1965-12-01,30.51
1966-01-01,31.75
1966-02-01,31.70
1966-03-01,31.26
1966-04-01,30.28
1966-05-01,30.04
1966-06-01,31.21
1966-07-01,33.87
1966-08-01,34.88
1966-09-01,33.84
1966-10-01,31.72
1966-11-01,31.31
1966-12-01,32.73
1967-01-01,34.52
1967-02-01,33.95
1967-03-01,32.89
1967-04-01,32.64
1967-05-01,31.56
1967-06-01,32.94
1967-07-01,34.03
1967-08-01,34.42
1967-09-01,33.38
1967-10-01,33.32
1967-11-01,33.84
1967-12-01,35.87
1968-01-01,37.21
1968-02-01,36.29
1968-03-01,35.99
1968-04-01,34.35
1968-05-01,33.96
1968-06-01,36.12
1968-07-01,36.78
1968-08-01,38.10
1968-09-01,37.26
1968-10-01,35.48
1968-11-01,36.12
1968-12-01,38.74
1969-01-01,40.16
1969-02-01,39.74
1969-03-01,39.01
1969-04-01,37.15
1969-05-01,36.35
1969-06-01,38.97
1969-07-01,40.86
1969-08-01,42.23
1969-09-01,40.39
1969-10-01,38.74
1969-11-01,39.78
1969-12-01,41.20
1970-01-01,43.09
1970-02-01,42.56
1970-03-01,41.62
1970-04-01,40.20
1970-05-01,39.93
1970-06-01,41.18
1970-07-01,43.22
1970-08-01,44.81
1970-09-01,43.60
1970-10-01,40.55
1970-11-01,40.94
1970-12-01,42.11
1971-01-01,44.95
1971-02-01,44.37
1971-03-01,42.75
1971-04-01,41.42
1971-05-01,40.83
1971-06-01,43.55
1971-07-01,45.19
1971-08-01,46.11
1971-09-01,45.51
1971-10-01,43.95
1971-11-01,44.00
1971-12-01,45.61
1972-01-01,48.84
1972-02-01,50.02
1972-03-01,47.84
1972-04-01,44.51
1972-05-01,42.11
1972-06-01,43.82
1972-07-01,45.40
1972-08-01,47.99
1972-09-01,46.83
1972-10-01,44.69
1972-11-01,47.20
1972-12-01,52.18
1973-01-01,55.93
1973-02-01,54.00
1973-03-01,50.51
1973-04-01,46.82
1973-05-01,44.93
1973-06-01,47.46
