Date,UCOGTI
1992-01-01,99857000000.00
1992-02-01,100400000000.00
1992-03-01,99385000000.00
1992-04-01,100218000000.00
1992-05-01,101619000000.00
1992-06-01,100504000000.00
1992-07-01,101538000000.00
1992-08-01,103426000000.00
1992-09-01,103053000000.00
1992-10-01,104726000000.00
1992-11-01,103732000000.00
1992-12-01,101355000000.00
1993-01-01,103565000000.00
1993-02-01,103394000000.00
1993-03-01,102735000000.00
1993-04-01,103819000000.00
1993-05-01,104425000000.00
1993-06-01,103198000000.00
1993-07-01,103177000000.00
1993-08-01,105026000000.00
1993-09-01,104750000000.00
1993-10-01,106085000000.00
1993-11-01,105440000000.00
1993-12-01,102856000000.00
1994-01-01,104719000000.00
1994-02-01,105240000000.00
1994-03-01,105046000000.00
1994-04-01,105760000000.00
1994-05-01,106868000000.00
1994-06-01,105797000000.00
1994-07-01,107721000000.00
1994-08-01,109241000000.00
1994-09-01,108765000000.00
1994-10-01,109986000000.00
1994-11-01,109915000000.00
1994-12-01,107484000000.00
1995-01-01,110396000000.00
1995-02-01,111625000000.00
1995-03-01,111096000000.00
1995-04-01,111872000000.00
1995-05-01,112896000000.00
1995-06-01,112148000000.00
1995-07-01,112307000000.00
1995-08-01,113722000000.00
1995-09-01,114680000000.00
1995-10-01,116105000000.00
1995-11-01,115550000000.00
1995-12-01,114305000000.00
1996-01-01,116679000000.00
1996-02-01,117291000000.00
1996-03-01,116447000000.00
1996-04-01,116621000000.00
1996-05-01,116379000000.00
1996-06-01,114860000000.00
1996-07-01,115238000000.00
1996-08-01,116561000000.00
1996-09-01,117105000000.00
1996-10-01,117883000000.00
1996-11-01,116840000000.00
1996-12-01,114364000000.00
1997-01-01,116101000000.00
1997-02-01,116827000000.00
1997-03-01,115868000000.00
1997-04-01,116896000000.00
1997-05-01,117388000000.00
1997-06-01,116190000000.00
1997-07-01,116094000000.00
1997-08-01,117514000000.00
1997-09-01,119148000000.00
1997-10-01,121291000000.00
1997-11-01,120425000000.00
1997-12-01,117707000000.00
1998-01-01,119417000000.00
1998-02-01,120347000000.00
1998-03-01,119037000000.00
1998-04-01,118850000000.00
1998-05-01,118718000000.00
1998-06-01,116622000000.00
1998-07-01,117355000000.00
1998-08-01,117504000000.00
1998-09-01,117681000000.00
1998-10-01,119930000000.00
1998-11-01,119926000000.00
1998-12-01,115544000000.00
1999-01-01,117353000000.00
1999-02-01,117718000000.00
1999-03-01,117279000000.00
1999-04-01,118004000000.00
1999-05-01,119447000000.00
1999-06-01,118215000000.00
1999-07-01,118899000000.00
1999-08-01,120267000000.00
1999-09-01,121570000000.00
