Date,RTWVDGA684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.62
1988-03-01,99.20
1988-04-01,98.31
1988-05-01,98.49
1988-06-01,99.91
1988-07-01,101.98
1988-08-01,102.82
1988-09-01,103.02
1988-10-01,100.87
1988-11-01,98.35
1988-12-01,97.63
1989-01-01,99.56
1989-02-01,99.96
1989-03-01,101.75
1989-04-01,101.51
1989-05-01,103.98
1989-06-01,105.72
1989-07-01,103.28
1989-08-01,104.32
1989-09-01,105.10
1989-10-01,103.14
1989-11-01,103.00
1989-12-01,101.16
1990-01-01,100.68
1990-02-01,100.74
1990-03-01,101.94
1990-04-01,101.23
1990-05-01,100.18
1990-06-01,100.69
1990-07-01,100.18
1990-08-01,98.75
1990-09-01,98.50
1990-10-01,96.75
1990-11-01,96.18
1990-12-01,96.84
1991-01-01,96.49
1991-02-01,95.47
1991-03-01,98.39
1991-04-01,99.23
1991-05-01,99.47
1991-06-01,100.67
1991-07-01,100.47
1991-08-01,99.56
1991-09-01,98.54
1991-10-01,97.75
1991-11-01,96.42
1991-12-01,95.62
1992-01-01,95.33
1992-02-01,96.57
1992-03-01,98.12
1992-04-01,97.55
1992-05-01,96.79
1992-06-01,95.70
1992-07-01,94.44
1992-08-01,93.89
1992-09-01,94.43
1992-10-01,96.25
1992-11-01,99.04
1992-12-01,99.02
1993-01-01,99.89
1993-02-01,100.11
1993-03-01,99.60
1993-04-01,98.14
1993-05-01,98.09
1993-06-01,98.75
1993-07-01,99.73
1993-08-01,99.93
1993-09-01,99.47
1993-10-01,100.21
1993-11-01,100.94
1993-12-01,101.07
1994-01-01,101.79
1994-02-01,101.54
1994-03-01,101.70
1994-04-01,101.78
1994-05-01,101.08
1994-06-01,100.20
1994-07-01,99.18
1994-08-01,98.81
1994-09-01,97.71
1994-10-01,96.92
1994-11-01,97.15
1994-12-01,98.73
1995-01-01,99.75
1995-02-01,99.14
1995-03-01,98.08
1995-04-01,95.25
1995-05-01,94.78
1995-06-01,94.86
1995-07-01,94.60
1995-08-01,96.39
1995-09-01,97.20
1995-10-01,97.01
1995-11-01,97.72
1995-12-01,98.27
1996-01-01,99.11
1996-02-01,98.99
1996-03-01,99.21
1996-04-01,99.29
1996-05-01,99.37
1996-06-01,99.61
1996-07-01,99.59
1996-08-01,99.11
1996-09-01,99.53
1996-10-01,99.94
1996-11-01,99.40
1996-12-01,100.05
1997-01-01,100.94
1997-02-01,102.63
1997-03-01,103.51
1997-04-01,104.01
1997-05-01,102.79
1997-06-01,102.70
1997-07-01,103.41
1997-08-01,104.86
1997-09-01,104.69
1997-10-01,104.76
1997-11-01,106.05
1997-12-01,108.28
1998-01-01,109.64
1998-02-01,108.93
