Date,U33ETI
1992-01-01,4449000000.00
1992-02-01,4601000000.00
1992-03-01,4230000000.00
1992-04-01,4601000000.00
1992-05-01,4736000000.00
1992-06-01,4572000000.00
1992-07-01,4551000000.00
1992-08-01,4610000000.00
1992-09-01,4587000000.00
1992-10-01,4604000000.00
1992-11-01,4792000000.00
1992-12-01,4670000000.00
1993-01-01,4692000000.00
1993-02-01,4762000000.00
1993-03-01,4620000000.00
1993-04-01,5055000000.00
1993-05-01,5143000000.00
1993-06-01,5135000000.00
1993-07-01,5134000000.00
1993-08-01,5244000000.00
1993-09-01,5285000000.00
1993-10-01,5281000000.00
1993-11-01,5229000000.00
1993-12-01,5030000000.00
1994-01-01,5216000000.00
1994-02-01,5261000000.00
1994-03-01,5139000000.00
1994-04-01,5264000000.00
1994-05-01,5484000000.00
1994-06-01,5469000000.00
1994-07-01,5541000000.00
1994-08-01,5612000000.00
1994-09-01,5668000000.00
1994-10-01,5640000000.00
1994-11-01,5782000000.00
1994-12-01,5612000000.00
1995-01-01,6007000000.00
1995-02-01,6229000000.00
1995-03-01,6107000000.00
1995-04-01,6283000000.00
1995-05-01,6531000000.00
1995-06-01,6492000000.00
1995-07-01,6524000000.00
1995-08-01,6670000000.00
1995-09-01,6735000000.00
1995-10-01,6810000000.00
1995-11-01,6952000000.00
1995-12-01,6817000000.00
1996-01-01,7039000000.00
1996-02-01,7312000000.00
1996-03-01,7160000000.00
1996-04-01,7263000000.00
1996-05-01,7371000000.00
1996-06-01,7151000000.00
1996-07-01,7168000000.00
1996-08-01,7255000000.00
1996-09-01,7090000000.00
1996-10-01,7097000000.00
1996-11-01,7154000000.00
1996-12-01,6765000000.00
1997-01-01,7013000000.00
1997-02-01,7097000000.00
1997-03-01,6892000000.00
1997-04-01,7150000000.00
1997-05-01,7359000000.00
1997-06-01,7142000000.00
1997-07-01,7169000000.00
1997-08-01,7333000000.00
1997-09-01,7153000000.00
1997-10-01,7294000000.00
1997-11-01,7496000000.00
1997-12-01,7203000000.00
1998-01-01,7436000000.00
1998-02-01,7763000000.00
1998-03-01,7557000000.00
1998-04-01,7665000000.00
1998-05-01,7623000000.00
1998-06-01,7412000000.00
1998-07-01,7380000000.00
1998-08-01,7463000000.00
1998-09-01,7347000000.00
1998-10-01,7393000000.00
1998-11-01,7588000000.00
1998-12-01,7159000000.00
1999-01-01,7343000000.00
1999-02-01,7504000000.00
1999-03-01,7402000000.00
1999-04-01,7375000000.00
1999-05-01,7482000000.00
1999-06-01,7129000000.00
1999-07-01,7255000000.00
1999-08-01,7228000000.00
1999-09-01,7023000000.00
1999-10-01,7300000000.00
1999-11-01,7589000000.00
1999-12-01,7394000000.00
2000-01-01,7625000000.00
2000-02-01,7956000000.00
2000-03-01,7786000000.00
2000-04-01,8047000000.00
2000-05-01,8549000000.00
2000-06-01,8476000000.00
2000-07-01,8570000000.00
2000-08-01,8786000000.00
2000-09-01,8732000000.00
2000-10-01,9046000000.00
2000-11-01,8944000000.00
2000-12-01,8753000000.00
2001-01-01,8804000000.00
2001-02-01,8998000000.00
2001-03-01,8717000000.00
2001-04-01,8523000000.00
2001-05-01,8411000000.00
2001-06-01,8038000000.00
2001-07-01,7771000000.00
2001-08-01,7705000000.00
2001-09-01,7380000000.00
2001-10-01,7298000000.00
2001-11-01,7290000000.00
2001-12-01,6793000000.00
2002-01-01,6827000000.00
2002-02-01,6946000000.00
2002-03-01,6887000000.00
2002-04-01,6820000000.00
2002-05-01,7017000000.00
2002-06-01,6995000000.00
2002-07-01,7062000000.00
2002-08-01,7087000000.00
2002-09-01,6980000000.00
2002-10-01,7017000000.00
2002-11-01,7256000000.00
2002-12-01,7302000000.00
2003-01-01,7128000000.00
2003-02-01,7325000000.00
2003-03-01,7215000000.00
2003-04-01,7064000000.00
2003-05-01,7031000000.00
2003-06-01,6703000000.00
2003-07-01,6519000000.00
2003-08-01,6485000000.00
2003-09-01,6278000000.00
2003-10-01,6193000000.00
2003-11-01,6285000000.00
2003-12-01,6009000000.00
2004-01-01,6170000000.00
2004-02-01,6428000000.00
2004-03-01,6309000000.00
2004-04-01,6301000000.00
2004-05-01,6572000000.00
2004-06-01,6461000000.00
2004-07-01,6353000000.00
2004-08-01,6615000000.00
2004-09-01,6476000000.00
2004-10-01,6315000000.00
2004-11-01,6636000000.00
2004-12-01,6370000000.00
2005-01-01,6609000000.00
2005-02-01,6918000000.00
2005-03-01,6699000000.00
2005-04-01,6709000000.00
2005-05-01,6902000000.00
2005-06-01,6850000000.00
2005-07-01,6956000000.00
2005-08-01,6967000000.00
2005-09-01,6646000000.00
2005-10-01,6574000000.00
2005-11-01,6748000000.00
2005-12-01,6304000000.00
2006-01-01,6361000000.00
2006-02-01,6640000000.00
2006-03-01,6722000000.00
2006-04-01,6604000000.00
2006-05-01,6768000000.00
2006-06-01,6769000000.00
2006-07-01,6580000000.00
2006-08-01,6826000000.00
2006-09-01,6710000000.00
2006-10-01,6583000000.00
2006-11-01,6519000000.00
2006-12-01,6643000000.00
2007-01-01,6710000000.00
2007-02-01,6907000000.00
2007-03-01,6831000000.00
2007-04-01,6706000000.00
2007-05-01,6944000000.00
2007-06-01,7048000000.00
2007-07-01,6858000000.00
2007-08-01,7077000000.00
2007-09-01,7047000000.00
2007-10-01,7022000000.00
2007-11-01,7223000000.00
2007-12-01,6980000000.00
2008-01-01,7009000000.00
2008-02-01,7172000000.00
2008-03-01,7194000000.00
2008-04-01,7154000000.00
2008-05-01,7310000000.00
2008-06-01,7188000000.00
2008-07-01,7128000000.00
2008-08-01,7247000000.00
2008-09-01,7067000000.00
2008-10-01,6899000000.00
2008-11-01,7090000000.00
2008-12-01,6585000000.00
2009-01-01,6697000000.00
2009-02-01,6722000000.00
2009-03-01,6539000000.00
2009-04-01,6256000000.00
2009-05-01,6164000000.00
2009-06-01,6059000000.00
2009-07-01,5800000000.00
2009-08-01,5729000000.00
2009-09-01,5553000000.00
2009-10-01,5346000000.00
2009-11-01,5429000000.00
2009-12-01,5089000000.00
2010-01-01,5126000000.00
2010-02-01,5293000000.00
2010-03-01,5313000000.00
2010-04-01,5355000000.00
2010-05-01,5541000000.00
2010-06-01,5435000000.00
2010-07-01,5388000000.00
2010-08-01,5567000000.00
2010-09-01,5630000000.00
2010-10-01,5632000000.00
2010-11-01,5781000000.00
2010-12-01,5498000000.00
2011-01-01,5503000000.00
2011-02-01,5667000000.00
2011-03-01,5635000000.00
2011-04-01,5570000000.00
2011-05-01,5680000000.00
2011-06-01,5540000000.00
2011-07-01,5526000000.00
2011-08-01,5634000000.00
2011-09-01,5620000000.00
2011-10-01,5499000000.00
2011-11-01,5555000000.00
2011-12-01,5513000000.00
2012-01-01,5543000000.00
2012-02-01,5543000000.00
2012-03-01,5574000000.00
2012-04-01,5607000000.00
2012-05-01,5624000000.00
2012-06-01,5551000000.00
2012-07-01,5457000000.00
2012-08-01,5644000000.00
2012-09-01,5597000000.00
2012-10-01,5600000000.00
2012-11-01,5725000000.00
2012-12-01,5444000000.00
2013-01-01,5495000000.00
2013-02-01,5612000000.00
2013-03-01,5569000000.00
2013-04-01,5608000000.00
