Date,U34DVS
1992-01-01,2207000000.00
1992-02-01,2430000000.00
1992-03-01,2890000000.00
1992-04-01,2360000000.00
1992-05-01,2463000000.00
1992-06-01,2932000000.00
1992-07-01,2542000000.00
1992-08-01,2533000000.00
1992-09-01,3396000000.00
1992-10-01,2766000000.00
1992-11-01,2857000000.00
1992-12-01,4059000000.00
1993-01-01,2289000000.00
1993-02-01,2613000000.00
1993-03-01,3148000000.00
1993-04-01,2548000000.00
1993-05-01,2774000000.00
1993-06-01,3348000000.00
1993-07-01,2601000000.00
1993-08-01,3029000000.00
1993-09-01,3597000000.00
1993-10-01,3182000000.00
1993-11-01,3512000000.00
1993-12-01,4736000000.00
1994-01-01,2813000000.00
1994-02-01,3251000000.00
1994-03-01,3944000000.00
1994-04-01,3398000000.00
1994-05-01,3441000000.00
1994-06-01,4116000000.00
1994-07-01,3200000000.00
1994-08-01,3589000000.00
1994-09-01,4334000000.00
1994-10-01,3740000000.00
1994-11-01,4276000000.00
1994-12-01,5546000000.00
1995-01-01,3274000000.00
1995-02-01,3608000000.00
1995-03-01,4243000000.00
1995-04-01,3631000000.00
1995-05-01,3727000000.00
1995-06-01,4978000000.00
1995-07-01,3440000000.00
1995-08-01,3829000000.00
1995-09-01,4700000000.00
1995-10-01,4272000000.00
1995-11-01,4490000000.00
1995-12-01,6908000000.00
1996-01-01,3410000000.00
1996-02-01,4117000000.00
1996-03-01,5055000000.00
1996-04-01,4135000000.00
1996-05-01,4309000000.00
1996-06-01,5704000000.00
1996-07-01,4232000000.00
1996-08-01,4512000000.00
1996-09-01,5774000000.00
1996-10-01,5132000000.00
1996-11-01,5734000000.00
1996-12-01,7710000000.00
1997-01-01,4096000000.00
1997-02-01,5471000000.00
1997-03-01,6766000000.00
1997-04-01,5509000000.00
1997-05-01,5887000000.00
1997-06-01,7622000000.00
1997-07-01,5972000000.00
1997-08-01,6549000000.00
1997-09-01,7794000000.00
1997-10-01,6706000000.00
1997-11-01,6826000000.00
1997-12-01,9859000000.00
1998-01-01,4818000000.00
1998-02-01,6307000000.00
1998-03-01,7778000000.00
1998-04-01,5638000000.00
1998-05-01,6195000000.00
1998-06-01,8320000000.00
1998-07-01,5411000000.00
1998-08-01,6105000000.00
1998-09-01,8292000000.00
1998-10-01,6836000000.00
1998-11-01,7240000000.00
1998-12-01,9984000000.00
1999-01-01,5802000000.00
1999-02-01,6471000000.00
1999-03-01,8475000000.00
1999-04-01,6626000000.00
1999-05-01,7187000000.00
1999-06-01,9384000000.00
1999-07-01,7158000000.00
1999-08-01,7284000000.00
1999-09-01,9715000000.00
1999-10-01,7635000000.00
1999-11-01,8117000000.00
1999-12-01,11121000000.00
2000-01-01,7058000000.00
2000-02-01,8063000000.00
2000-03-01,10517000000.00
2000-04-01,8064000000.00
2000-05-01,9158000000.00
2000-06-01,10992000000.00
2000-07-01,8112000000.00
2000-08-01,8695000000.00
2000-09-01,12119000000.00
2000-10-01,9326000000.00
