Date,U24ATI
2008-08-01,51914000000.00
2008-09-01,47359000000.00
2008-10-01,40238000000.00
2008-11-01,34768000000.00
2008-12-01,25300000000.00
2009-01-01,25315000000.00
2009-02-01,24405000000.00
2009-03-01,26602000000.00
2009-04-01,26932000000.00
2009-05-01,29346000000.00
2009-06-01,31385000000.00
2009-07-01,32063000000.00
2009-08-01,33233000000.00
2009-09-01,31502000000.00
2009-10-01,33061000000.00
2009-11-01,33345000000.00
2009-12-01,33405000000.00
2010-01-01,34297000000.00
2010-02-01,36810000000.00
2010-03-01,38744000000.00
2010-04-01,38797000000.00
2010-05-01,35686000000.00
2010-06-01,34279000000.00
2010-07-01,36109000000.00
2010-08-01,35177000000.00
2010-09-01,36022000000.00
2010-10-01,37037000000.00
2010-11-01,38407000000.00
2010-12-01,39153000000.00
2011-01-01,41753000000.00
2011-02-01,43293000000.00
2011-03-01,46900000000.00
2011-04-01,51142000000.00
2011-05-01,50788000000.00
2011-06-01,47881000000.00
2011-07-01,47839000000.00
2011-08-01,45374000000.00
2011-09-01,44034000000.00
2011-10-01,46489000000.00
2011-11-01,45898000000.00
2011-12-01,44857000000.00
2012-01-01,46803000000.00
2012-02-01,48886000000.00
2012-03-01,50586000000.00
2012-04-01,50161000000.00
2012-05-01,48182000000.00
2012-06-01,45456000000.00
2012-07-01,46293000000.00
2012-08-01,46673000000.00
2012-09-01,49846000000.00
2012-10-01,47471000000.00
2012-11-01,45477000000.00
2012-12-01,43723000000.00
2013-01-01,45309000000.00
2013-02-01,45742000000.00
2013-03-01,47583000000.00
2013-04-01,46215000000.00
2013-05-01,45759000000.00
2013-06-01,44525000000.00
2013-07-01,46163000000.00
2013-08-01,47418000000.00
2013-09-01,47153000000.00
2013-10-01,46156000000.00
2013-11-01,43587000000.00
2013-12-01,42069000000.00
2014-01-01,43866000000.00
2014-02-01,46110000000.00
2014-03-01,46318000000.00
2014-04-01,47359000000.00
2014-05-01,48062000000.00
2014-06-01,46036000000.00
2014-07-01,45563000000.00
2014-08-01,44167000000.00
2014-09-01,43911000000.00
2014-10-01,41099000000.00
2014-11-01,38722000000.00
2014-12-01,31831000000.00
2015-01-01,29439000000.00
2015-02-01,29956000000.00
2015-03-01,30721000000.00
2015-04-01,31682000000.00
2015-05-01,33676000000.00
2015-06-01,33737000000.00
2015-07-01,31964000000.00
2015-08-01,29705000000.00
2015-09-01,28555000000.00
2015-10-01,29181000000.00
2015-11-01,27680000000.00
2015-12-01,23441000000.00
2016-01-01,22126000000.00
2016-02-01,21552000000.00
2016-03-01,22625000000.00
2016-04-01,24448000000.00
2016-05-01,26118000000.00
2016-06-01,26875000000.00
2016-07-01,26035000000.00
2016-08-01,25905000000.00
2016-09-01,25641000000.00
2016-10-01,26550000000.00
2016-11-01,26808000000.00
2016-12-01,27254000000.00
2017-01-01,28421000000.00
2017-02-01,28742000000.00
2017-03-01,28006000000.00
2017-04-01,30118000000.00
2017-05-01,29566000000.00
2017-06-01,27526000000.00
2017-07-01,29271000000.00
2017-08-01,30001000000.00
2017-09-01,32167000000.00
2017-10-01,32175000000.00
2017-11-01,33028000000.00
2017-12-01,33100000000.00
2018-01-01,34964000000.00
2018-02-01,34943000000.00
2018-03-01,34783000000.00
2018-04-01,36544000000.00
