Date,UDXDVS
1992-01-01,99535000000.00
1992-02-01,113576000000.00
1992-03-01,124460000000.00
1992-04-01,117281000000.00
1992-05-01,118862000000.00
1992-06-01,129615000000.00
1992-07-01,102694000000.00
1992-08-01,115434000000.00
1992-09-01,125531000000.00
1992-10-01,124479000000.00
1992-11-01,119315000000.00
1992-12-01,120850000000.00
1993-01-01,107652000000.00
1993-02-01,123015000000.00
1993-03-01,134207000000.00
1993-04-01,124320000000.00
1993-05-01,124460000000.00
1993-06-01,136604000000.00
1993-07-01,103776000000.00
1993-08-01,122215000000.00
1993-09-01,135123000000.00
1993-10-01,133089000000.00
1993-11-01,130423000000.00
1993-12-01,131787000000.00
1994-01-01,118814000000.00
1994-02-01,135005000000.00
1994-03-01,145431000000.00
1994-04-01,135846000000.00
1994-05-01,139353000000.00
1994-06-01,151569000000.00
1994-07-01,116780000000.00
1994-08-01,142190000000.00
1994-09-01,151901000000.00
1994-10-01,146777000000.00
1994-11-01,146226000000.00
1994-12-01,147185000000.00
1995-01-01,134441000000.00
1995-02-01,151330000000.00
1995-03-01,162678000000.00
1995-04-01,146863000000.00
1995-05-01,150589000000.00
1995-06-01,164526000000.00
1995-07-01,123533000000.00
1995-08-01,151314000000.00
1995-09-01,165961000000.00
1995-10-01,158470000000.00
1995-11-01,154412000000.00
1995-12-01,154974000000.00
1996-01-01,135571000000.00
1996-02-01,154666000000.00
1996-03-01,163857000000.00
1996-04-01,155031000000.00
1996-05-01,161314000000.00
1996-06-01,172478000000.00
1996-07-01,134177000000.00
1996-08-01,158633000000.00
1996-09-01,173647000000.00
1996-10-01,164619000000.00
1996-11-01,162000000000.00
1996-12-01,160560000000.00
1997-01-01,145386000000.00
1997-02-01,166600000000.00
1997-03-01,180420000000.00
1997-04-01,169669000000.00
1997-05-01,168535000000.00
1997-06-01,188698000000.00
1997-07-01,148968000000.00
1997-08-01,171321000000.00
1997-09-01,191885000000.00
1997-10-01,180593000000.00
1997-11-01,173359000000.00
1997-12-01,178213000000.00
1998-01-01,153035000000.00
1998-02-01,179638000000.00
1998-03-01,196348000000.00
1998-04-01,176268000000.00
1998-05-01,176795000000.00
1998-06-01,192569000000.00
1998-07-01,148269000000.00
1998-08-01,175480000000.00
1998-09-01,196371000000.00
1998-10-01,187208000000.00
1998-11-01,181932000000.00
1998-12-01,184259000000.00
1999-01-01,160761000000.00
1999-02-01,183805000000.00
1999-03-01,202303000000.00
1999-04-01,184016000000.00
1999-05-01,187022000000.00
1999-06-01,205668000000.00
1999-07-01,158286000000.00
1999-08-01,190416000000.00
1999-09-01,204076000000.00
1999-10-01,191935000000.00
1999-11-01,186757000000.00
1999-12-01,190658000000.00
2000-01-01,171846000000.00
2000-02-01,188337000000.00
2000-03-01,210667000000.00
2000-04-01,188127000000.00
2000-05-01,195941000000.00
2000-06-01,214723000000.00
2000-07-01,161974000000.00
2000-08-01,191334000000.00
2000-09-01,210251000000.00
2000-10-01,192703000000.00
2000-11-01,183905000000.00
2000-12-01,187324000000.00
2001-01-01,162486000000.00
2001-02-01,178925000000.00
2001-03-01,199826000000.00
2001-04-01,170036000000.00
2001-05-01,184171000000.00
2001-06-01,192814000000.00
2001-07-01,148299000000.00
2001-08-01,176738000000.00
2001-09-01,175678000000.00
2001-10-01,172307000000.00
2001-11-01,164649000000.00
2001-12-01,164792000000.00
2002-01-01,150413000000.00
2002-02-01,161759000000.00
2002-03-01,179863000000.00
2002-04-01,171412000000.00
2002-05-01,178601000000.00
2002-06-01,182242000000.00
2002-07-01,149449000000.00
2002-08-01,175805000000.00
2002-09-01,180736000000.00
2002-10-01,178079000000.00
2002-11-01,165448000000.00
2002-12-01,160856000000.00
2003-01-01,153102000000.00
2003-02-01,162355000000.00
2003-03-01,182784000000.00
2003-04-01,164738000000.00
2003-05-01,171404000000.00
2003-06-01,183095000000.00
2003-07-01,149558000000.00
2003-08-01,168275000000.00
2003-09-01,186036000000.00
2003-10-01,182760000000.00
2003-11-01,167070000000.00
2003-12-01,172334000000.00
2004-01-01,153955000000.00
2004-02-01,168334000000.00
2004-03-01,199554000000.00
2004-04-01,177364000000.00
2004-05-01,177600000000.00
2004-06-01,194950000000.00
2004-07-01,156121000000.00
2004-08-01,184368000000.00
2004-09-01,194740000000.00
2004-10-01,185754000000.00
2004-11-01,179371000000.00
2004-12-01,187594000000.00
2005-01-01,168839000000.00
2005-02-01,179152000000.00
2005-03-01,204845000000.00
2005-04-01,189198000000.00
2005-05-01,193160000000.00
2005-06-01,209128000000.00
2005-07-01,164144000000.00
2005-08-01,200163000000.00
2005-09-01,209783000000.00
2005-10-01,201646000000.00
2005-11-01,193899000000.00
2005-12-01,202857000000.00
2006-01-01,180564000000.00
2006-02-01,193082000000.00
2006-03-01,225987000000.00
2006-04-01,192689000000.00
2006-05-01,212683000000.00
2006-06-01,226634000000.00
2006-07-01,176743000000.00
2006-08-01,214488000000.00
2006-09-01,215181000000.00
2006-10-01,209184000000.00
2006-11-01,199669000000.00
2006-12-01,205473000000.00
2007-01-01,187899000000.00
2007-02-01,195375000000.00
2007-03-01,228742000000.00
2007-04-01,210191000000.00
2007-05-01,222179000000.00
2007-06-01,232742000000.00
2007-07-01,193561000000.00
2007-08-01,228328000000.00
2007-09-01,222430000000.00
2007-10-01,224883000000.00
2007-11-01,210387000000.00
2007-12-01,208896000000.00
2008-01-01,199192000000.00
2008-02-01,208685000000.00
2008-03-01,221564000000.00
2008-04-01,214910000000.00
2008-05-01,215838000000.00
2008-06-01,230045000000.00
2008-07-01,199304000000.00
2008-08-01,209597000000.00
2008-09-01,217481000000.00
2008-10-01,204423000000.00
2008-11-01,173018000000.00
2008-12-01,179398000000.00
2009-01-01,148777000000.00
2009-02-01,150354000000.00
2009-03-01,170001000000.00
2009-04-01,154357000000.00
2009-05-01,150405000000.00
2009-06-01,163951000000.00
2009-07-01,148181000000.00
2009-08-01,158752000000.00
2009-09-01,170198000000.00
2009-10-01,166293000000.00
2009-11-01,155949000000.00
2009-12-01,167795000000.00
2010-01-01,150841000000.00
2010-02-01,153303000000.00
2010-03-01,183390000000.00
2010-04-01,175463000000.00
2010-05-01,175143000000.00
2010-06-01,191047000000.00
2010-07-01,169032000000.00
2010-08-01,186404000000.00
2010-09-01,192790000000.00
2010-10-01,185868000000.00
2010-11-01,175266000000.00
2010-12-01,185036000000.00
2011-01-01,167927000000.00
2011-02-01,172947000000.00
2011-03-01,210492000000.00
2011-04-01,188881000000.00
2011-05-01,192572000000.00
2011-06-01,208914000000.00
2011-07-01,181021000000.00
2011-08-01,206674000000.00
2011-09-01,207688000000.00
2011-10-01,203623000000.00
2011-11-01,191646000000.00
2011-12-01,198717000000.00
2012-01-01,184497000000.00
2012-02-01,197731000000.00
2012-03-01,222695000000.00
2012-04-01,205256000000.00
2012-05-01,215262000000.00
2012-06-01,223350000000.00
2012-07-01,191750000000.00
2012-08-01,213923000000.00
2012-09-01,209925000000.00
2012-10-01,213067000000.00
2012-11-01,201346000000.00
2012-12-01,202674000000.00
2013-01-01,189833000000.00
2013-02-01,196886000000.00
2013-03-01,223944000000.00
2013-04-01,212050000000.00
2013-05-01,220452000000.00
2013-06-01,224415000000.00
2013-07-01,198028000000.00
2013-08-01,219417000000.00
2013-09-01,221899000000.00
2013-10-01,223339000000.00
2013-11-01,208776000000.00
2013-12-01,210205000000.00
2014-01-01,193842000000.00
2014-02-01,202720000000.00
2014-03-01,232678000000.00
2014-04-01,218467000000.00
2014-05-01,223587000000.00
2014-06-01,237136000000.00
2014-07-01,214830000000.00
2014-08-01,228723000000.00
2014-09-01,238201000000.00
2014-10-01,234990000000.00
2014-11-01,205957000000.00
2014-12-01,223978000000.00
2015-01-01,197186000000.00
2015-02-01,203791000000.00
2015-03-01,239655000000.00
2015-04-01,222650000000.00
2015-05-01,219062000000.00
2015-06-01,239644000000.00
2015-07-01,210448000000.00
2015-08-01,224674000000.00
2015-09-01,233602000000.00
2015-10-01,223449000000.00
2015-11-01,208142000000.00
2015-12-01,211118000000.00
2016-01-01,190336000000.00
2016-02-01,208057000000.00
2016-03-01,232223000000.00
2016-04-01,212721000000.00
2016-05-01,214671000000.00
2016-06-01,232182000000.00
2016-07-01,195289000000.00
2016-08-01,224175000000.00
2016-09-01,228967000000.00
2016-10-01,216062000000.00
2016-11-01,206494000000.00
2016-12-01,214286000000.00
2017-01-01,195256000000.00
2017-02-01,202552000000.00
2017-03-01,239966000000.00
2017-04-01,210716000000.00
2017-05-01,228808000000.00
2017-06-01,241746000000.00
2017-07-01,201617000000.00
2017-08-01,234735000000.00
2017-09-01,234766000000.00
2017-10-01,230676000000.00
2017-11-01,221819000000.00
2017-12-01,221112000000.00
2018-01-01,209407000000.00
2018-02-01,216862000000.00
2018-03-01,252341000000.00
2018-04-01,231623000000.00
2018-05-01,241037000000.00
