Date,U33MUO
1992-01-01,2220000000.00
1992-02-01,2194000000.00
1992-03-01,2205000000.00
1992-04-01,2204000000.00
1992-05-01,2140000000.00
1992-06-01,2193000000.00
1992-07-01,2191000000.00
1992-08-01,2300000000.00
1992-09-01,2311000000.00
1992-10-01,2278000000.00
1992-11-01,2270000000.00
1992-12-01,2169000000.00
1993-01-01,2327000000.00
1993-02-01,2330000000.00
1993-03-01,2439000000.00
1993-04-01,2438000000.00
1993-05-01,2469000000.00
1993-06-01,2543000000.00
1993-07-01,2568000000.00
1993-08-01,2664000000.00
1993-09-01,2780000000.00
1993-10-01,2854000000.00
1993-11-01,2830000000.00
1993-12-01,2947000000.00
1994-01-01,2915000000.00
1994-02-01,2966000000.00
1994-03-01,3069000000.00
1994-04-01,3224000000.00
1994-05-01,3234000000.00
1994-06-01,3160000000.00
1994-07-01,3081000000.00
1994-08-01,3110000000.00
1994-09-01,3232000000.00
1994-10-01,3330000000.00
1994-11-01,3360000000.00
1994-12-01,3313000000.00
1995-01-01,3642000000.00
1995-02-01,3789000000.00
1995-03-01,3947000000.00
1995-04-01,3934000000.00
1995-05-01,3911000000.00
1995-06-01,3922000000.00
1995-07-01,3851000000.00
1995-08-01,3830000000.00
1995-09-01,3881000000.00
1995-10-01,3882000000.00
1995-11-01,3932000000.00
1995-12-01,3940000000.00
1996-01-01,4034000000.00
1996-02-01,4425000000.00
1996-03-01,4444000000.00
1996-04-01,4426000000.00
1996-05-01,4417000000.00
1996-06-01,4393000000.00
1996-07-01,4346000000.00
1996-08-01,4308000000.00
1996-09-01,4446000000.00
1996-10-01,4316000000.00
1996-11-01,4216000000.00
1996-12-01,4286000000.00
1997-01-01,4368000000.00
1997-02-01,4342000000.00
1997-03-01,4343000000.00
1997-04-01,4412000000.00
1997-05-01,4293000000.00
1997-06-01,4354000000.00
1997-07-01,4292000000.00
1997-08-01,4348000000.00
1997-09-01,4345000000.00
1997-10-01,4399000000.00
1997-11-01,4516000000.00
1997-12-01,4576000000.00
1998-01-01,4673000000.00
1998-02-01,4893000000.00
1998-03-01,5126000000.00
1998-04-01,5232000000.00
1998-05-01,5221000000.00
1998-06-01,5145000000.00
1998-07-01,5009000000.00
1998-08-01,4789000000.00
1998-09-01,4728000000.00
1998-10-01,4707000000.00
1998-11-01,4683000000.00
1998-12-01,5028000000.00
1999-01-01,5146000000.00
1999-02-01,5249000000.00
1999-03-01,5462000000.00
1999-04-01,5446000000.00
1999-05-01,5447000000.00
1999-06-01,5307000000.00
1999-07-01,5232000000.00
1999-08-01,5233000000.00
1999-09-01,5206000000.00
1999-10-01,5320000000.00
1999-11-01,5372000000.00
1999-12-01,5495000000.00
2000-01-01,5730000000.00
2000-02-01,5571000000.00
2000-03-01,6219000000.00
2000-04-01,6160000000.00
2000-05-01,5975000000.00
2000-06-01,6157000000.00
2000-07-01,5905000000.00
2000-08-01,5752000000.00
2000-09-01,5920000000.00
2000-10-01,5728000000.00
2000-11-01,5517000000.00
2000-12-01,5697000000.00
2001-01-01,5792000000.00
2001-02-01,5732000000.00
2001-03-01,5819000000.00
2001-04-01,5691000000.00
2001-05-01,5563000000.00
2001-06-01,5603000000.00
2001-07-01,5418000000.00
2001-08-01,5421000000.00
2001-09-01,5533000000.00
2001-10-01,5408000000.00
2001-11-01,5399000000.00
2001-12-01,5392000000.00
2002-01-01,5284000000.00
2002-02-01,5264000000.00
2002-03-01,5367000000.00
2002-04-01,5205000000.00
2002-05-01,5030000000.00
2002-06-01,5036000000.00
2002-07-01,4884000000.00
2002-08-01,4891000000.00
2002-09-01,5215000000.00
2002-10-01,5142000000.00
2002-11-01,5088000000.00
2002-12-01,5149000000.00
2003-01-01,4922000000.00
2003-02-01,5082000000.00
2003-03-01,5370000000.00
2003-04-01,5386000000.00
2003-05-01,5188000000.00
2003-06-01,5082000000.00
2003-07-01,4927000000.00
2003-08-01,4728000000.00
2003-09-01,5030000000.00
2003-10-01,4955000000.00
2003-11-01,4979000000.00
2003-12-01,5166000000.00
2004-01-01,5119000000.00
2004-02-01,5198000000.00
2004-03-01,5249000000.00
2004-04-01,5361000000.00
2004-05-01,5430000000.00
2004-06-01,5618000000.00
2004-07-01,5625000000.00
2004-08-01,5446000000.00
2004-09-01,5885000000.00
2004-10-01,5888000000.00
2004-11-01,6091000000.00
2004-12-01,6313000000.00
2005-01-01,6976000000.00
2005-02-01,7471000000.00
2005-03-01,7612000000.00
2005-04-01,7678000000.00
2005-05-01,7703000000.00
2005-06-01,7768000000.00
2005-07-01,7206000000.00
2005-08-01,7028000000.00
2005-09-01,7358000000.00
2005-10-01,7403000000.00
2005-11-01,7847000000.00
2005-12-01,8193000000.00
2006-01-01,8258000000.00
2006-02-01,8781000000.00
2006-03-01,8936000000.00
2006-04-01,9210000000.00
2006-05-01,9219000000.00
2006-06-01,9231000000.00
2006-07-01,9158000000.00
2006-08-01,8771000000.00
2006-09-01,8748000000.00
2006-10-01,8816000000.00
2006-11-01,8899000000.00
2006-12-01,9537000000.00
2007-01-01,9920000000.00
2007-02-01,10041000000.00
2007-03-01,10186000000.00
2007-04-01,10023000000.00
2007-05-01,9835000000.00
2007-06-01,10394000000.00
2007-07-01,10272000000.00
2007-08-01,10146000000.00
2007-09-01,10413000000.00
2007-10-01,10506000000.00
2007-11-01,10679000000.00
2007-12-01,10896000000.00
2008-01-01,11300000000.00
2008-02-01,11650000000.00
2008-03-01,11592000000.00
2008-04-01,11495000000.00
2008-05-01,11079000000.00
2008-06-01,10941000000.00
2008-07-01,10751000000.00
2008-08-01,10798000000.00
2008-09-01,10996000000.00
2008-10-01,10545000000.00
2008-11-01,10284000000.00
2008-12-01,9815000000.00
2009-01-01,9343000000.00
2009-02-01,8939000000.00
2009-03-01,8613000000.00
2009-04-01,8320000000.00
2009-05-01,8259000000.00
2009-06-01,8151000000.00
2009-07-01,7864000000.00
2009-08-01,7612000000.00
2009-09-01,7681000000.00
2009-10-01,7428000000.00
2009-11-01,7226000000.00
2009-12-01,7035000000.00
2010-01-01,7093000000.00
2010-02-01,7429000000.00
2010-03-01,7691000000.00
2010-04-01,7903000000.00
2010-05-01,8032000000.00
2010-06-01,8144000000.00
2010-07-01,8558000000.00
2010-08-01,8463000000.00
2010-09-01,8899000000.00
2010-10-01,8847000000.00
2010-11-01,8966000000.00
2010-12-01,9435000000.00
2011-01-01,9763000000.00
2011-02-01,9764000000.00
2011-03-01,10023000000.00
2011-04-01,10552000000.00
2011-05-01,10525000000.00
2011-06-01,10184000000.00
2011-07-01,10086000000.00
2011-08-01,10189000000.00
2011-09-01,10522000000.00
2011-10-01,10200000000.00
2011-11-01,10019000000.00
2011-12-01,10286000000.00
2012-01-01,10402000000.00
2012-02-01,10635000000.00
2012-03-01,10766000000.00
2012-04-01,10939000000.00
2012-05-01,10890000000.00
2012-06-01,10630000000.00
2012-07-01,10321000000.00
2012-08-01,10364000000.00
2012-09-01,10180000000.00
2012-10-01,9766000000.00
2012-11-01,9670000000.00
2012-12-01,9525000000.00
2013-01-01,9789000000.00
2013-02-01,9795000000.00
2013-03-01,9924000000.00
2013-04-01,10038000000.00
2013-05-01,10219000000.00
2013-06-01,10136000000.00
2013-07-01,9867000000.00
2013-08-01,9497000000.00
2013-09-01,9136000000.00
2013-10-01,8863000000.00
2013-11-01,8703000000.00
2013-12-01,8958000000.00
2014-01-01,9101000000.00
2014-02-01,9203000000.00
2014-03-01,9587000000.00
2014-04-01,9578000000.00
2014-05-01,9423000000.00
2014-06-01,9729000000.00
2014-07-01,9710000000.00
2014-08-01,9832000000.00
2014-09-01,9852000000.00
2014-10-01,9747000000.00
2014-11-01,9801000000.00
2014-12-01,10179000000.00
2015-01-01,10223000000.00
2015-02-01,10385000000.00
2015-03-01,10295000000.00
2015-04-01,10161000000.00
2015-05-01,10157000000.00
2015-06-01,10246000000.00
2015-07-01,10101000000.00
2015-08-01,9704000000.00
2015-09-01,9732000000.00
2015-10-01,9449000000.00
2015-11-01,9428000000.00
2015-12-01,9445000000.00
2016-01-01,9624000000.00
2016-02-01,9828000000.00
2016-03-01,9761000000.00
2016-04-01,9713000000.00
2016-05-01,9904000000.00
2016-06-01,9874000000.00
2016-07-01,9739000000.00
2016-08-01,9672000000.00
2016-09-01,9804000000.00
2016-10-01,9641000000.00
2016-11-01,9685000000.00
2016-12-01,9979000000.00
2017-01-01,10175000000.00
2017-02-01,10456000000.00
2017-03-01,10656000000.00
2017-04-01,10665000000.00
2017-05-01,10810000000.00
2017-06-01,11145000000.00
2017-07-01,11294000000.00
2017-08-01,11284000000.00
2017-09-01,11290000000.00
2017-10-01,11240000000.00
2017-11-01,11240000000.00
2017-12-01,11425000000.00
2018-01-01,11540000000.00
2018-02-01,11735000000.00
2018-03-01,11855000000.00
2018-04-01,11920000000.00
