Date,CPIEHOUSE
1982-12-01,100.00
1983-01-01,100.50
1983-02-01,100.60
1983-03-01,100.60
1983-04-01,101.10
1983-05-01,101.60
1983-06-01,102.00
1983-07-01,102.40
1983-08-01,102.60
1983-09-01,103.10
1983-10-01,103.20
1983-11-01,103.30
1983-12-01,103.40
1984-01-01,104.00
1984-02-01,104.70
1984-03-01,104.80
1984-04-01,105.30
1984-05-01,105.70
1984-06-01,106.10
1984-07-01,106.80
1984-08-01,107.20
1984-09-01,107.70
1984-10-01,107.70
1984-11-01,107.60
1984-12-01,107.80
1985-01-01,108.00
1985-02-01,108.50
1985-03-01,108.90
1985-04-01,109.30
1985-05-01,110.10
1985-06-01,110.70
1985-07-01,111.00
1985-08-01,111.40
1985-09-01,111.70
1985-10-01,111.90
1985-11-01,112.20
1985-12-01,112.50
1986-01-01,112.80
1986-02-01,112.60
1986-03-01,112.60
1986-04-01,113.00
1986-05-01,113.10
1986-06-01,113.80
1986-07-01,113.90
1986-08-01,114.10
1986-09-01,114.50
1986-10-01,114.30
1986-11-01,114.00
1986-12-01,114.10
1987-01-01,114.70
1987-02-01,115.20
1987-03-01,115.70
1987-04-01,116.10
1987-05-01,116.60
1987-06-01,117.30
1987-07-01,117.70
1987-08-01,118.50
1987-09-01,118.60
1987-10-01,118.60
1987-11-01,118.60
1987-12-01,118.70
1988-01-01,119.50
1988-02-01,119.90
1988-03-01,120.50
1988-04-01,120.80
1988-05-01,121.20
1988-06-01,122.00
1988-07-01,122.50
1988-08-01,123.10
1988-09-01,123.30
1988-10-01,123.30
1988-11-01,123.40
1988-12-01,123.70
1989-01-01,124.30
1989-02-01,124.70
1989-03-01,125.40
1989-04-01,125.60
1989-05-01,126.10
1989-06-01,126.90
1989-07-01,128.00
1989-08-01,128.40
1989-09-01,128.50
1989-10-01,128.90
1989-11-01,129.20
1989-12-01,129.60
1990-01-01,130.90
1990-02-01,131.00
1990-03-01,131.80
1990-04-01,131.70
1990-05-01,132.00
1990-06-01,133.20
1990-07-01,134.30
1990-08-01,135.60
1990-09-01,135.80
1990-10-01,136.10
1990-11-01,136.00
1990-12-01,136.10
1991-01-01,137.60
1991-02-01,138.20
1991-03-01,138.50
1991-04-01,138.10
1991-05-01,138.30
1991-06-01,139.00
1991-07-01,139.90
1991-08-01,140.30
1991-09-01,140.30
1991-10-01,140.30
1991-11-01,140.40
1991-12-01,140.80
1992-01-01,141.70
1992-02-01,142.20
1992-03-01,142.70
1992-04-01,142.50
1992-05-01,142.60
1992-06-01,143.50
1992-07-01,144.30
1992-08-01,144.70
1992-09-01,144.30
1992-10-01,144.50
1992-11-01,144.40
1992-12-01,144.50
1993-01-01,145.40
1993-02-01,145.90
1993-03-01,146.50
1993-04-01,146.70
1993-05-01,146.80
1993-06-01,147.80
1993-07-01,148.20
1993-08-01,148.60
1993-09-01,148.50
1993-10-01,148.40
1993-11-01,148.20
1993-12-01,148.60
1994-01-01,149.40
1994-02-01,150.40
1994-03-01,150.80
1994-04-01,150.50
1994-05-01,150.70
