Date,RTWVDDE684NMFRBDAL
1988-01-01,100.00
1988-02-01,98.97
1988-03-01,97.39
1988-04-01,96.47
1988-05-01,96.48
1988-06-01,95.86
1988-07-01,95.82
1988-08-01,97.22
1988-09-01,97.87
1988-10-01,95.94
1988-11-01,95.99
1988-12-01,94.63
1989-01-01,94.71
1989-02-01,94.49
1989-03-01,95.47
1989-04-01,96.29
1989-05-01,96.82
1989-06-01,97.30
1989-07-01,95.82
1989-08-01,95.08
1989-09-01,95.75
1989-10-01,94.93
1989-11-01,94.61
1989-12-01,94.23
1990-01-01,94.55
1990-02-01,95.67
1990-03-01,95.21
1990-04-01,94.20
1990-05-01,94.18
1990-06-01,94.33
1990-07-01,92.93
1990-08-01,92.14
1990-09-01,93.26
1990-10-01,92.66
1990-11-01,92.22
1990-12-01,92.19
1991-01-01,90.71
1991-02-01,90.37
1991-03-01,91.03
1991-04-01,91.14
1991-05-01,90.95
1991-06-01,90.94
1991-07-01,91.20
1991-08-01,90.89
1991-09-01,90.50
1991-10-01,90.07
1991-11-01,89.64
1991-12-01,90.31
1992-01-01,90.43
1992-02-01,91.90
1992-03-01,92.84
1992-04-01,92.74
1992-05-01,93.19
1992-06-01,92.99
1992-07-01,92.32
1992-08-01,92.13
1992-09-01,93.63
1992-10-01,95.35
1992-11-01,96.94
1992-12-01,96.96
1993-01-01,97.54
1993-02-01,96.91
1993-03-01,96.49
1993-04-01,96.57
1993-05-01,96.91
1993-06-01,97.59
1993-07-01,97.95
1993-08-01,99.04
1993-09-01,99.31
1993-10-01,99.90
1993-11-01,99.69
1993-12-01,100.13
1994-01-01,99.88
1994-02-01,101.23
1994-03-01,102.48
1994-04-01,103.46
1994-05-01,102.98
1994-06-01,102.63
1994-07-01,102.17
1994-08-01,101.89
1994-09-01,100.60
1994-10-01,100.14
1994-11-01,100.54
1994-12-01,103.19
1995-01-01,106.59
1995-02-01,105.75
1995-03-01,106.20
1995-04-01,102.82
1995-05-01,101.50
1995-06-01,102.15
1995-07-01,101.07
1995-08-01,102.07
1995-09-01,102.35
1995-10-01,102.48
1995-11-01,103.73
1995-12-01,104.40
1996-01-01,104.33
1996-02-01,104.23
1996-03-01,103.99
1996-04-01,103.52
1996-05-01,103.74
1996-06-01,103.77
1996-07-01,103.82
1996-08-01,103.32
1996-09-01,103.51
1996-10-01,103.51
1996-11-01,103.12
1996-12-01,103.61
1997-01-01,103.80
1997-02-01,104.93
1997-03-01,106.00
1997-04-01,106.51
1997-05-01,105.35
1997-06-01,105.28
1997-07-01,105.60
1997-08-01,106.51
1997-09-01,106.33
1997-10-01,106.51
1997-11-01,108.42
1997-12-01,110.31
1998-01-01,111.22
1998-02-01,110.89
1998-03-01,110.55
1998-04-01,110.81
1998-05-01,111.28
1998-06-01,112.96
1998-07-01,113.69
1998-08-01,116.13
1998-09-01,115.57
1998-10-01,114.42
1998-11-01,114.20
1998-12-01,113.67
1999-01-01,113.17
1999-02-01,113.56
1999-03-01,114.79
1999-04-01,113.68
1999-05-01,112.55
1999-06-01,113.48
1999-07-01,114.36
1999-08-01,113.73
1999-09-01,113.07
1999-10-01,112.80
1999-11-01,113.01
1999-12-01,113.09
2000-01-01,112.50
2000-02-01,113.59
2000-03-01,114.43
2000-04-01,115.19
2000-05-01,117.67
2000-06-01,116.54
2000-07-01,116.52
2000-08-01,117.19
2000-09-01,118.57
2000-10-01,120.34
2000-11-01,121.31
2000-12-01,119.32
2001-01-01,119.66
2001-02-01,120.68
2001-03-01,122.34
2001-04-01,122.37
2001-05-01,121.90
2001-06-01,122.29
2001-07-01,122.54
2001-08-01,121.19
2001-09-01,122.44
2001-10-01,122.68
2001-11-01,123.37
2001-12-01,122.33
2002-01-01,123.55
2002-02-01,124.01
2002-03-01,123.71
2002-04-01,123.32
2002-05-01,122.15
2002-06-01,121.05
2002-07-01,119.76
2002-08-01,121.26
2002-09-01,122.12
2002-10-01,122.88
2002-11-01,121.59
2002-12-01,120.52
2003-01-01,119.09
2003-02-01,119.18
2003-03-01,118.77
2003-04-01,117.49
2003-05-01,112.85
2003-06-01,112.24
2003-07-01,113.75
2003-08-01,115.30
2003-09-01,114.20
2003-10-01,111.74
2003-11-01,110.90
2003-12-01,109.18
2004-01-01,107.47
2004-02-01,108.64
2004-03-01,110.02
2004-04-01,111.07
2004-05-01,113.29
2004-06-01,112.28
2004-07-01,110.74
2004-08-01,110.62
2004-09-01,109.93
2004-10-01,108.26
2004-11-01,105.05
2004-12-01,103.71
2005-01-01,104.85
2005-02-01,105.33
2005-03-01,104.89
2005-04-01,106.40
2005-05-01,107.03
2005-06-01,108.26
2005-07-01,108.94
2005-08-01,107.69
2005-09-01,108.47
2005-10-01,109.94
2005-11-01,110.19
2005-12-01,108.74
2006-01-01,108.03
2006-02-01,108.60
2006-03-01,109.10
2006-04-01,108.32
2006-05-01,104.91
2006-06-01,106.25
2006-07-01,106.41
2006-08-01,105.00
2006-09-01,104.93
2006-10-01,104.94
2006-11-01,103.46
2006-12-01,101.98
2007-01-01,103.41
2007-02-01,103.23
2007-03-01,103.48
2007-04-01,102.07
2007-05-01,101.65
2007-06-01,101.25
2007-07-01,99.44
2007-08-01,99.52
2007-09-01,98.34
2007-10-01,96.09
2007-11-01,94.83
2007-12-01,95.98
2008-01-01,96.54
2008-02-01,95.60
2008-03-01,94.28
2008-04-01,94.27
2008-05-01,94.84
2008-06-01,95.54
2008-07-01,94.89
2008-08-01,97.65
2008-09-01,100.08
2008-10-01,106.05
2008-11-01,108.47
2008-12-01,107.31
2009-01-01,108.65
2009-02-01,110.70
2009-03-01,111.97
2009-04-01,109.29
2009-05-01,105.03
2009-06-01,103.11
2009-07-01,102.51
2009-08-01,100.88
2009-09-01,100.52
2009-10-01,99.41
2009-11-01,98.57
2009-12-01,98.98
