Date,PCEC96
1999-01-01,7582000000000.00
1999-02-01,7620000000000.00
1999-03-01,7654100000000.00
1999-04-01,7697800000000.00
1999-05-01,7731600000000.00
1999-06-01,7765200000000.00
1999-07-01,7778800000000.00
1999-08-01,7820900000000.00
1999-09-01,7858200000000.00
1999-10-01,7874800000000.00
1999-11-01,7911900000000.00
1999-12-01,8015700000000.00
2000-01-01,7988500000000.00
2000-02-01,8065300000000.00
2000-03-01,8110800000000.00
2000-04-01,8101600000000.00
2000-05-01,8139000000000.00
2000-06-01,8156000000000.00
2000-07-01,8160600000000.00
2000-08-01,8203800000000.00
2000-09-01,8269400000000.00
2000-10-01,8265800000000.00
2000-11-01,8272500000000.00
2000-12-01,8314900000000.00
2001-01-01,8314400000000.00
2001-02-01,8326300000000.00
2001-03-01,8317400000000.00
2001-04-01,8318700000000.00
2001-05-01,8351400000000.00
2001-06-01,8352100000000.00
2001-07-01,8368800000000.00
2001-08-01,8412700000000.00
2001-09-01,8332200000000.00
2001-10-01,8531900000000.00
2001-11-01,8489900000000.00
2001-12-01,8475600000000.00
2002-01-01,8502400000000.00
2002-02-01,8537600000000.00
2002-03-01,8533800000000.00
2002-04-01,8577600000000.00
2002-05-01,8543000000000.00
2002-06-01,8583800000000.00
2002-07-01,8633600000000.00
2002-08-01,8645800000000.00
2002-09-01,8604700000000.00
2002-10-01,8638600000000.00
2002-11-01,8665300000000.00
2002-12-01,8719200000000.00
2003-01-01,8727300000000.00
2003-02-01,8684900000000.00
2003-03-01,8725500000000.00
2003-04-01,8779600000000.00
2003-05-01,8798500000000.00
2003-06-01,8850400000000.00
2003-07-01,8896100000000.00
2003-08-01,8976400000000.00
2003-09-01,8945700000000.00
2003-10-01,8967400000000.00
2003-11-01,9026000000000.00
2003-12-01,9033000000000.00
2004-01-01,9071500000000.00
2004-02-01,9089300000000.00
2004-03-01,9128500000000.00
2004-04-01,9135900000000.00
2004-05-01,9184600000000.00
2004-06-01,9145900000000.00
2004-07-01,9207300000000.00
2004-08-01,9226200000000.00
2004-09-01,9295600000000.00
2004-10-01,9309500000000.00
2004-11-01,9323000000000.00
2004-12-01,9381000000000.00
2005-01-01,9379800000000.00
2005-02-01,9412300000000.00
2005-03-01,9435500000000.00
2005-04-01,9510400000000.00
2005-05-01,9463200000000.00
2005-06-01,9560700000000.00
2005-07-01,9620800000000.00
2005-08-01,9586100000000.00
2005-09-01,9548800000000.00
2005-10-01,9573400000000.00
2005-11-01,9625400000000.00
2005-12-01,9665300000000.00
2006-01-01,9701100000000.00
2006-02-01,9733600000000.00
2006-03-01,9753000000000.00
2006-04-01,9771100000000.00
2006-05-01,9781900000000.00
2006-06-01,9790200000000.00
2006-07-01,9836000000000.00
2006-08-01,9813700000000.00
2006-09-01,9864500000000.00
2006-10-01,9911300000000.00
2006-11-01,9927500000000.00
2006-12-01,9976500000000.00
2007-01-01,9983800000000.00
2007-02-01,9990300000000.00
2007-03-01,9997900000000.00
2007-04-01,10018800000000.00
2007-05-01,10030300000000.00
2007-06-01,10024700000000.00
2007-07-01,10047100000000.00
2007-08-01,10080700000000.00
2007-09-01,10079700000000.00
2007-10-01,10067300000000.00
2007-11-01,10093000000000.00
2007-12-01,10085100000000.00
2008-01-01,10074700000000.00
2008-02-01,10045300000000.00
2008-03-01,10063000000000.00
2008-04-01,10079500000000.00
2008-05-01,10084100000000.00
2008-06-01,10070200000000.00
2008-07-01,10028800000000.00
2008-08-01,10026400000000.00
2008-09-01,9960000000000.00
2008-10-01,9915600000000.00
2008-11-01,9896500000000.00
2008-12-01,9842100000000.00
2009-01-01,9884200000000.00
2009-02-01,9846200000000.00
2009-03-01,9822100000000.00
