Date,PCEC96
2009-04-01,9806600000000.00
2009-05-01,9811400000000.00
2009-06-01,9801100000000.00
2009-07-01,9833300000000.00
2009-08-01,9933400000000.00
2009-09-01,9830900000000.00
2009-10-01,9849500000000.00
2009-11-01,9848100000000.00
2009-12-01,9896800000000.00
2010-01-01,9881700000000.00
2010-02-01,9911300000000.00
2010-03-01,9960100000000.00
2010-04-01,9972700000000.00
2010-05-01,10001300000000.00
2010-06-01,10021200000000.00
2010-07-01,10027400000000.00
2010-08-01,10074800000000.00
2010-09-01,10087100000000.00
2010-10-01,10136800000000.00
2010-11-01,10175200000000.00
2010-12-01,10186400000000.00
2011-01-01,10201200000000.00
2011-02-01,10210000000000.00
2011-03-01,10240200000000.00
2011-04-01,10235200000000.00
2011-05-01,10229500000000.00
2011-06-01,10248300000000.00
2011-07-01,10277200000000.00
2011-08-01,10271600000000.00
2011-09-01,10297900000000.00
2011-10-01,10326800000000.00
2011-11-01,10313300000000.00
2011-12-01,10310200000000.00
2012-01-01,10354400000000.00
2012-02-01,10398000000000.00
2012-03-01,10384700000000.00
2012-04-01,10399500000000.00
2012-05-01,10400200000000.00
2012-06-01,10390300000000.00
2012-07-01,10422200000000.00
2012-08-01,10405900000000.00
2012-09-01,10444300000000.00
2012-10-01,10426900000000.00
2012-11-01,10454300000000.00
2012-12-01,10478500000000.00
2013-01-01,10495500000000.00
2013-02-01,10509100000000.00
2013-03-01,10502300000000.00
2013-04-01,10504400000000.00
2013-05-01,10523600000000.00
2013-06-01,10543800000000.00
2013-07-01,10554000000000.00
2013-08-01,10564100000000.00
2013-09-01,10601300000000.00
2013-10-01,10624700000000.00
2013-11-01,10679600000000.00
2013-12-01,10682300000000.00
2014-01-01,10666100000000.00
2014-02-01,10706400000000.00
2014-03-01,10767600000000.00
2014-04-01,10778600000000.00
2014-05-01,10799300000000.00
2014-06-01,10837400000000.00
2014-07-01,10856500000000.00
2014-08-01,10937600000000.00
2014-09-01,10935500000000.00
2014-10-01,11004400000000.00
2014-11-01,11055400000000.00
2014-12-01,11075800000000.00
2015-01-01,11114700000000.00
2015-02-01,11133200000000.00
2015-03-01,11188000000000.00
2015-04-01,11200700000000.00
2015-05-01,11243000000000.00
2015-06-01,11240200000000.00
2015-07-01,11272900000000.00
2015-08-01,11303200000000.00
2015-09-01,11337600000000.00
2015-10-01,11347300000000.00
2015-11-01,11376600000000.00
2015-12-01,11413900000000.00
2016-01-01,11399800000000.00
2016-02-01,11447500000000.00
2016-03-01,11444300000000.00
2016-04-01,11505100000000.00
2016-05-01,11532900000000.00
2016-06-01,11575300000000.00
2016-07-01,11594100000000.00
2016-08-01,11604000000000.00
2016-09-01,11656300000000.00
2016-10-01,11668300000000.00
2016-11-01,11698000000000.00
2016-12-01,11740100000000.00
2017-01-01,11728400000000.00
2017-02-01,11729600000000.00
2017-03-01,11816100000000.00
2017-04-01,11827400000000.00
2017-05-01,11859800000000.00
2017-06-01,11871600000000.00
2017-07-01,11895800000000.00
2017-08-01,11891800000000.00
2017-09-01,11962100000000.00
2017-10-01,11982700000000.00
2017-11-01,12042400000000.00
2017-12-01,12080500000000.00
2018-01-01,12053300000000.00
2018-02-01,12028900000000.00
2018-03-01,12100900000000.00
2018-04-01,12131900000000.00
2018-05-01,12130500000000.00
