Date,U34KUO
1992-01-01,10310000000.00
1992-02-01,10259000000.00
1992-03-01,10180000000.00
1992-04-01,10300000000.00
1992-05-01,10332000000.00
1992-06-01,10208000000.00
1992-07-01,10279000000.00
1992-08-01,10167000000.00
1992-09-01,10024000000.00
1992-10-01,10212000000.00
1992-11-01,10201000000.00
1992-12-01,10267000000.00
1993-01-01,10471000000.00
1993-02-01,10504000000.00
1993-03-01,10313000000.00
1993-04-01,10461000000.00
1993-05-01,10386000000.00
1993-06-01,10292000000.00
1993-07-01,10331000000.00
1993-08-01,10154000000.00
1993-09-01,9750000000.00
1993-10-01,9814000000.00
1993-11-01,9861000000.00
1993-12-01,9698000000.00
1994-01-01,9762000000.00
1994-02-01,9713000000.00
1994-03-01,9621000000.00
1994-04-01,9503000000.00
1994-05-01,9373000000.00
1994-06-01,9253000000.00
1994-07-01,9306000000.00
1994-08-01,9174000000.00
1994-09-01,8861000000.00
1994-10-01,9040000000.00
1994-11-01,8984000000.00
1994-12-01,9000000000.00
1995-01-01,9189000000.00
1995-02-01,9420000000.00
1995-03-01,9073000000.00
1995-04-01,9028000000.00
1995-05-01,8922000000.00
1995-06-01,8908000000.00
1995-07-01,9103000000.00
1995-08-01,9133000000.00
1995-09-01,8999000000.00
1995-10-01,9186000000.00
1995-11-01,9218000000.00
1995-12-01,9282000000.00
1996-01-01,9475000000.00
1996-02-01,9566000000.00
1996-03-01,9218000000.00
1996-04-01,9275000000.00
1996-05-01,9282000000.00
1996-06-01,9129000000.00
1996-07-01,9366000000.00
1996-08-01,9207000000.00
1996-09-01,9029000000.00
1996-10-01,9095000000.00
1996-11-01,9112000000.00
1996-12-01,9241000000.00
1997-01-01,9602000000.00
1997-02-01,9621000000.00
1997-03-01,9414000000.00
1997-04-01,9517000000.00
1997-05-01,9596000000.00
1997-06-01,9356000000.00
1997-07-01,9410000000.00
1997-08-01,9529000000.00
1997-09-01,9216000000.00
1997-10-01,9560000000.00
1997-11-01,9599000000.00
1997-12-01,9693000000.00
1998-01-01,9948000000.00
1998-02-01,10008000000.00
1998-03-01,9834000000.00
1998-04-01,9976000000.00
1998-05-01,9912000000.00
1998-06-01,9625000000.00
1998-07-01,10010000000.00
1998-08-01,10027000000.00
1998-09-01,9899000000.00
1998-10-01,10057000000.00
1998-11-01,9947000000.00
1998-12-01,9878000000.00
1999-01-01,10247000000.00
1999-02-01,10297000000.00
1999-03-01,10008000000.00
1999-04-01,10215000000.00
1999-05-01,10409000000.00
1999-06-01,9490000000.00
1999-07-01,9701000000.00
1999-08-01,9562000000.00
1999-09-01,9704000000.00
1999-10-01,9628000000.00
1999-11-01,9556000000.00
1999-12-01,9821000000.00
2000-01-01,10295000000.00
2000-02-01,10267000000.00
2000-03-01,10509000000.00
2000-04-01,10559000000.00
2000-05-01,10632000000.00
2000-06-01,10600000000.00
2000-07-01,11009000000.00
2000-08-01,11025000000.00
2000-09-01,10983000000.00
2000-10-01,11983000000.00
2000-11-01,12004000000.00
2000-12-01,12131000000.00
2001-01-01,12467000000.00
2001-02-01,12333000000.00
2001-03-01,12163000000.00
2001-04-01,12250000000.00
2001-05-01,12317000000.00
2001-06-01,12064000000.00
2001-07-01,12043000000.00
2001-08-01,12164000000.00
2001-09-01,11668000000.00
2001-10-01,11775000000.00
2001-11-01,11998000000.00
2001-12-01,12238000000.00
2002-01-01,12413000000.00
2002-02-01,12443000000.00
2002-03-01,12225000000.00
2002-04-01,12543000000.00
2002-05-01,12587000000.00
2002-06-01,12467000000.00
2002-07-01,12657000000.00
2002-08-01,12703000000.00
2002-09-01,12451000000.00
2002-10-01,12824000000.00
2002-11-01,12648000000.00
2002-12-01,12747000000.00
2003-01-01,13012000000.00
2003-02-01,13285000000.00
2003-03-01,13411000000.00
2003-04-01,13399000000.00
2003-05-01,13340000000.00
2003-06-01,13872000000.00
2003-07-01,14290000000.00
2003-08-01,14167000000.00
2003-09-01,14606000000.00
2003-10-01,15052000000.00
2003-11-01,15422000000.00
2003-12-01,16489000000.00
2004-01-01,16513000000.00
2004-02-01,16548000000.00
2004-03-01,18050000000.00
2004-04-01,18055000000.00
2004-05-01,18632000000.00
2004-06-01,18955000000.00
2004-07-01,19137000000.00
2004-08-01,18882000000.00
2004-09-01,19375000000.00
2004-10-01,19484000000.00
2004-11-01,19725000000.00
2004-12-01,19823000000.00
2005-01-01,20108000000.00
2005-02-01,20292000000.00
2005-03-01,21047000000.00
2005-04-01,21268000000.00
2005-05-01,21462000000.00
2005-06-01,21798000000.00
2005-07-01,22288000000.00
2005-08-01,22583000000.00
2005-09-01,22884000000.00
2005-10-01,23175000000.00
2005-11-01,23369000000.00
2005-12-01,23644000000.00
2006-01-01,24173000000.00
2006-02-01,24207000000.00
2006-03-01,24168000000.00
2006-04-01,24792000000.00
2006-05-01,24676000000.00
2006-06-01,24981000000.00
2006-07-01,25045000000.00
2006-08-01,25102000000.00
2006-09-01,25687000000.00
2006-10-01,26013000000.00
2006-11-01,26608000000.00
2006-12-01,27412000000.00
2007-01-01,27719000000.00
2007-02-01,27955000000.00
2007-03-01,28181000000.00
2007-04-01,28192000000.00
2007-05-01,28447000000.00
2007-06-01,28550000000.00
2007-07-01,28923000000.00
2007-08-01,28914000000.00
2007-09-01,29036000000.00
2007-10-01,29195000000.00
2007-11-01,29418000000.00
2007-12-01,29899000000.00
2008-01-01,29902000000.00
2008-02-01,29987000000.00
2008-03-01,30214000000.00
2008-04-01,29937000000.00
2008-05-01,29675000000.00
2008-06-01,29973000000.00
2008-07-01,30066000000.00
2008-08-01,29504000000.00
2008-09-01,29535000000.00
2008-10-01,29525000000.00
2008-11-01,29054000000.00
2008-12-01,29329000000.00
2009-01-01,28735000000.00
2009-02-01,28396000000.00
2009-03-01,28328000000.00
2009-04-01,27826000000.00
2009-05-01,27220000000.00
2009-06-01,27086000000.00
2009-07-01,26732000000.00
2009-08-01,26190000000.00
2009-09-01,26391000000.00
2009-10-01,25910000000.00
2009-11-01,25767000000.00
2009-12-01,26306000000.00
2010-01-01,26357000000.00
2010-02-01,26120000000.00
2010-03-01,26691000000.00
2010-04-01,26400000000.00
2010-05-01,26392000000.00
2010-06-01,26672000000.00
2010-07-01,26458000000.00
2010-08-01,26101000000.00
2010-09-01,27170000000.00
2010-10-01,27038000000.00
2010-11-01,27155000000.00
2010-12-01,27609000000.00
2011-01-01,27769000000.00
2011-02-01,27821000000.00
2011-03-01,28607000000.00
2011-04-01,28098000000.00
2011-05-01,27694000000.00
2011-06-01,27011000000.00
2011-07-01,26825000000.00
2011-08-01,26101000000.00
2011-09-01,26392000000.00
2011-10-01,26138000000.00
2011-11-01,25559000000.00
2011-12-01,25525000000.00
2012-01-01,26028000000.00
2012-02-01,26421000000.00
2012-03-01,26661000000.00
2012-04-01,26675000000.00
2012-05-01,26656000000.00
2012-06-01,26437000000.00
2012-07-01,26633000000.00
2012-08-01,26156000000.00
2012-09-01,26734000000.00
2012-10-01,26431000000.00
2012-11-01,25929000000.00
2012-12-01,26561000000.00
2013-01-01,26751000000.00
2013-02-01,26900000000.00
2013-03-01,26668000000.00
2013-04-01,27418000000.00
2013-05-01,27955000000.00
2013-06-01,28026000000.00
2013-07-01,28116000000.00
2013-08-01,27733000000.00
2013-09-01,28041000000.00
2013-10-01,28197000000.00
2013-11-01,28396000000.00
2013-12-01,28688000000.00
2014-01-01,29196000000.00
2014-02-01,29420000000.00
2014-03-01,29731000000.00
2014-04-01,29671000000.00
2014-05-01,29268000000.00
2014-06-01,29203000000.00
2014-07-01,29179000000.00
2014-08-01,29051000000.00
2014-09-01,29716000000.00
2014-10-01,29879000000.00
2014-11-01,29887000000.00
2014-12-01,30115000000.00
2015-01-01,29908000000.00
2015-02-01,29677000000.00
2015-03-01,30329000000.00
2015-04-01,29983000000.00
2015-05-01,30065000000.00
2015-06-01,29727000000.00
2015-07-01,29276000000.00
2015-08-01,28763000000.00
2015-09-01,28589000000.00
2015-10-01,28075000000.00
2015-11-01,27717000000.00
2015-12-01,27835000000.00
2016-01-01,27774000000.00
2016-02-01,27550000000.00
2016-03-01,28045000000.00
2016-04-01,27774000000.00
2016-05-01,27809000000.00
2016-06-01,27749000000.00
2016-07-01,27572000000.00
2016-08-01,27011000000.00
2016-09-01,27210000000.00
2016-10-01,27113000000.00
2016-11-01,26950000000.00
2016-12-01,27192000000.00
2017-01-01,27317000000.00
2017-02-01,27366000000.00
2017-03-01,27746000000.00
2017-04-01,27548000000.00
2017-05-01,27603000000.00
2017-06-01,27502000000.00
2017-07-01,27342000000.00
2017-08-01,26666000000.00
2017-09-01,27112000000.00
2017-10-01,27043000000.00
2017-11-01,27203000000.00
2017-12-01,27433000000.00
2018-01-01,27664000000.00
2018-02-01,27576000000.00
2018-03-01,27888000000.00
2018-04-01,27854000000.00
