Date,RTWVDMD684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.21
1988-03-01,98.84
1988-04-01,97.87
1988-05-01,98.22
1988-06-01,99.06
1988-07-01,100.53
1988-08-01,101.55
1988-09-01,101.74
1988-10-01,99.72
1988-11-01,98.17
1988-12-01,97.30
1989-01-01,98.90
1989-02-01,98.83
1989-03-01,100.12
1989-04-01,100.60
1989-05-01,103.11
1989-06-01,104.21
1989-07-01,101.77
1989-08-01,104.80
1989-09-01,105.30
1989-10-01,103.21
1989-11-01,102.45
1989-12-01,101.34
1990-01-01,100.17
1990-02-01,100.67
1990-03-01,101.08
1990-04-01,99.98
1990-05-01,98.88
1990-06-01,99.34
1990-07-01,98.24
1990-08-01,96.54
1990-09-01,96.37
1990-10-01,94.44
1990-11-01,93.55
1990-12-01,94.10
1991-01-01,93.73
1991-02-01,96.53
1991-03-01,100.41
1991-04-01,101.94
1991-05-01,102.39
1991-06-01,103.70
1991-07-01,103.22
1991-08-01,102.14
1991-09-01,100.42
1991-10-01,99.55
1991-11-01,97.97
1991-12-01,96.91
1992-01-01,96.70
1992-02-01,98.10
1992-03-01,99.65
1992-04-01,99.07
1992-05-01,98.26
1992-06-01,97.32
1992-07-01,95.04
1992-08-01,94.25
1992-09-01,94.61
1992-10-01,96.46
1992-11-01,99.81
1992-12-01,99.82
1993-01-01,100.31
1993-02-01,100.43
1993-03-01,100.00
1993-04-01,98.56
1993-05-01,98.68
1993-06-01,99.66
1993-07-01,100.78
1993-08-01,100.90
1993-09-01,99.92
1993-10-01,100.65
1993-11-01,101.17
1993-12-01,101.40
1994-01-01,102.06
1994-02-01,101.91
1994-03-01,101.75
1994-04-01,101.78
1994-05-01,101.09
1994-06-01,100.44
1994-07-01,99.19
1994-08-01,98.80
1994-09-01,97.61
1994-10-01,96.76
1994-11-01,96.97
1994-12-01,98.27
1995-01-01,97.91
1995-02-01,97.37
1995-03-01,95.92
1995-04-01,93.72
1995-05-01,93.79
1995-06-01,93.84
1995-07-01,93.61
