Date,RETAILSMNSA
2008-08-01,342443000000.00
2008-09-01,313308000000.00
2008-10-01,311422000000.00
2008-11-01,299238000000.00
2008-12-01,346513000000.00
2009-01-01,273998000000.00
2009-02-01,264465000000.00
2009-03-01,290068000000.00
2009-04-01,292041000000.00
2009-05-01,307481000000.00
2009-06-01,306050000000.00
2009-07-01,308847000000.00
2009-08-01,314505000000.00
2009-09-01,288071000000.00
2009-10-01,300360000000.00
2009-11-01,303850000000.00
2009-12-01,362735000000.00
2010-01-01,279044000000.00
2010-02-01,275566000000.00
2010-03-01,321305000000.00
2010-04-01,316940000000.00
2010-05-01,324820000000.00
2010-06-01,319183000000.00
2010-07-01,320915000000.00
2010-08-01,322319000000.00
2010-09-01,307638000000.00
2010-10-01,315059000000.00
2010-11-01,328381000000.00
2010-12-01,386878000000.00
2011-01-01,298626000000.00
2011-02-01,299920000000.00
2011-03-01,345052000000.00
2011-04-01,339014000000.00
2011-05-01,348979000000.00
2011-06-01,346620000000.00
2011-07-01,341381000000.00
2011-08-01,352224000000.00
2011-09-01,333642000000.00
2011-10-01,337067000000.00
2011-11-01,351517000000.00
2011-12-01,408910000000.00
2012-01-01,315540000000.00
2012-02-01,331470000000.00
2012-03-01,368502000000.00
2012-04-01,349194000000.00
2012-05-01,373129000000.00
2012-06-01,356083000000.00
2012-07-01,351520000000.00
2012-08-01,372986000000.00
2012-09-01,342582000000.00
2012-10-01,355823000000.00
2012-11-01,368593000000.00
2012-12-01,416807000000.00
2013-01-01,333792000000.00
2013-02-01,332491000000.00
2013-03-01,374153000000.00
2013-04-01,362978000000.00
2013-05-01,389694000000.00
2013-06-01,369264000000.00
2013-07-01,376921000000.00
2013-08-01,388107000000.00
2013-09-01,352558000000.00
2013-10-01,369657000000.00
2013-11-01,378499000000.00
2013-12-01,430336000000.00
2014-01-01,340412000000.00
2014-02-01,337329000000.00
2014-03-01,383421000000.00
2014-04-01,383809000000.00
2014-05-01,408222000000.00
2014-06-01,385429000000.00
2014-07-01,394582000000.00
2014-08-01,401234000000.00
2014-09-01,374272000000.00
2014-10-01,388210000000.00
2014-11-01,391317000000.00
2014-12-01,451203000000.00
2015-01-01,350026000000.00
2015-02-01,341415000000.00
2015-03-01,392786000000.00
2015-04-01,387261000000.00
2015-05-01,409288000000.00
2015-06-01,397687000000.00
2015-07-01,406368000000.00
2015-08-01,404720000000.00
2015-09-01,382001000000.00
2015-10-01,392585000000.00
2015-11-01,396462000000.00
2015-12-01,465394000000.00
2016-01-01,352051000000.00
2016-02-01,363761000000.00
2016-03-01,405542000000.00
2016-04-01,395307000000.00
2016-05-01,413617000000.00
2016-06-01,410538000000.00
2016-07-01,406480000000.00
2016-08-01,417129000000.00
2016-09-01,394843000000.00
2016-10-01,397923000000.00
2016-11-01,415102000000.00
2016-12-01,484041000000.00
2017-01-01,369883000000.00
2017-02-01,366697000000.00
2017-03-01,424836000000.00
2017-04-01,409718000000.00
2017-05-01,437604000000.00
2017-06-01,426090000000.00
2017-07-01,419913000000.00
2017-08-01,434961000000.00
2017-09-01,415471000000.00
2017-10-01,421000000000.00
2017-11-01,445632000000.00
2017-12-01,501921000000.00
2018-01-01,391584000000.00
2018-02-01,384117000000.00
2018-03-01,449698000000.00
2018-04-01,425364000000.00
