Date,LNU05000000
1975-01-01,59555000.00
1975-02-01,60018000.00
1975-03-01,59753000.00
1975-04-01,59984000.00
1975-05-01,59816000.00
1975-06-01,57801000.00
1975-07-01,57256000.00
1975-08-01,58055000.00
1975-09-01,59825000.00
1975-10-01,59573000.00
1975-11-01,60298000.00
1975-12-01,60594000.00
1976-01-01,60916000.00
1976-02-01,60991000.00
1976-03-01,60906000.00
1976-04-01,60746000.00
1976-05-01,60840000.00
1976-06-01,58528000.00
1976-07-01,57672000.00
1976-08-01,58392000.00
1976-09-01,60349000.00
1976-10-01,59997000.00
1976-11-01,60120000.00
1976-12-01,60434000.00
1977-01-01,61491000.00
1977-02-01,61074000.00
1977-03-01,60855000.00
1977-04-01,61019000.00
1977-05-01,60900000.00
1977-06-01,58185000.00
1977-07-01,58226000.00
1977-08-01,58687000.00
1977-09-01,60308000.00
1977-10-01,59771000.00
1977-11-01,59607000.00
1977-12-01,60163000.00
1978-01-01,60953000.00
1978-02-01,61190000.00
1978-03-01,60872000.00
1978-04-01,60653000.00
1978-05-01,60426000.00
1978-06-01,57783000.00
1978-07-01,57521000.00
1978-08-01,58313000.00
1978-09-01,59754000.00
1978-10-01,59309000.00
1978-11-01,59432000.00
1978-12-01,59706000.00
1979-01-01,60714000.00
1979-02-01,60542000.00
1979-03-01,60420000.00
1979-04-01,60964000.00
1979-05-01,60982000.00
1979-06-01,58510000.00
1979-07-01,57874000.00
1979-08-01,58708000.00
1979-09-01,59921000.00
1979-10-01,59729000.00
1979-11-01,60181000.00
1979-12-01,60259000.00
1980-01-01,61199000.00
1980-02-01,61347000.00
1980-03-01,61474000.00
1980-04-01,61604000.00
1980-05-01,61173000.00
1980-06-01,59332000.00
1980-07-01,58664000.00
1980-08-01,59699000.00
1980-09-01,61309000.00
1980-10-01,60830000.00
1980-11-01,61163000.00
1980-12-01,61874000.00
1981-01-01,62218000.00
1981-02-01,62264000.00
1981-03-01,61819000.00
1981-04-01,61735000.00
1981-05-01,61243000.00
1981-06-01,60137000.00
1981-07-01,59504000.00
1981-08-01,60300000.00
1981-09-01,62320000.00
1981-10-01,61565000.00
1981-11-01,61818000.00
1981-12-01,62592000.00
1982-01-01,63321000.00
1982-02-01,63165000.00
1982-03-01,62906000.00
1982-04-01,63030000.00
1982-05-01,62113000.00
1982-06-01,60621000.00
1982-07-01,59838000.00
1982-08-01,60624000.00
1982-09-01,62144000.00
1982-10-01,62114000.00
1982-11-01,62203000.00
1982-12-01,62722000.00
1983-01-01,63575000.00
1983-02-01,63858000.00
1983-03-01,63784000.00
1983-04-01,63919000.00
1983-05-01,63644000.00
1983-06-01,60742000.00
1983-07-01,60326000.00
1983-08-01,60862000.00
1983-09-01,62405000.00
1983-10-01,62737000.00
1983-11-01,62804000.00
1983-12-01,63326000.00
1984-01-01,64508000.00
1984-02-01,64311000.00
1984-03-01,63996000.00
1984-04-01,63817000.00
1984-05-01,62873000.00
1984-06-01,60891000.00
1984-07-01,60242000.00
1984-08-01,61507000.00
1984-09-01,62920000.00
1984-10-01,62706000.00
