Date,U32SNO
2008-09-01,30163000000.00
2008-10-01,29480000000.00
2008-11-01,23832000000.00
2008-12-01,23678000000.00
2009-01-01,20693000000.00
2009-02-01,20761000000.00
2009-03-01,23679000000.00
2009-04-01,22144000000.00
2009-05-01,22263000000.00
2009-06-01,21093000000.00
2009-07-01,21593000000.00
2009-08-01,22757000000.00
2009-09-01,24268000000.00
2009-10-01,24372000000.00
2009-11-01,21456000000.00
2009-12-01,21475000000.00
2010-01-01,22052000000.00
2010-02-01,23572000000.00
2010-03-01,27529000000.00
2010-04-01,25935000000.00
2010-05-01,25651000000.00
2010-06-01,26019000000.00
2010-07-01,24712000000.00
2010-08-01,27175000000.00
2010-09-01,26803000000.00
2010-10-01,25172000000.00
2010-11-01,24867000000.00
2010-12-01,24730000000.00
2011-01-01,23574000000.00
2011-02-01,26269000000.00
2011-03-01,30036000000.00
2011-04-01,27008000000.00
2011-05-01,27970000000.00
2011-06-01,28529000000.00
2011-07-01,26679000000.00
2011-08-01,28958000000.00
2011-09-01,29462000000.00
2011-10-01,28338000000.00
2011-11-01,27042000000.00
2011-12-01,26039000000.00
2012-01-01,27349000000.00
2012-02-01,29521000000.00
2012-03-01,32220000000.00
2012-04-01,29597000000.00
2012-05-01,30004000000.00
2012-06-01,28882000000.00
2012-07-01,27726000000.00
2012-08-01,29942000000.00
2012-09-01,28417000000.00
2012-10-01,29213000000.00
2012-11-01,26426000000.00
2012-12-01,24223000000.00
2013-01-01,29070000000.00
2013-02-01,28609000000.00
2013-03-01,31359000000.00
2013-04-01,30036000000.00
2013-05-01,30305000000.00
2013-06-01,28640000000.00
2013-07-01,28323000000.00
2013-08-01,29997000000.00
2013-09-01,29037000000.00
2013-10-01,29288000000.00
2013-11-01,26193000000.00
2013-12-01,24373000000.00
2014-01-01,28212000000.00
2014-02-01,28648000000.00
2014-03-01,31077000000.00
2014-04-01,30052000000.00
2014-05-01,31393000000.00
2014-06-01,30800000000.00
2014-07-01,29915000000.00
2014-08-01,30873000000.00
2014-09-01,31228000000.00
