Date,U34XNO
1992-02-01,3004000000.00
1992-03-01,3717000000.00
1992-04-01,2707000000.00
1992-05-01,3045000000.00
1992-06-01,4105000000.00
1992-07-01,2938000000.00
1992-08-01,3145000000.00
1992-09-01,4161000000.00
1992-10-01,2904000000.00
1992-11-01,4006000000.00
1992-12-01,5171000000.00
1993-01-01,2842000000.00
1993-02-01,2688000000.00
1993-03-01,3325000000.00
1993-04-01,3157000000.00
1993-05-01,3148000000.00
1993-06-01,4329000000.00
1993-07-01,2998000000.00
1993-08-01,3614000000.00
1993-09-01,4761000000.00
1993-10-01,3840000000.00
1993-11-01,4340000000.00
1993-12-01,5476000000.00
1994-01-01,3078000000.00
1994-02-01,4086000000.00
1994-03-01,4250000000.00
1994-04-01,3937000000.00
1994-05-01,3413000000.00
1994-06-01,4916000000.00
1994-07-01,3374000000.00
1994-08-01,3571000000.00
1994-09-01,5501000000.00
1994-10-01,3916000000.00
1994-11-01,4597000000.00
1994-12-01,6992000000.00
1995-01-01,4029000000.00
1995-02-01,3649000000.00
1995-03-01,5479000000.00
1995-04-01,4461000000.00
1995-05-01,4713000000.00
1995-06-01,5222000000.00
1995-07-01,4568000000.00
1995-08-01,3872000000.00
1995-09-01,6507000000.00
1995-10-01,6321000000.00
1995-11-01,4575000000.00
1995-12-01,8021000000.00
1996-01-01,4568000000.00
1996-02-01,4972000000.00
1996-03-01,6035000000.00
1996-04-01,4487000000.00
1996-05-01,4045000000.00
1996-06-01,5597000000.00
1996-07-01,4935000000.00
1996-08-01,4729000000.00
1996-09-01,5450000000.00
1996-10-01,6897000000.00
1996-11-01,5915000000.00
1996-12-01,5882000000.00
1997-01-01,4585000000.00
1997-02-01,6724000000.00
1997-03-01,7329000000.00
1997-04-01,5625000000.00
1997-05-01,6293000000.00
1997-06-01,8993000000.00
1997-07-01,6121000000.00
1997-08-01,6544000000.00
1997-09-01,9957000000.00
1997-10-01,6747000000.00
1997-11-01,6503000000.00
1997-12-01,9870000000.00
1998-01-01,6603000000.00
1998-02-01,7616000000.00
1998-03-01,9002000000.00
1998-04-01,5749000000.00
1998-05-01,8036000000.00
1998-06-01,8648000000.00
1998-07-01,5134000000.00
1998-08-01,6114000000.00
1998-09-01,9015000000.00
1998-10-01,7893000000.00
1998-11-01,7218000000.00
1998-12-01,10285000000.00
1999-01-01,6464000000.00
1999-02-01,7664000000.00
1999-03-01,9498000000.00
1999-04-01,6823000000.00
1999-05-01,7647000000.00
1999-06-01,9712000000.00
1999-07-01,7539000000.00
1999-08-01,7121000000.00
1999-09-01,11976000000.00
1999-10-01,10358000000.00
1999-11-01,10300000000.00
1999-12-01,14778000000.00
2000-01-01,9010000000.00
2000-02-01,8490000000.00
2000-03-01,11512000000.00
2000-04-01,9722000000.00
2000-05-01,8654000000.00
2000-06-01,15588000000.00
2000-07-01,8756000000.00
2000-08-01,7641000000.00
2000-09-01,13820000000.00
2000-10-01,10123000000.00
2000-11-01,10011000000.00
2000-12-01,13612000000.00
2001-01-01,7995000000.00
2001-02-01,8810000000.00
2001-03-01,10316000000.00
2001-04-01,6615000000.00
2001-05-01,7511000000.00
2001-06-01,8463000000.00
2001-07-01,5716000000.00
2001-08-01,5297000000.00
2001-09-01,7594000000.00
2001-10-01,5975000000.00
2001-11-01,6077000000.00
2001-12-01,9392000000.00
2002-01-01,3741000000.00
2002-02-01,5321000000.00
2002-03-01,5322000000.00
2002-04-01,4754000000.00
2002-05-01,4878000000.00
2002-06-01,5323000000.00
2002-07-01,3756000000.00
2002-08-01,3504000000.00
2002-09-01,3930000000.00
2002-10-01,3814000000.00
2002-11-01,4599000000.00
2002-12-01,5396000000.00
2003-01-01,4581000000.00
2003-02-01,5015000000.00
2003-03-01,6511000000.00
2003-04-01,4733000000.00
2003-05-01,4504000000.00
2003-06-01,5229000000.00
2003-07-01,4300000000.00
2003-08-01,3988000000.00
2003-09-01,6552000000.00
2003-10-01,6026000000.00
2003-11-01,4672000000.00
2003-12-01,5705000000.00
2004-01-01,4187000000.00
2004-02-01,5050000000.00
2004-03-01,6015000000.00
2004-04-01,5086000000.00
2004-05-01,4582000000.00
2004-06-01,4722000000.00
2004-07-01,3618000000.00
2004-08-01,3879000000.00
2004-09-01,6867000000.00
2004-10-01,6211000000.00
2004-11-01,4477000000.00
2004-12-01,6213000000.00
2005-01-01,4595000000.00
2005-02-01,4691000000.00
2005-03-01,6431000000.00
2005-04-01,3788000000.00
2005-05-01,4173000000.00
2005-06-01,5719000000.00
2005-07-01,3986000000.00
2005-08-01,4038000000.00
2005-09-01,5449000000.00
2005-10-01,4872000000.00
2005-11-01,4329000000.00
2005-12-01,5680000000.00
2006-01-01,4661000000.00
2006-02-01,5555000000.00
2006-03-01,8068000000.00
2006-04-01,4556000000.00
2006-05-01,5049000000.00
2006-06-01,7037000000.00
2006-07-01,4737000000.00
2006-08-01,5152000000.00
2006-09-01,7900000000.00
2006-10-01,5328000000.00
2006-11-01,5485000000.00
2006-12-01,6895000000.00
2007-01-01,4319000000.00
2007-02-01,5212000000.00
2007-03-01,6248000000.00
2007-04-01,4743000000.00
2007-05-01,5500000000.00
2007-06-01,5933000000.00
2007-07-01,4753000000.00
2007-08-01,4598000000.00
2007-09-01,7196000000.00
2007-10-01,4399000000.00
2007-11-01,4414000000.00
2007-12-01,6661000000.00
2008-01-01,3529000000.00
2008-02-01,4518000000.00
2008-03-01,5605000000.00
2008-04-01,3758000000.00
2008-05-01,4051000000.00
2008-06-01,5020000000.00
2008-07-01,3170000000.00
2008-08-01,3774000000.00
2008-09-01,5176000000.00
2008-10-01,3658000000.00
2008-11-01,3868000000.00
2008-12-01,4936000000.00
2009-01-01,3148000000.00
2009-02-01,3709000000.00
2009-03-01,4681000000.00
2009-04-01,3467000000.00
2009-05-01,3525000000.00
2009-06-01,4735000000.00
2009-07-01,3728000000.00
2009-08-01,3782000000.00
2009-09-01,5210000000.00
2009-10-01,3701000000.00
2009-11-01,3550000000.00
2009-12-01,4872000000.00
2010-01-01,3013000000.00
2010-02-01,3239000000.00
2010-03-01,4067000000.00
2010-04-01,3231000000.00
2010-05-01,2731000000.00
2010-06-01,3712000000.00
2010-07-01,2967000000.00
2010-08-01,4053000000.00
2010-09-01,4794000000.00
2010-10-01,3034000000.00
2010-11-01,3241000000.00
2010-12-01,5375000000.00
2011-01-01,3492000000.00
2011-02-01,3883000000.00
2011-03-01,4367000000.00
2011-04-01,3505000000.00
2011-05-01,3557000000.00
2011-06-01,5057000000.00
2011-07-01,3365000000.00
2011-08-01,4179000000.00
2011-09-01,5549000000.00
2011-10-01,4442000000.00
2011-11-01,3705000000.00
2011-12-01,5732000000.00
2012-01-01,2714000000.00
2012-02-01,3872000000.00
2012-03-01,4682000000.00
2012-04-01,3290000000.00
2012-05-01,3365000000.00
2012-06-01,4021000000.00
2012-07-01,2916000000.00
2012-08-01,3270000000.00
