Date,U34XNO
2012-09-01,4462000000.00
2012-10-01,3482000000.00
2012-11-01,3096000000.00
2012-12-01,5383000000.00
2013-01-01,3117000000.00
2013-02-01,3070000000.00
2013-03-01,3965000000.00
2013-04-01,3414000000.00
2013-05-01,4227000000.00
2013-06-01,4507000000.00
2013-07-01,2671000000.00
2013-08-01,3083000000.00
2013-09-01,4480000000.00
2013-10-01,3240000000.00
2013-11-01,3197000000.00
2013-12-01,4403000000.00
2014-01-01,2404000000.00
2014-02-01,2918000000.00
2014-03-01,3797000000.00
2014-04-01,2670000000.00
2014-05-01,2075000000.00
2014-06-01,2754000000.00
2014-07-01,2099000000.00
2014-08-01,2647000000.00
2014-09-01,3036000000.00
2014-10-01,2249000000.00
2014-11-01,2185000000.00
2014-12-01,3460000000.00
2015-01-01,2538000000.00
2015-02-01,2978000000.00
2015-03-01,3837000000.00
2015-04-01,2953000000.00
2015-05-01,2673000000.00
2015-06-01,3482000000.00
2015-07-01,2679000000.00
2015-08-01,2720000000.00
2015-09-01,3655000000.00
2015-10-01,2788000000.00
2015-11-01,2589000000.00
2015-12-01,3568000000.00
2016-01-01,2278000000.00
2016-02-01,2732000000.00
2016-03-01,3384000000.00
2016-04-01,2627000000.00
2016-05-01,2615000000.00
2016-06-01,3556000000.00
2016-07-01,2452000000.00
2016-08-01,2415000000.00
2016-09-01,3731000000.00
2016-10-01,2612000000.00
2016-11-01,2457000000.00
2016-12-01,3819000000.00
2017-01-01,2655000000.00
2017-02-01,3292000000.00
2017-03-01,3861000000.00
2017-04-01,3005000000.00
2017-05-01,2822000000.00
2017-06-01,3851000000.00
2017-07-01,2807000000.00
2017-08-01,2912000000.00
2017-09-01,4297000000.00
2017-10-01,3396000000.00
2017-11-01,3255000000.00
2017-12-01,4440000000.00
2018-01-01,2835000000.00
2018-02-01,3275000000.00
2018-03-01,4053000000.00
2018-04-01,3242000000.00
2018-05-01,3288000000.00
