Date,UMXTVS
2008-08-01,427043000000.00
2008-09-01,413724000000.00
2008-10-01,396519000000.00
2008-11-01,337545000000.00
2008-12-01,328284000000.00
2009-01-01,299654000000.00
2009-02-01,298748000000.00
2009-03-01,325004000000.00
2009-04-01,312421000000.00
2009-05-01,317207000000.00
2009-06-01,339958000000.00
2009-07-01,323146000000.00
2009-08-01,332440000000.00
2009-09-01,337647000000.00
2009-10-01,340736000000.00
2009-11-01,324950000000.00
2009-12-01,332616000000.00
2010-01-01,314698000000.00
2010-02-01,316572000000.00
2010-03-01,368684000000.00
2010-04-01,359153000000.00
2010-05-01,358893000000.00
2010-06-01,370790000000.00
2010-07-01,351892000000.00
2010-08-01,367743000000.00
2010-09-01,370292000000.00
2010-10-01,367931000000.00
2010-11-01,359794000000.00
2010-12-01,368971000000.00
2011-01-01,355786000000.00
2011-02-01,353934000000.00
2011-03-01,418145000000.00
2011-04-01,402320000000.00
2011-05-01,410813000000.00
2011-06-01,422838000000.00
2011-07-01,397409000000.00
2011-08-01,423414000000.00
2011-09-01,416278000000.00
2011-10-01,408538000000.00
2011-11-01,395488000000.00
2011-12-01,396571000000.00
2012-01-01,379626000000.00
2012-02-01,392393000000.00
2012-03-01,432348000000.00
2012-04-01,410301000000.00
2012-05-01,424445000000.00
2012-06-01,415929000000.00
2012-07-01,399355000000.00
2012-08-01,424598000000.00
2012-09-01,413625000000.00
2012-10-01,422902000000.00
2012-11-01,399811000000.00
2012-12-01,395709000000.00
2013-01-01,390065000000.00
2013-02-01,389100000000.00
2013-03-01,425728000000.00
2013-04-01,414580000000.00
2013-05-01,428501000000.00
2013-06-01,421230000000.00
2013-07-01,414791000000.00
2013-08-01,428663000000.00
2013-09-01,422194000000.00
2013-10-01,425606000000.00
2013-11-01,401905000000.00
2013-12-01,406371000000.00
2014-01-01,389414000000.00
2014-02-01,386988000000.00
2014-03-01,432263000000.00
2014-04-01,423747000000.00
2014-05-01,430492000000.00
2014-06-01,435565000000.00
2014-07-01,418528000000.00
2014-08-01,428338000000.00
2014-09-01,431104000000.00
2014-10-01,422080000000.00
2014-11-01,385589000000.00
2014-12-01,391274000000.00
2015-01-01,358289000000.00
2015-02-01,358541000000.00
2015-03-01,402756000000.00
2015-04-01,390142000000.00
2015-05-01,390320000000.00
