Date,JTU2300HIL
2000-12-01,266000.00
2001-01-01,443000.00
2001-02-01,421000.00
2001-03-01,498000.00
2001-04-01,631000.00
2001-05-01,552000.00
2001-06-01,567000.00
2001-07-01,518000.00
2001-08-01,403000.00
2001-09-01,387000.00
2001-10-01,432000.00
2001-11-01,352000.00
2001-12-01,272000.00
2002-01-01,374000.00
2002-02-01,338000.00
2002-03-01,400000.00
2002-04-01,570000.00
2002-05-01,498000.00
2002-06-01,544000.00
2002-07-01,526000.00
2002-08-01,398000.00
2002-09-01,415000.00
2002-10-01,428000.00
2002-11-01,311000.00
2002-12-01,273000.00
2003-01-01,396000.00
2003-02-01,294000.00
2003-03-01,392000.00
2003-04-01,621000.00
2003-05-01,542000.00
2003-06-01,568000.00
2003-07-01,516000.00
2003-08-01,496000.00
2003-09-01,428000.00
2003-10-01,431000.00
2003-11-01,355000.00
2003-12-01,290000.00
2004-01-01,391000.00
2004-02-01,351000.00
2004-03-01,505000.00
2004-04-01,616000.00
2004-05-01,532000.00
2004-06-01,591000.00
2004-07-01,474000.00
2004-08-01,447000.00
2004-09-01,418000.00
2004-10-01,473000.00
2004-11-01,343000.00
2004-12-01,275000.00
2005-01-01,402000.00
2005-02-01,400000.00
2005-03-01,438000.00
2005-04-01,698000.00
2005-05-01,610000.00
2005-06-01,598000.00
2005-07-01,481000.00
2005-08-01,526000.00
2005-09-01,485000.00
2005-10-01,496000.00
2005-11-01,362000.00
2005-12-01,292000.00
2006-01-01,423000.00
2006-02-01,378000.00
2006-03-01,489000.00
2006-04-01,626000.00
2006-05-01,583000.00
2006-06-01,516000.00
2006-07-01,505000.00
2006-08-01,418000.00
2006-09-01,363000.00
2006-10-01,397000.00
2006-11-01,342000.00
2006-12-01,268000.00
2007-01-01,369000.00
2007-02-01,258000.00
2007-03-01,468000.00
2007-04-01,527000.00
2007-05-01,498000.00
2007-06-01,538000.00
2007-07-01,465000.00
2007-08-01,405000.00
2007-09-01,358000.00
2007-10-01,406000.00
2007-11-01,272000.00
2007-12-01,224000.00
2008-01-01,330000.00
2008-02-01,310000.00
2008-03-01,402000.00
2008-04-01,522000.00
2008-05-01,436000.00
2008-06-01,485000.00
2008-07-01,412000.00
2008-08-01,398000.00
2008-09-01,306000.00
2008-10-01,381000.00
2008-11-01,245000.00
2008-12-01,201000.00
2009-01-01,309000.00
2009-02-01,273000.00
2009-03-01,316000.00
2009-04-01,441000.00
2009-05-01,415000.00
2009-06-01,324000.00
2009-07-01,382000.00
2009-08-01,250000.00
2009-09-01,295000.00
2009-10-01,313000.00
2009-11-01,231000.00
2009-12-01,199000.00
2010-01-01,276000.00
2010-02-01,226000.00
2010-03-01,415000.00
2010-04-01,493000.00
2010-05-01,384000.00
2010-06-01,346000.00
2010-07-01,406000.00
2010-08-01,321000.00
2010-09-01,296000.00
2010-10-01,358000.00
2010-11-01,251000.00
2010-12-01,216000.00
2011-01-01,245000.00
2011-02-01,286000.00
2011-03-01,379000.00
2011-04-01,493000.00
2011-05-01,472000.00
2011-06-01,474000.00
2011-07-01,407000.00
2011-08-01,324000.00
2011-09-01,350000.00
2011-10-01,334000.00
2011-11-01,231000.00
2011-12-01,180000.00
2012-01-01,292000.00
2012-02-01,287000.00
2012-03-01,297000.00
2012-04-01,381000.00
2012-05-01,421000.00
2012-06-01,447000.00
2012-07-01,433000.00
2012-08-01,321000.00
2012-09-01,334000.00
2012-10-01,319000.00
2012-11-01,295000.00
2012-12-01,169000.00
2013-01-01,299000.00
2013-02-01,316000.00
2013-03-01,346000.00
2013-04-01,386000.00
2013-05-01,428000.00
2013-06-01,413000.00
2013-07-01,374000.00
2013-08-01,293000.00
2013-09-01,299000.00
2013-10-01,332000.00
2013-11-01,233000.00
2013-12-01,149000.00
2014-01-01,259000.00
2014-02-01,233000.00
2014-03-01,254000.00
2014-04-01,398000.00
2014-05-01,420000.00
2014-06-01,345000.00
2014-07-01,463000.00
2014-08-01,324000.00
2014-09-01,282000.00
2014-10-01,319000.00
2014-11-01,241000.00
2014-12-01,216000.00
2015-01-01,327000.00
2015-02-01,277000.00
2015-03-01,299000.00
2015-04-01,460000.00
2015-05-01,406000.00
2015-06-01,408000.00
2015-07-01,357000.00
2015-08-01,323000.00
2015-09-01,316000.00
2015-10-01,327000.00
2015-11-01,255000.00
2015-12-01,176000.00
2016-01-01,266000.00
2016-02-01,292000.00
2016-03-01,349000.00
2016-04-01,483000.00
2016-05-01,421000.00
2016-06-01,339000.00
2016-07-01,401000.00
2016-08-01,338000.00
2016-09-01,300000.00
2016-10-01,352000.00
2016-11-01,252000.00
2016-12-01,248000.00
2017-01-01,369000.00
2017-02-01,309000.00
2017-03-01,362000.00
2017-04-01,525000.00
2017-05-01,473000.00
2017-06-01,405000.00
2017-07-01,415000.00
2017-08-01,401000.00
2017-09-01,361000.00
2017-10-01,378000.00
2017-11-01,263000.00
2017-12-01,177000.00
2018-01-01,325000.00
2018-02-01,298000.00
2018-03-01,340000.00
2018-04-01,485000.00
