Date,U34ENO
1992-02-01,463000000.00
1992-03-01,690000000.00
1992-04-01,511000000.00
1992-05-01,497000000.00
1992-06-01,709000000.00
1992-07-01,481000000.00
1992-08-01,483000000.00
1992-09-01,568000000.00
1992-10-01,463000000.00
1992-11-01,604000000.00
1992-12-01,572000000.00
1993-01-01,423000000.00
1993-02-01,389000000.00
1993-03-01,497000000.00
1993-04-01,422000000.00
1993-05-01,473000000.00
1993-06-01,490000000.00
1993-07-01,343000000.00
1993-08-01,396000000.00
1993-09-01,466000000.00
1993-10-01,370000000.00
1993-11-01,373000000.00
1993-12-01,361000000.00
1994-01-01,306000000.00
1994-02-01,317000000.00
1994-03-01,306000000.00
1994-04-01,376000000.00
1994-05-01,341000000.00
1994-06-01,451000000.00
1994-07-01,364000000.00
1994-08-01,283000000.00
1994-09-01,433000000.00
1994-10-01,357000000.00
1994-11-01,304000000.00
1994-12-01,443000000.00
1995-01-01,228000000.00
1995-02-01,230000000.00
1995-03-01,480000000.00
1995-04-01,401000000.00
1995-05-01,315000000.00
1995-06-01,347000000.00
1995-07-01,363000000.00
1995-08-01,290000000.00
1995-09-01,425000000.00
1995-10-01,567000000.00
1995-11-01,253000000.00
1995-12-01,644000000.00
1996-01-01,302000000.00
1996-02-01,319000000.00
1996-03-01,409000000.00
1996-04-01,298000000.00
1996-05-01,273000000.00
1996-06-01,409000000.00
1996-07-01,205000000.00
1996-08-01,285000000.00
1996-09-01,350000000.00
1996-10-01,273000000.00
1996-11-01,342000000.00
1996-12-01,501000000.00
1997-01-01,188000000.00
1997-02-01,323000000.00
1997-03-01,279000000.00
1997-04-01,196000000.00
1997-05-01,311000000.00
1997-06-01,431000000.00
1997-07-01,226000000.00
1997-08-01,338000000.00
1997-09-01,444000000.00
1997-10-01,288000000.00
1997-11-01,222000000.00
1997-12-01,348000000.00
1998-01-01,167000000.00
1998-02-01,249000000.00
1998-03-01,340000000.00
1998-04-01,273000000.00
1998-05-01,280000000.00
1998-06-01,198000000.00
1998-07-01,218000000.00
1998-08-01,191000000.00
1998-09-01,275000000.00
1998-10-01,254000000.00
1998-11-01,312000000.00
1998-12-01,210000000.00
1999-01-01,184000000.00
1999-02-01,176000000.00
1999-03-01,195000000.00
1999-04-01,140000000.00
1999-05-01,219000000.00
1999-06-01,193000000.00
1999-07-01,195000000.00
1999-08-01,178000000.00
1999-09-01,255000000.00
1999-10-01,1260000000.00
1999-11-01,493000000.00
1999-12-01,238000000.00
2000-01-01,169000000.00
2000-02-01,438000000.00
2000-03-01,283000000.00
2000-04-01,166000000.00
2000-05-01,279000000.00
2000-06-01,304000000.00
2000-07-01,194000000.00
2000-08-01,241000000.00
2000-09-01,440000000.00
2000-10-01,347000000.00
2000-11-01,381000000.00
2000-12-01,358000000.00
2001-01-01,264000000.00
2001-02-01,285000000.00
2001-03-01,272000000.00
2001-04-01,322000000.00
2001-05-01,279000000.00
2001-06-01,250000000.00
2001-07-01,231000000.00
2001-08-01,117000000.00
2001-09-01,328000000.00
2001-10-01,238000000.00
2001-11-01,243000000.00
2001-12-01,474000000.00
2002-01-01,277000000.00
2002-02-01,299000000.00
2002-03-01,298000000.00
2002-04-01,226000000.00
2002-05-01,255000000.00
2002-06-01,340000000.00
2002-07-01,210000000.00
2002-08-01,222000000.00
2002-09-01,325000000.00
2002-10-01,345000000.00
2002-11-01,231000000.00
2002-12-01,301000000.00
2003-01-01,286000000.00
2003-02-01,341000000.00
2003-03-01,356000000.00
2003-04-01,301000000.00
2003-05-01,333000000.00
2003-06-01,328000000.00
2003-07-01,271000000.00
2003-08-01,280000000.00
2003-09-01,318000000.00
2003-10-01,423000000.00
2003-11-01,344000000.00
2003-12-01,372000000.00
2004-01-01,429000000.00
2004-02-01,376000000.00
2004-03-01,344000000.00
2004-04-01,297000000.00
2004-05-01,321000000.00
2004-06-01,382000000.00
2004-07-01,335000000.00
2004-08-01,282000000.00
2004-09-01,1843000000.00
2004-10-01,2121000000.00
2004-11-01,244000000.00
2004-12-01,1029000000.00
2005-01-01,122000000.00
2005-02-01,204000000.00
2005-03-01,934000000.00
2005-04-01,172000000.00
2005-05-01,203000000.00
2005-06-01,683000000.00
2005-07-01,337000000.00
2005-08-01,261000000.00
2005-09-01,523000000.00
2005-10-01,287000000.00
2005-11-01,133000000.00
2005-12-01,400000000.00
2006-01-01,247000000.00
2006-02-01,89000000.00
2006-03-01,937000000.00
2006-04-01,373000000.00
2006-05-01,280000000.00
2006-06-01,630000000.00
2006-07-01,754000000.00
2006-08-01,343000000.00
2006-09-01,549000000.00
2006-10-01,391000000.00
2006-11-01,630000000.00
2006-12-01,746000000.00
2007-01-01,267000000.00
2007-02-01,348000000.00
2007-03-01,829000000.00
2007-04-01,264000000.00
2007-05-01,247000000.00
2007-06-01,555000000.00
2007-07-01,966000000.00
2007-08-01,449000000.00
2007-09-01,627000000.00
2007-10-01,308000000.00
2007-11-01,530000000.00
2007-12-01,501000000.00
2008-01-01,389000000.00
2008-02-01,436000000.00
2008-03-01,831000000.00
2008-04-01,453000000.00
2008-05-01,473000000.00
2008-06-01,941000000.00
2008-07-01,149000000.00
2008-08-01,283000000.00
2008-09-01,670000000.00
2008-10-01,488000000.00
2008-11-01,476000000.00
2008-12-01,707000000.00
2009-01-01,828000000.00
2009-02-01,644000000.00
2009-03-01,761000000.00
2009-04-01,708000000.00
2009-05-01,491000000.00
2009-06-01,481000000.00
2009-07-01,410000000.00
2009-08-01,447000000.00
2009-09-01,723000000.00
2009-10-01,491000000.00
2009-11-01,389000000.00
2009-12-01,496000000.00
2010-01-01,524000000.00
2010-02-01,465000000.00
2010-03-01,890000000.00
2010-04-01,439000000.00
2010-05-01,489000000.00
2010-06-01,391000000.00
2010-07-01,332000000.00
2010-08-01,329000000.00
2010-09-01,778000000.00
2010-10-01,396000000.00
2010-11-01,344000000.00
2010-12-01,784000000.00
2011-01-01,687000000.00
2011-02-01,540000000.00
2011-03-01,744000000.00
2011-04-01,521000000.00
2011-05-01,502000000.00
2011-06-01,754000000.00
2011-07-01,508000000.00
2011-08-01,573000000.00
2011-09-01,841000000.00
2011-10-01,502000000.00
2011-11-01,455000000.00
2011-12-01,666000000.00
2012-01-01,285000000.00
2012-02-01,307000000.00
2012-03-01,682000000.00
2012-04-01,234000000.00
2012-05-01,375000000.00
2012-06-01,331000000.00
2012-07-01,280000000.00
2012-08-01,292000000.00
2012-09-01,437000000.00
2012-10-01,365000000.00
2012-11-01,279000000.00
2012-12-01,684000000.00
2013-01-01,247000000.00
2013-02-01,352000000.00
2013-03-01,261000000.00
2013-04-01,265000000.00
2013-05-01,227000000.00
2013-06-01,334000000.00
2013-07-01,227000000.00
2013-08-01,247000000.00
2013-09-01,420000000.00
2013-10-01,201000000.00
2013-11-01,219000000.00
2013-12-01,357000000.00
2014-01-01,167000000.00
2014-02-01,154000000.00
2014-03-01,227000000.00
2014-04-01,319000000.00
2014-05-01,159000000.00
2014-06-01,276000000.00
2014-07-01,173000000.00
2014-08-01,312000000.00
2014-09-01,286000000.00
2014-10-01,219000000.00
2014-11-01,194000000.00
2014-12-01,233000000.00
2015-01-01,238000000.00
2015-02-01,371000000.00
2015-03-01,319000000.00
2015-04-01,282000000.00
2015-05-01,216000000.00
2015-06-01,222000000.00
2015-07-01,244000000.00
2015-08-01,256000000.00
2015-09-01,287000000.00
2015-10-01,251000000.00
2015-11-01,223000000.00
2015-12-01,274000000.00
2016-01-01,191000000.00
2016-02-01,240000000.00
2016-03-01,305000000.00
2016-04-01,230000000.00
2016-05-01,215000000.00
2016-06-01,287000000.00
2016-07-01,199000000.00
2016-08-01,227000000.00
2016-09-01,288000000.00
2016-10-01,216000000.00
2016-11-01,219000000.00
2016-12-01,204000000.00
2017-01-01,197000000.00
2017-02-01,239000000.00
2017-03-01,318000000.00
2017-04-01,231000000.00
2017-05-01,237000000.00
2017-06-01,302000000.00
2017-07-01,222000000.00
2017-08-01,262000000.00
2017-09-01,293000000.00
2017-10-01,293000000.00
2017-11-01,247000000.00
2017-12-01,224000000.00
2018-01-01,205000000.00
2018-02-01,272000000.00
2018-03-01,328000000.00
2018-04-01,253000000.00
