Date,UMTMTI
1992-01-01,375389000000.00
1992-02-01,378146000000.00
1992-03-01,377223000000.00
1992-04-01,379047000000.00
1992-05-01,380525000000.00
1992-06-01,375933000000.00
1992-07-01,378900000000.00
1992-08-01,383343000000.00
1992-09-01,379319000000.00
1992-10-01,379896000000.00
1992-11-01,378041000000.00
1992-12-01,369673000000.00
1993-01-01,374356000000.00
1993-02-01,377627000000.00
1993-03-01,377480000000.00
1993-04-01,380455000000.00
1993-05-01,381952000000.00
1993-06-01,378183000000.00
1993-07-01,380084000000.00
1993-08-01,382511000000.00
1993-09-01,379580000000.00
1993-10-01,380386000000.00
1993-11-01,379822000000.00
1993-12-01,370775000000.00
1994-01-01,378884000000.00
1994-02-01,383640000000.00
1994-03-01,382316000000.00
1994-04-01,385541000000.00
1994-05-01,389109000000.00
1994-06-01,385760000000.00
1994-07-01,392846000000.00
1994-08-01,396279000000.00
1994-09-01,392566000000.00
1994-10-01,395903000000.00
1994-11-01,397599000000.00
1994-12-01,390540000000.00
1995-01-01,401369000000.00
1995-02-01,408385000000.00
1995-03-01,409207000000.00
1995-04-01,414743000000.00
1995-05-01,419572000000.00
1995-06-01,416148000000.00
1995-07-01,421574000000.00
1995-08-01,423986000000.00
1995-09-01,422346000000.00
1995-10-01,424710000000.00
1995-11-01,423478000000.00
1995-12-01,414969000000.00
1996-01-01,425833000000.00
1996-02-01,430435000000.00
1996-03-01,427519000000.00
1996-04-01,429548000000.00
1996-05-01,429945000000.00
1996-06-01,424528000000.00
1996-07-01,428606000000.00
1996-08-01,431128000000.00
1996-09-01,428665000000.00
1996-10-01,431087000000.00
1996-11-01,431372000000.00
1996-12-01,420680000000.00
1997-01-01,429664000000.00
1997-02-01,434809000000.00
1997-03-01,430998000000.00
1997-04-01,435973000000.00
1997-05-01,438530000000.00
1997-06-01,433171000000.00
1997-07-01,438180000000.00
1997-08-01,441936000000.00
1997-09-01,438861000000.00
1997-10-01,443530000000.00
1997-11-01,443312000000.00
1997-12-01,433451000000.00
1998-01-01,443610000000.00
1998-02-01,450861000000.00
1998-03-01,447192000000.00
1998-04-01,451254000000.00
1998-05-01,453468000000.00
1998-06-01,448011000000.00
1998-07-01,452636000000.00
1998-08-01,454621000000.00
1998-09-01,450299000000.00
1998-10-01,454269000000.00
1998-11-01,454154000000.00
1998-12-01,438845000000.00
1999-01-01,445323000000.00
1999-02-01,450270000000.00
1999-03-01,447001000000.00
1999-04-01,449933000000.00
1999-05-01,452956000000.00
1999-06-01,446295000000.00
1999-07-01,453317000000.00
1999-08-01,455422000000.00
1999-09-01,453971000000.00
1999-10-01,458706000000.00
1999-11-01,462052000000.00
1999-12-01,452803000000.00
2000-01-01,462260000000.00
2000-02-01,469944000000.00
2000-03-01,464752000000.00
2000-04-01,471386000000.00
2000-05-01,473023000000.00
2000-06-01,470491000000.00
2000-07-01,477839000000.00
2000-08-01,481170000000.00
2000-09-01,477215000000.00
2000-10-01,482861000000.00
2000-11-01,484220000000.00
2000-12-01,470084000000.00
2001-01-01,481507000000.00
2001-02-01,481741000000.00
2001-03-01,470857000000.00
2001-04-01,472074000000.00
2001-05-01,468825000000.00
2001-06-01,456782000000.00
2001-07-01,456446000000.00
2001-08-01,453174000000.00
2001-09-01,444361000000.00
2001-10-01,442985000000.00
2001-11-01,435818000000.00
2001-12-01,417487000000.00
2002-01-01,423577000000.00
2002-02-01,423380000000.00
2002-03-01,416060000000.00
2002-04-01,418917000000.00
2002-05-01,418654000000.00
2002-06-01,414058000000.00
2002-07-01,419126000000.00
2002-08-01,421400000000.00
2002-09-01,419748000000.00
2002-10-01,423264000000.00
2002-11-01,421243000000.00
2002-12-01,412328000000.00
2003-01-01,419511000000.00
2003-02-01,428050000000.00
2003-03-01,421371000000.00
2003-04-01,423680000000.00
2003-05-01,423070000000.00
2003-06-01,414728000000.00
2003-07-01,416343000000.00
2003-08-01,415776000000.00
2003-09-01,410237000000.00
2003-10-01,413200000000.00
2003-11-01,409859000000.00
2003-12-01,397631000000.00
2004-01-01,406316000000.00
2004-02-01,413597000000.00
2004-03-01,411888000000.00
2004-04-01,416776000000.00
2004-05-01,421429000000.00
2004-06-01,420208000000.00
2004-07-01,428626000000.00
2004-08-01,432635000000.00
2004-09-01,430469000000.00
2004-10-01,437644000000.00
2004-11-01,440464000000.00
2004-12-01,428960000000.00
2005-01-01,445193000000.00
2005-02-01,454513000000.00
2005-03-01,454551000000.00
2005-04-01,459199000000.00
2005-05-01,460469000000.00
2005-06-01,455902000000.00
2005-07-01,465021000000.00
2005-08-01,465429000000.00
2005-09-01,463385000000.00
2005-10-01,470885000000.00
2005-11-01,470455000000.00
2005-12-01,461057000000.00
2006-01-01,477836000000.00
2006-02-01,483672000000.00
2006-03-01,484720000000.00
2006-04-01,494131000000.00
2006-05-01,500157000000.00
2006-06-01,499660000000.00
2006-07-01,511056000000.00
2006-08-01,515465000000.00
2006-09-01,516255000000.00
2006-10-01,522707000000.00
2006-11-01,522215000000.00
2006-12-01,508731000000.00
2007-01-01,522842000000.00
2007-02-01,530201000000.00
2007-03-01,528094000000.00
2007-04-01,535900000000.00
2007-05-01,541981000000.00
2007-06-01,538683000000.00
2007-07-01,545314000000.00
2007-08-01,546612000000.00
2007-09-01,548883000000.00
2007-10-01,554393000000.00
2007-11-01,556538000000.00
2007-12-01,547047000000.00
2008-01-01,565316000000.00
2008-02-01,571742000000.00
2008-03-01,572186000000.00
2008-04-01,574640000000.00
2008-05-01,577399000000.00
2008-06-01,576415000000.00
2008-07-01,583555000000.00
2008-08-01,585642000000.00
2008-09-01,573742000000.00
2008-10-01,569710000000.00
2008-11-01,560353000000.00
2008-12-01,529148000000.00
2009-01-01,536116000000.00
2009-02-01,532835000000.00
2009-03-01,522704000000.00
2009-04-01,519216000000.00
2009-05-01,517150000000.00
2009-06-01,505822000000.00
2009-07-01,507485000000.00
2009-08-01,505628000000.00
2009-09-01,498223000000.00
2009-10-01,504508000000.00
2009-11-01,504800000000.00
2009-12-01,491126000000.00
2010-01-01,503022000000.00
2010-02-01,512235000000.00
2010-03-01,512074000000.00
2010-04-01,517995000000.00
2010-05-01,519920000000.00
2010-06-01,517544000000.00
2010-07-01,526653000000.00
2010-08-01,529755000000.00
2010-09-01,530756000000.00
2010-10-01,541044000000.00
2010-11-01,544921000000.00
2010-12-01,537702000000.00
2011-01-01,557314000000.00
2011-02-01,568206000000.00
2011-03-01,573179000000.00
2011-04-01,586952000000.00
2011-05-01,594696000000.00
2011-06-01,588944000000.00
2011-07-01,599464000000.00
2011-08-01,601731000000.00
2011-09-01,595257000000.00
2011-10-01,605593000000.00
2011-11-01,604839000000.00
2011-12-01,589036000000.00
