Date,FINSALESCONTRIBNOW
2014-04-01,2.50
2014-07-01,3.11
2014-10-01,3.28
2015-01-01,0.15
2015-04-01,2.72
2015-07-01,3.04
2015-10-01,1.68
2016-01-01,1.23
2016-04-01,2.62
2016-07-01,2.07
2016-10-01,1.94
2017-01-01,1.28
2017-04-01,2.00
2017-07-01,1.71
2017-10-01,3.83
2018-01-01,1.17
2018-04-01,3.40
