Date,U35BUO
2009-07-01,723000000.00
2009-08-01,695000000.00
2009-09-01,769000000.00
2009-10-01,746000000.00
2009-11-01,732000000.00
2009-12-01,642000000.00
2010-01-01,943000000.00
2010-02-01,961000000.00
2010-03-01,809000000.00
2010-04-01,754000000.00
2010-05-01,793000000.00
2010-06-01,643000000.00
2010-07-01,684000000.00
2010-08-01,547000000.00
2010-09-01,558000000.00
2010-10-01,525000000.00
2010-11-01,565000000.00
2010-12-01,595000000.00
2011-01-01,683000000.00
2011-02-01,877000000.00
2011-03-01,874000000.00
2011-04-01,738000000.00
2011-05-01,721000000.00
2011-06-01,659000000.00
2011-07-01,696000000.00
2011-08-01,679000000.00
2011-09-01,688000000.00
2011-10-01,680000000.00
2011-11-01,731000000.00
2011-12-01,706000000.00
2012-01-01,833000000.00
2012-02-01,822000000.00
2012-03-01,782000000.00
2012-04-01,789000000.00
2012-05-01,920000000.00
2012-06-01,773000000.00
2012-07-01,802000000.00
2012-08-01,832000000.00
2012-09-01,890000000.00
2012-10-01,963000000.00
2012-11-01,1131000000.00
2012-12-01,1091000000.00
2013-01-01,1112000000.00
2013-02-01,1055000000.00
2013-03-01,1007000000.00
2013-04-01,1017000000.00
2013-05-01,1122000000.00
2013-06-01,1028000000.00
2013-07-01,1072000000.00
2013-08-01,1072000000.00
2013-09-01,1012000000.00
2013-10-01,999000000.00
2013-11-01,980000000.00
2013-12-01,954000000.00
2014-01-01,1004000000.00
2014-02-01,903000000.00
2014-03-01,939000000.00
2014-04-01,1024000000.00
2014-05-01,1048000000.00
2014-06-01,1016000000.00
2014-07-01,1007000000.00
2014-08-01,986000000.00
2014-09-01,1079000000.00
2014-10-01,1109000000.00
2014-11-01,1085000000.00
2014-12-01,1166000000.00
2015-01-01,1222000000.00
2015-02-01,1049000000.00
2015-03-01,1172000000.00
2015-04-01,1257000000.00
2015-05-01,1223000000.00
2015-06-01,1149000000.00
2015-07-01,1065000000.00
2015-08-01,958000000.00
2015-09-01,943000000.00
2015-10-01,947000000.00
2015-11-01,1001000000.00
2015-12-01,991000000.00
2016-01-01,1047000000.00
2016-02-01,938000000.00
2016-03-01,966000000.00
2016-04-01,996000000.00
2016-05-01,985000000.00
2016-06-01,979000000.00
2016-07-01,1006000000.00
2016-08-01,993000000.00
2016-09-01,1034000000.00
2016-10-01,1027000000.00
2016-11-01,1053000000.00
2016-12-01,1093000000.00
2017-01-01,1141000000.00
2017-02-01,1112000000.00
2017-03-01,1119000000.00
2017-04-01,1156000000.00
2017-05-01,1175000000.00
2017-06-01,1154000000.00
2017-07-01,1114000000.00
2017-08-01,1168000000.00
2017-09-01,1199000000.00
2017-10-01,1199000000.00
2017-11-01,1208000000.00
2017-12-01,1184000000.00
2018-01-01,1322000000.00
2018-02-01,1225000000.00
2018-03-01,1378000000.00
2018-04-01,1387000000.00
