Date,A939RC0Q052SBEA
1947-01-01,1698.00
1947-04-01,1713.00
1947-07-01,1731.00
1947-10-01,1794.00
1948-01-01,1826.00
1948-04-01,1865.00
1948-07-01,1902.00
1948-10-01,1901.00
1949-01-01,1857.00
1949-04-01,1825.00
1949-07-01,1827.00
1949-10-01,1804.00
1950-01-01,1864.00
1950-04-01,1921.00
1950-07-01,2029.00
1950-10-01,2097.00
1951-01-01,2194.00
1951-04-01,2237.00
1951-07-01,2275.00
1951-10-01,2295.00
1952-01-01,2308.00
1952-04-01,2307.00
1952-07-01,2340.00
1952-10-01,2412.00
1953-01-01,2449.00
1953-04-01,2463.00
1953-07-01,2449.00
1953-10-01,2405.00
1954-01-01,2391.00
1954-04-01,2386.00
1954-07-01,2405.00
1954-10-01,2447.00
1955-01-01,2519.00
1955-04-01,2560.00
1955-07-01,2601.00
1955-10-01,2630.00
1956-01-01,2635.00
1956-04-01,2661.00
1956-07-01,2680.00
1956-10-01,2721.00
1957-01-01,2765.00
1957-04-01,2766.00
1957-07-01,2798.00
1957-10-01,2758.00
1958-01-01,2705.00
1958-04-01,2721.00
1958-07-01,2788.00
1958-10-01,2854.00
1959-01-01,2903.00
1959-04-01,2966.00
1959-07-01,2959.00
1959-10-01,2969.00
1960-01-01,3024.00
1960-04-01,3009.00
1960-07-01,3015.00
1960-10-01,2974.00
1961-01-01,2989.00
1961-04-01,3040.00
1961-07-01,3086.00
1961-10-01,3146.00
1962-01-01,3208.00
1962-04-01,3236.00
1962-07-01,3261.00
1962-10-01,3267.00
1963-01-01,3307.00
1963-04-01,3345.00
1963-07-01,3401.00
1963-10-01,3440.00
1964-01-01,3515.00
1964-04-01,3554.00
1964-07-01,3604.00
1964-10-01,3620.00
1965-01-01,3718.00
1965-04-01,3775.00
1965-07-01,3854.00
1965-10-01,3959.00
1966-01-01,4073.00
1966-04-01,4112.00
1966-07-01,4169.00
1966-10-01,4228.00
1967-01-01,4274.00
1967-04-01,4288.00
1967-07-01,4355.00
1967-10-01,4425.00
1968-01-01,4556.00
1968-04-01,4671.00
1968-07-01,4738.00
1968-10-01,4814.00
1969-01-01,4929.00
1969-04-01,4996.00
1969-07-01,5084.00
1969-10-01,5112.00
1970-01-01,5162.00
1970-04-01,5227.00
1970-07-01,5299.00
1970-10-01,5295.00
1971-01-01,5503.00
1971-04-01,5591.00
1971-07-01,5675.00
1971-10-01,5721.00
1972-01-01,5899.00
1972-04-01,6059.00
1972-07-01,6156.00
1972-10-01,6321.00
1973-01-01,6538.00
1973-04-01,6697.00
1973-07-01,6771.00
1973-10-01,6954.00
1974-01-01,7012.00
1974-04-01,7183.00
1974-07-01,7301.00
1974-10-01,7466.00
1975-01-01,7528.00
1975-04-01,7681.00
1975-07-01,7924.00
1975-10-01,8143.00
1976-01-01,8396.00
1976-04-01,8527.00
1976-07-01,8659.00
1976-10-01,8855.00
1977-01-01,9081.00
1977-04-01,9366.00
1977-07-01,9622.00
1977-10-01,9804.00
1978-01-01,9962.00
1978-04-01,10512.00
1978-07-01,10760.00
1978-10-01,11102.00
1979-01-01,11294.00
1979-04-01,11551.00
1979-07-01,11846.00
1979-10-01,12077.00
1980-01-01,12333.00
1980-04-01,12313.00
1980-07-01,12540.00
1980-10-01,13090.00
1981-01-01,13667.00
1981-04-01,13790.00
1981-07-01,14161.00
1981-10-01,14220.00
1982-01-01,14148.00
1982-04-01,14365.00
1982-07-01,14482.00
1982-10-01,14621.00
1983-01-01,14902.00
1983-04-01,15314.00
1983-07-01,15738.00
1983-10-01,16143.00
1984-01-01,16607.00
