Date,UCDGTI
2008-08-01,25698000000.00
2008-09-01,25526000000.00
2008-10-01,25585000000.00
2008-11-01,25160000000.00
2008-12-01,23251000000.00
2009-01-01,24162000000.00
2009-02-01,23818000000.00
2009-03-01,22939000000.00
2009-04-01,22883000000.00
2009-05-01,22511000000.00
2009-06-01,21411000000.00
2009-07-01,21529000000.00
2009-08-01,21642000000.00
2009-09-01,21187000000.00
2009-10-01,21086000000.00
2009-11-01,21133000000.00
2009-12-01,20419000000.00
2010-01-01,21511000000.00
2010-02-01,21942000000.00
2010-03-01,21334000000.00
2010-04-01,21609000000.00
2010-05-01,21971000000.00
2010-06-01,21650000000.00
2010-07-01,22235000000.00
2010-08-01,22655000000.00
2010-09-01,22198000000.00
2010-10-01,22263000000.00
2010-11-01,22527000000.00
2010-12-01,21170000000.00
2011-01-01,22394000000.00
2011-02-01,22761000000.00
2011-03-01,22042000000.00
2011-04-01,22206000000.00
2011-05-01,22489000000.00
2011-06-01,21948000000.00
2011-07-01,22805000000.00
2011-08-01,23226000000.00
2011-09-01,23098000000.00
2011-10-01,23303000000.00
2011-11-01,23112000000.00
2011-12-01,21979000000.00
2012-01-01,23143000000.00
2012-02-01,23053000000.00
2012-03-01,22690000000.00
2012-04-01,23083000000.00
2012-05-01,23505000000.00
2012-06-01,23043000000.00
2012-07-01,23994000000.00
2012-08-01,24485000000.00
2012-09-01,24298000000.00
2012-10-01,25023000000.00
2012-11-01,24958000000.00
2012-12-01,24099000000.00
2013-01-01,24842000000.00
2013-02-01,24755000000.00
2013-03-01,23850000000.00
2013-04-01,24335000000.00
2013-05-01,24398000000.00
2013-06-01,23595000000.00
2013-07-01,24490000000.00
2013-08-01,25111000000.00
2013-09-01,25763000000.00
2013-10-01,26352000000.00
2013-11-01,26196000000.00
2013-12-01,25145000000.00
2014-01-01,27140000000.00
2014-02-01,27563000000.00
2014-03-01,27100000000.00
2014-04-01,27284000000.00
2014-05-01,26971000000.00
2014-06-01,26589000000.00
2014-07-01,27685000000.00
2014-08-01,27803000000.00
2014-09-01,27915000000.00
2014-10-01,28083000000.00
2014-11-01,27888000000.00
2014-12-01,26623000000.00
2015-01-01,28333000000.00
2015-02-01,28398000000.00
2015-03-01,28354000000.00
2015-04-01,28615000000.00
2015-05-01,28446000000.00
2015-06-01,28061000000.00
2015-07-01,28684000000.00
2015-08-01,29021000000.00
2015-09-01,28683000000.00
2015-10-01,29446000000.00
2015-11-01,29084000000.00
2015-12-01,27907000000.00
2016-01-01,29551000000.00
2016-02-01,29489000000.00
2016-03-01,28623000000.00
2016-04-01,28495000000.00
2016-05-01,28047000000.00
2016-06-01,28435000000.00
2016-07-01,28981000000.00
2016-08-01,29333000000.00
2016-09-01,28834000000.00
2016-10-01,29159000000.00
2016-11-01,28941000000.00
2016-12-01,27427000000.00
2017-01-01,28842000000.00
2017-02-01,28696000000.00
2017-03-01,28094000000.00
2017-04-01,28455000000.00
2017-05-01,28304000000.00
2017-06-01,28026000000.00
2017-07-01,29240000000.00
2017-08-01,29636000000.00
2017-09-01,29439000000.00
2017-10-01,29762000000.00
2017-11-01,29398000000.00
2017-12-01,28295000000.00
2018-01-01,30138000000.00
2018-02-01,30136000000.00
2018-03-01,29416000000.00
2018-04-01,29729000000.00
