Date,SUUR0000SAR
1999-12-01,100.00
2000-01-01,100.20
2000-02-01,100.30
2000-03-01,100.60
2000-04-01,100.60
2000-05-01,100.60
2000-06-01,100.80
2000-07-01,101.10
2000-08-01,101.30
2000-09-01,101.30
2000-10-01,101.40
2000-11-01,101.30
2000-12-01,101.20
2001-01-01,101.40
2001-02-01,101.60
2001-03-01,101.60
2001-04-01,102.10
2001-05-01,102.00
2001-06-01,101.80
2001-07-01,102.00
2001-08-01,102.20
2001-09-01,102.10
2001-10-01,102.20
2001-11-01,102.20
2001-12-01,102.10
2002-01-01,102.40
2002-02-01,102.70
2002-03-01,103.00
2002-04-01,103.00
2002-05-01,103.00
2002-06-01,102.60
2002-07-01,102.70
2002-08-01,102.70
2002-09-01,102.50
2002-10-01,102.80
2002-11-01,102.70
2002-12-01,102.70
2003-01-01,102.90
2003-02-01,103.20
2003-03-01,103.30
2003-04-01,103.40
2003-05-01,103.50
2003-06-01,103.50
2003-07-01,103.50
2003-08-01,103.60
2003-09-01,103.50
2003-10-01,103.40
2003-11-01,103.50
2003-12-01,103.30
2004-01-01,103.50
2004-02-01,104.40
2004-03-01,104.50
2004-04-01,104.80
2004-05-01,104.70
2004-06-01,104.70
2004-07-01,104.70
2004-08-01,104.70
2004-09-01,104.80
2004-10-01,104.80
2004-11-01,104.80
2004-12-01,104.30
2005-01-01,104.40
2005-02-01,104.50
2005-03-01,104.60
2005-04-01,104.80
2005-05-01,104.90
2005-06-01,103.90
2005-07-01,103.90
2005-08-01,104.70
2005-09-01,104.90
2005-10-01,105.10
2005-11-01,104.90
2005-12-01,104.80
2006-01-01,105.00
2006-02-01,105.30
2006-03-01,105.80
2006-04-01,106.20
2006-05-01,106.30
2006-06-01,106.20
2006-07-01,106.20
2006-08-01,106.00
2006-09-01,105.80
2006-10-01,105.70
2006-11-01,105.50
2006-12-01,104.80
2007-01-01,104.86
2007-02-01,104.99
2007-03-01,105.05
2007-04-01,105.34
2007-05-01,105.41
2007-06-01,105.28
2007-07-01,104.88
2007-08-01,104.54
2007-09-01,104.81
2007-10-01,104.99
2007-11-01,104.84
2007-12-01,104.46
2008-01-01,104.68
2008-02-01,104.85
2008-03-01,105.19
2008-04-01,105.36
2008-05-01,105.37
2008-06-01,105.51
2008-07-01,105.84
2008-08-01,106.36
2008-09-01,106.47
2008-10-01,106.50
2008-11-01,106.13
2008-12-01,105.54
2009-01-01,105.61
2009-02-01,105.96
2009-03-01,106.09
2009-04-01,105.74
2009-05-01,105.70
2009-06-01,105.94
2009-07-01,105.88
2009-08-01,105.99
2009-09-01,105.55
2009-10-01,104.84
2009-11-01,104.16
2009-12-01,103.55
2010-01-01,103.41
2010-02-01,103.43
2010-03-01,103.59
2010-04-01,103.99
2010-05-01,103.61
2010-06-01,103.61
2010-07-01,103.40
2010-08-01,103.27
2010-09-01,102.97
2010-10-01,102.84
2010-11-01,102.39
2010-12-01,101.86
2011-01-01,102.17
2011-02-01,102.58
2011-03-01,102.63
2011-04-01,102.70
2011-05-01,102.99
2011-06-01,102.83
2011-07-01,102.69
2011-08-01,102.69
2011-09-01,102.52
2011-10-01,102.23
2011-11-01,102.11
2011-12-01,102.35
2012-01-01,102.75
2012-02-01,102.89
2012-03-01,103.24
2012-04-01,103.15
2012-05-01,103.14
2012-06-01,103.30
2012-07-01,103.25
2012-08-01,103.38
2012-09-01,103.34
2012-10-01,103.20
2012-11-01,103.03
2012-12-01,102.63
2013-01-01,102.93
2013-02-01,103.45
2013-03-01,103.43
2013-04-01,103.35
2013-05-01,103.40
2013-06-01,103.20
2013-07-01,103.11
2013-08-01,103.28
2013-09-01,103.22
2013-10-01,103.25
2013-11-01,103.16
2013-12-01,102.54
2014-01-01,103.00
2014-02-01,103.38
2014-03-01,103.16
2014-04-01,103.22
2014-05-01,103.04
2014-06-01,103.09
2014-07-01,103.10
2014-08-01,102.64
2014-09-01,102.54
2014-10-01,102.71
2014-11-01,102.10
2014-12-01,101.79
2015-01-01,102.37
2015-02-01,102.05
2015-03-01,102.20
2015-04-01,102.30
2015-05-01,102.48
2015-06-01,102.93
2015-07-01,102.90
2015-08-01,102.66
2015-09-01,102.46
2015-10-01,102.48
2015-11-01,102.09
2015-12-01,101.68
2016-01-01,102.13
2016-02-01,102.68
2016-03-01,103.12
2016-04-01,103.46
2016-05-01,103.51
2016-06-01,103.44
2016-07-01,103.28
2016-08-01,103.13
2016-09-01,102.95
2016-10-01,102.81
2016-11-01,102.70
2016-12-01,102.30
2017-01-01,102.88
2017-02-01,103.67
2017-03-01,103.67
2017-04-01,103.66
2017-05-01,103.51
2017-06-01,103.46
2017-07-01,103.69
2017-08-01,103.68
2017-09-01,103.65
2017-10-01,103.44
2017-11-01,103.15
2017-12-01,103.02
2018-01-01,103.27
2018-02-01,103.62
2018-03-01,103.76
2018-04-01,103.46
2018-05-01,103.32
