Date,UDXTNO
1992-02-01,84643000000.00
1992-03-01,91363000000.00
1992-04-01,84732000000.00
1992-05-01,85116000000.00
1992-06-01,94524000000.00
1992-07-01,80161000000.00
1992-08-01,84469000000.00
1992-09-01,94179000000.00
1992-10-01,89245000000.00
1992-11-01,88548000000.00
1992-12-01,93723000000.00
1993-01-01,84328000000.00
1993-02-01,89848000000.00
1993-03-01,99296000000.00
1993-04-01,90036000000.00
1993-05-01,88664000000.00
1993-06-01,97094000000.00
1993-07-01,83781000000.00
1993-08-01,91103000000.00
1993-09-01,100405000000.00
1993-10-01,96923000000.00
1993-11-01,94636000000.00
1993-12-01,99982000000.00
1994-01-01,90069000000.00
1994-02-01,98119000000.00
1994-03-01,106145000000.00
1994-04-01,98288000000.00
1994-05-01,100127000000.00
1994-06-01,111810000000.00
1994-07-01,93505000000.00
1994-08-01,102756000000.00
1994-09-01,111806000000.00
1994-10-01,109083000000.00
1994-11-01,106210000000.00
1994-12-01,110464000000.00
1995-01-01,104187000000.00
1995-02-01,109439000000.00
1995-03-01,119026000000.00
1995-04-01,106139000000.00
1995-05-01,110142000000.00
1995-06-01,118062000000.00
1995-07-01,97432000000.00
1995-08-01,110584000000.00
1995-09-01,120134000000.00
1995-10-01,117266000000.00
1995-11-01,112852000000.00
1995-12-01,116245000000.00
1996-01-01,104893000000.00
1996-02-01,114544000000.00
1996-03-01,122026000000.00
1996-04-01,111929000000.00
1996-05-01,115546000000.00
1996-06-01,124939000000.00
1996-07-01,106428000000.00
1996-08-01,115085000000.00
1996-09-01,124361000000.00
1996-10-01,121807000000.00
1996-11-01,117077000000.00
1996-12-01,118134000000.00
1997-01-01,109759000000.00
1997-02-01,123467000000.00
1997-03-01,132288000000.00
1997-04-01,122855000000.00
1997-05-01,120379000000.00
1997-06-01,136503000000.00
1997-07-01,117998000000.00
1997-08-01,122604000000.00
1997-09-01,141294000000.00
1997-10-01,129628000000.00
1997-11-01,123309000000.00
1997-12-01,130656000000.00
1998-01-01,116888000000.00
1998-02-01,130198000000.00
1998-03-01,140080000000.00
1998-04-01,124334000000.00
1998-05-01,125526000000.00
