Date,SUUR0000SAE
1999-12-01,100.00
2000-01-01,100.20
2000-02-01,99.50
2000-03-01,99.00
2000-04-01,98.60
2000-05-01,98.40
2000-06-01,97.50
2000-07-01,97.70
2000-08-01,98.00
2000-09-01,98.30
2000-10-01,98.70
2000-11-01,98.00
2000-12-01,98.00
2001-01-01,97.60
2001-02-01,97.40
2001-03-01,97.40
2001-04-01,97.00
2001-05-01,96.70
2001-06-01,96.70
2001-07-01,97.00
2001-08-01,97.70
2001-09-01,98.30
2001-10-01,98.50
2001-11-01,98.30
2001-12-01,97.90
2002-01-01,97.90
2002-02-01,98.00
2002-03-01,97.40
2002-04-01,96.90
2002-05-01,97.00
2002-06-01,97.30
2002-07-01,97.90
2002-08-01,99.30
2002-09-01,100.00
2002-10-01,99.90
2002-11-01,99.60
2002-12-01,99.50
2003-01-01,99.80
2003-02-01,99.90
2003-03-01,99.50
2003-04-01,99.00
2003-05-01,98.50
2003-06-01,97.90
2003-07-01,98.10
2003-08-01,99.40
2003-09-01,100.20
2003-10-01,100.00
2003-11-01,99.80
2003-12-01,99.90
2004-01-01,100.20
2004-02-01,100.30
2004-03-01,100.10
2004-04-01,99.70
2004-05-01,99.40
2004-06-01,99.60
2004-07-01,99.50
2004-08-01,100.60
2004-09-01,101.80
2004-10-01,101.30
2004-11-01,101.40
2004-12-01,101.20
2005-01-01,101.20
2005-02-01,101.20
2005-03-01,101.20
2005-04-01,101.30
2005-05-01,101.00
2005-06-01,100.90
2005-07-01,100.90
2005-08-01,101.70
2005-09-01,103.30
2005-10-01,103.10
2005-11-01,103.10
2005-12-01,103.00
2006-01-01,103.20
2006-02-01,103.20
2006-03-01,103.20
2006-04-01,103.30
2006-05-01,103.10
2006-06-01,103.30
2006-07-01,103.50
2006-08-01,104.50
2006-09-01,105.40
2006-10-01,105.10
2006-11-01,104.50
2006-12-01,104.20
2007-01-01,103.98
2007-02-01,104.08
2007-03-01,104.22
2007-04-01,104.34
2007-05-01,104.58
2007-06-01,104.34
2007-07-01,104.43
2007-08-01,105.64
2007-09-01,106.48
2007-10-01,106.51
2007-11-01,106.11
2007-12-01,106.21
2008-01-01,106.40
2008-02-01,106.39
2008-03-01,106.42
2008-04-01,106.52
2008-05-01,106.71
2008-06-01,107.08
2008-07-01,107.49
2008-08-01,108.82
2008-09-01,109.73
2008-10-01,109.90
2008-11-01,109.99
2008-12-01,110.08
2009-01-01,110.22
2009-02-01,110.18
2009-03-01,110.08
2009-04-01,110.14
2009-05-01,110.10
2009-06-01,110.06
2009-07-01,110.16
2009-08-01,111.28
2009-09-01,112.14
2009-10-01,112.28
2009-11-01,111.78
2009-12-01,111.74
2010-01-01,111.90
2010-02-01,111.81
2010-03-01,111.91
2010-04-01,111.96
2010-05-01,111.82
2010-06-01,111.80
2010-07-01,111.99
2010-08-01,112.96
2010-09-01,113.41
2010-10-01,113.14
2010-11-01,113.03
2010-12-01,112.52
2011-01-01,112.54
2011-02-01,112.55
2011-03-01,112.39
2011-04-01,112.42
2011-05-01,112.26
2011-06-01,112.18
2011-07-01,112.22
2011-08-01,113.47
2011-09-01,114.20
2011-10-01,114.38
2011-11-01,114.20
2011-12-01,114.09
2012-01-01,114.31
2012-02-01,114.34
2012-03-01,114.36
2012-04-01,114.44
2012-05-01,114.55
2012-06-01,114.47
2012-07-01,114.42
2012-08-01,114.92
2012-09-01,115.57
2012-10-01,115.65
2012-11-01,115.58
2012-12-01,115.50
2013-01-01,115.82
2013-02-01,116.02
2013-03-01,116.13
2013-04-01,115.63
2013-05-01,115.52
2013-06-01,115.39
2013-07-01,115.41
2013-08-01,116.11
2013-09-01,116.56
2013-10-01,116.58
2013-11-01,116.53
2013-12-01,116.46
2014-01-01,116.50
2014-02-01,116.46
2014-03-01,116.56
2014-04-01,116.70
2014-05-01,116.56
2014-06-01,116.44
2014-07-01,116.62
2014-08-01,117.19
2014-09-01,117.51
2014-10-01,117.08
2014-11-01,116.69
2014-12-01,116.28
2015-01-01,116.39
2015-02-01,116.33
2015-03-01,116.24
2015-04-01,116.27
2015-05-01,115.89
2015-06-01,115.88
2015-07-01,115.92
2015-08-01,116.54
2015-09-01,117.31
2015-10-01,117.54
2015-11-01,117.72
2015-12-01,117.47
2016-01-01,117.46
2016-02-01,117.21
2016-03-01,117.35
2016-04-01,117.35
2016-05-01,116.95
2016-06-01,116.86
2016-07-01,116.77
2016-08-01,117.29
2016-09-01,117.24
2016-10-01,117.05
2016-11-01,117.08
2016-12-01,116.99
2017-01-01,116.89
2017-02-01,116.54
2017-03-01,113.64
2017-04-01,113.13
2017-05-01,112.96
2017-06-01,112.80
2017-07-01,112.69
2017-08-01,112.91
2017-09-01,113.29
2017-10-01,113.54
2017-11-01,113.71
2017-12-01,113.66
2018-01-01,113.62
2018-02-01,113.35
2018-03-01,113.11
2018-04-01,113.04
2018-05-01,113.30
