Date,U33CTI
1992-01-01,2923000000.00
1992-02-01,2891000000.00
1992-03-01,2856000000.00
1992-04-01,2805000000.00
1992-05-01,2789000000.00
1992-06-01,2767000000.00
1992-07-01,2694000000.00
1992-08-01,2696000000.00
1992-09-01,2749000000.00
1992-10-01,2677000000.00
1992-11-01,2727000000.00
1992-12-01,2694000000.00
1993-01-01,2811000000.00
1993-02-01,2851000000.00
1993-03-01,2881000000.00
1993-04-01,2883000000.00
1993-05-01,2873000000.00
1993-06-01,2890000000.00
1993-07-01,2839000000.00
1993-08-01,2876000000.00
1993-09-01,2885000000.00
1993-10-01,2895000000.00
1993-11-01,2844000000.00
1993-12-01,2797000000.00
1994-01-01,2913000000.00
1994-02-01,2888000000.00
1994-03-01,2943000000.00
1994-04-01,2914000000.00
1994-05-01,2911000000.00
1994-06-01,2886000000.00
1994-07-01,2880000000.00
1994-08-01,2893000000.00
1994-09-01,2885000000.00
1994-10-01,2945000000.00
1994-11-01,3048000000.00
1994-12-01,3035000000.00
1995-01-01,3101000000.00
1995-02-01,3216000000.00
1995-03-01,3294000000.00
1995-04-01,3305000000.00
1995-05-01,3368000000.00
1995-06-01,3353000000.00
1995-07-01,3247000000.00
1995-08-01,3290000000.00
1995-09-01,3345000000.00
1995-10-01,3357000000.00
1995-11-01,3360000000.00
1995-12-01,3306000000.00
1996-01-01,3398000000.00
1996-02-01,3499000000.00
1996-03-01,3456000000.00
1996-04-01,3445000000.00
1996-05-01,3459000000.00
1996-06-01,3459000000.00
1996-07-01,3397000000.00
1996-08-01,3419000000.00
1996-09-01,3406000000.00
1996-10-01,3509000000.00
1996-11-01,3547000000.00
1996-12-01,3448000000.00
1997-01-01,3478000000.00
1997-02-01,3528000000.00
1997-03-01,3508000000.00
1997-04-01,3504000000.00
1997-05-01,3487000000.00
1997-06-01,3501000000.00
1997-07-01,3483000000.00
1997-08-01,3486000000.00
1997-09-01,3516000000.00
1997-10-01,3524000000.00
1997-11-01,3556000000.00
1997-12-01,3536000000.00
1998-01-01,3542000000.00
1998-02-01,3653000000.00
1998-03-01,3613000000.00
1998-04-01,3686000000.00
1998-05-01,3681000000.00
1998-06-01,3818000000.00
1998-07-01,3780000000.00
1998-08-01,3766000000.00
1998-09-01,3808000000.00
1998-10-01,3842000000.00
1998-11-01,3908000000.00
1998-12-01,3797000000.00
1999-01-01,3772000000.00
1999-02-01,3826000000.00
1999-03-01,3828000000.00
1999-04-01,3843000000.00
1999-05-01,3822000000.00
1999-06-01,3778000000.00
1999-07-01,3755000000.00
1999-08-01,3724000000.00
1999-09-01,3746000000.00
1999-10-01,3826000000.00
1999-11-01,3822000000.00
1999-12-01,3839000000.00
2000-01-01,3822000000.00
2000-02-01,3842000000.00
2000-03-01,3702000000.00
2000-04-01,3643000000.00
2000-05-01,3573000000.00
2000-06-01,3599000000.00
2000-07-01,3600000000.00
2000-08-01,3601000000.00
2000-09-01,3618000000.00
2000-10-01,3744000000.00
2000-11-01,3835000000.00
2000-12-01,3928000000.00
2001-01-01,3983000000.00
2001-02-01,4020000000.00
2001-03-01,3988000000.00
2001-04-01,3864000000.00
2001-05-01,3758000000.00
2001-06-01,3631000000.00
2001-07-01,3617000000.00
2001-08-01,3541000000.00
2001-09-01,3493000000.00
2001-10-01,3511000000.00
2001-11-01,3542000000.00
2001-12-01,3431000000.00
2002-01-01,3586000000.00
2002-02-01,3704000000.00
2002-03-01,3647000000.00
2002-04-01,3581000000.00
2002-05-01,3487000000.00
2002-06-01,3380000000.00
2002-07-01,3368000000.00
2002-08-01,3339000000.00
2002-09-01,3302000000.00
2002-10-01,3341000000.00
2002-11-01,3340000000.00
2002-12-01,3137000000.00
2003-01-01,3199000000.00
2003-02-01,3235000000.00
2003-03-01,3192000000.00
2003-04-01,3110000000.00
2003-05-01,2989000000.00
2003-06-01,2911000000.00
2003-07-01,2826000000.00
2003-08-01,2839000000.00
2003-09-01,2801000000.00
2003-10-01,2801000000.00
2003-11-01,2789000000.00
2003-12-01,2714000000.00
2004-01-01,2915000000.00
2004-02-01,3023000000.00
2004-03-01,3024000000.00
2004-04-01,2989000000.00
2004-05-01,3004000000.00
2004-06-01,3062000000.00
2004-07-01,3156000000.00
2004-08-01,3137000000.00
2004-09-01,3140000000.00
2004-10-01,3196000000.00
2004-11-01,3245000000.00
2004-12-01,3252000000.00
2005-01-01,3342000000.00
2005-02-01,3489000000.00
2005-03-01,3523000000.00
2005-04-01,3570000000.00
2005-05-01,3605000000.00
2005-06-01,3615000000.00
2005-07-01,3611000000.00
2005-08-01,3667000000.00
2005-09-01,3721000000.00
2005-10-01,3777000000.00
2005-11-01,3852000000.00
2005-12-01,3789000000.00
2006-01-01,3948000000.00
2006-02-01,4116000000.00
2006-03-01,4202000000.00
2006-04-01,4411000000.00
2006-05-01,4508000000.00
2006-06-01,4564000000.00
2006-07-01,4620000000.00
2006-08-01,4698000000.00
2006-09-01,4919000000.00
2006-10-01,5080000000.00
2006-11-01,5102000000.00
2006-12-01,4985000000.00
2007-01-01,5077000000.00
2007-02-01,5237000000.00
2007-03-01,5240000000.00
2007-04-01,5208000000.00
2007-05-01,5172000000.00
2007-06-01,5113000000.00
2007-07-01,5037000000.00
2007-08-01,4999000000.00
2007-09-01,4953000000.00
2007-10-01,5054000000.00
2007-11-01,5111000000.00
2007-12-01,4886000000.00
2008-01-01,5058000000.00
2008-02-01,5241000000.00
2008-03-01,5291000000.00
2008-04-01,5375000000.00
2008-05-01,5384000000.00
2008-06-01,5357000000.00
2008-07-01,5382000000.00
2008-08-01,5336000000.00
2008-09-01,5542000000.00
2008-10-01,5442000000.00
2008-11-01,5417000000.00
2008-12-01,5303000000.00
2009-01-01,5406000000.00
2009-02-01,5597000000.00
2009-03-01,5135000000.00
2009-04-01,5058000000.00
2009-05-01,4836000000.00
2009-06-01,4510000000.00
2009-07-01,4339000000.00
2009-08-01,4288000000.00
2009-09-01,4234000000.00
2009-10-01,4138000000.00
2009-11-01,4083000000.00
2009-12-01,3868000000.00
2010-01-01,3888000000.00
2010-02-01,3959000000.00
2010-03-01,3857000000.00
2010-04-01,3889000000.00
2010-05-01,3878000000.00
2010-06-01,3941000000.00
2010-07-01,3903000000.00
2010-08-01,3958000000.00
2010-09-01,4066000000.00
2010-10-01,4078000000.00
2010-11-01,4194000000.00
2010-12-01,4180000000.00
2011-01-01,4190000000.00
2011-02-01,4411000000.00
2011-03-01,4556000000.00
2011-04-01,4578000000.00
2011-05-01,4686000000.00
2011-06-01,4859000000.00
2011-07-01,4861000000.00
2011-08-01,5142000000.00
2011-09-01,5158000000.00
2011-10-01,5145000000.00
2011-11-01,5435000000.00
2011-12-01,5432000000.00
2012-01-01,5656000000.00
2012-02-01,5831000000.00
2012-03-01,6073000000.00
2012-04-01,6073000000.00
2012-05-01,6138000000.00
2012-06-01,6222000000.00
2012-07-01,6205000000.00
2012-08-01,6265000000.00
2012-09-01,6269000000.00
2012-10-01,6213000000.00
2012-11-01,6077000000.00
2012-12-01,5718000000.00
2013-01-01,5643000000.00
2013-02-01,5706000000.00
2013-03-01,5849000000.00
2013-04-01,5822000000.00
2013-05-01,5755000000.00
2013-06-01,5654000000.00
2013-07-01,5548000000.00
2013-08-01,5544000000.00
2013-09-01,5663000000.00
2013-10-01,5802000000.00
2013-11-01,5695000000.00
2013-12-01,5583000000.00
2014-01-01,5735000000.00
2014-02-01,5604000000.00
2014-03-01,5519000000.00
2014-04-01,5480000000.00
2014-05-01,5410000000.00
2014-06-01,5564000000.00
2014-07-01,5633000000.00
2014-08-01,5652000000.00
2014-09-01,5772000000.00
2014-10-01,5702000000.00
2014-11-01,5639000000.00
2014-12-01,5635000000.00
2015-01-01,5650000000.00
