Date,PRMNCG01USQ661S
1955-01-01,27.77
1955-04-01,28.53
1955-07-01,28.69
1955-10-01,29.48
1956-01-01,29.58
1956-04-01,29.52
1956-07-01,29.58
1956-10-01,29.82
1957-01-01,30.39
1957-04-01,30.33
1957-07-01,30.66
1957-10-01,30.12
1958-01-01,29.36
1958-04-01,29.31
1958-07-01,30.24
1958-10-01,31.35
1959-01-01,32.45
1959-04-01,33.10
1959-07-01,33.46
1959-10-01,33.12
1960-01-01,34.41
1960-04-01,34.60
1960-07-01,34.19
1960-10-01,33.96
1961-01-01,33.45
1961-04-01,34.70
1961-07-01,35.37
1961-10-01,36.45
1962-01-01,36.69
1962-04-01,37.32
1962-07-01,37.65
1962-10-01,37.79
1963-01-01,38.79
1963-04-01,39.33
1963-07-01,39.65
1963-10-01,40.22
1964-01-01,40.66
1964-04-01,41.72
1964-07-01,42.15
1964-10-01,42.29
1965-01-01,44.23
1965-04-01,44.64
1965-07-01,45.01
1965-10-01,45.93
1966-01-01,46.62
1966-04-01,47.12
1966-07-01,47.12
1966-10-01,47.97
1967-01-01,47.86
1967-04-01,47.98
1967-07-01,48.04
1967-10-01,49.87
1968-01-01,50.35
1968-04-01,50.84
1968-07-01,51.49
1968-10-01,52.51
1969-01-01,53.24
1969-04-01,52.78
1969-07-01,53.78
1969-10-01,53.21
1970-01-01,52.53
1970-04-01,53.11
1970-07-01,52.75
1970-10-01,52.18
1971-01-01,54.37
1971-04-01,55.07
1971-07-01,55.96
1971-10-01,57.28
1972-01-01,58.76
1972-04-01,59.41
1972-07-01,60.34
1972-10-01,62.11
1973-01-01,63.03
1973-04-01,62.86
1973-07-01,62.48
1973-10-01,62.95
1974-01-01,61.35
1974-04-01,61.60
1974-07-01,61.67
1974-10-01,59.52
1975-01-01,55.88
1975-04-01,57.33
1975-07-01,59.94
1975-10-01,61.06
1976-01-01,62.42
1976-04-01,62.84
1976-07-01,63.35
1976-10-01,64.85
1977-01-01,66.08
1977-04-01,67.03
1977-07-01,67.58
1977-10-01,68.51
1978-01-01,68.35
1978-04-01,69.94
1978-07-01,69.65
1978-10-01,69.80
1979-01-01,69.56
1979-04-01,68.51
1979-07-01,67.59
1979-10-01,67.69
1980-01-01,67.38
1980-04-01,64.98
1980-07-01,64.63
1980-10-01,65.82
1981-01-01,65.84
1981-04-01,66.20
1981-07-01,66.40
1981-10-01,66.16
1982-01-01,65.54
1982-04-01,66.01
1982-07-01,66.37
1982-10-01,65.93
1983-01-01,66.27
1983-04-01,67.72
1983-07-01,69.55
1983-10-01,70.02
1984-01-01,71.52
1984-04-01,71.66
1984-07-01,71.25
1984-10-01,71.84
1985-01-01,71.99
1985-04-01,71.87
1985-07-01,72.17
1985-10-01,72.93
1986-01-01,73.87
1986-04-01,74.23
1986-07-01,74.83
1986-10-01,75.80
1987-01-01,76.40
1987-04-01,77.18
1987-07-01,78.20
1987-10-01,79.65
1988-01-01,80.29
1988-04-01,80.70
1988-07-01,80.70
1988-10-01,81.43
1989-01-01,81.87
1989-04-01,81.30
1989-07-01,80.11
1989-10-01,81.22
1990-01-01,81.27
1990-04-01,81.88
1990-07-01,82.13
1990-10-01,80.65
1991-01-01,79.87
1991-04-01,80.93
1991-07-01,82.21
1991-10-01,82.54
1992-01-01,81.91
1992-04-01,83.68
1992-07-01,84.55
1992-10-01,85.62
1993-01-01,86.22
1993-04-01,86.01
1993-07-01,86.59
1993-10-01,87.31
1994-01-01,88.43
1994-04-01,89.77
1994-07-01,90.49
1994-10-01,91.72
1995-01-01,92.18
1995-04-01,92.13
1995-07-01,92.97
1995-10-01,93.07
1996-01-01,93.05
1996-04-01,94.34
1996-07-01,94.42
1996-10-01,95.26
1997-01-01,96.12
1997-04-01,96.26
1997-07-01,98.11
1997-10-01,100.50
1998-01-01,100.75
1998-04-01,101.31
1998-07-01,101.40
1998-10-01,101.89
1999-01-01,102.90
1999-04-01,103.10
1999-07-01,102.95
1999-10-01,105.21
2000-01-01,104.95
2000-04-01,105.99
2000-07-01,105.60
2000-10-01,105.50
2001-01-01,104.59
2001-04-01,104.70
2001-07-01,104.10
2001-10-01,104.51
2002-01-01,105.76
2002-04-01,106.56
2002-07-01,107.04
2002-10-01,107.04
2003-01-01,108.10
2003-04-01,107.43
2003-07-01,108.18
2003-10-01,108.33
2004-01-01,109.05
2004-04-01,108.96
2004-07-01,108.71
2004-10-01,110.07
2005-01-01,111.16
2005-04-01,111.67
2005-07-01,112.50
2005-10-01,112.94
2006-01-01,112.35
2006-04-01,112.93
2006-07-01,112.72
2006-10-01,112.86
2007-01-01,113.12
2007-04-01,113.31
2007-07-01,112.90
2007-10-01,111.55
2008-01-01,110.39
2008-04-01,108.07
2008-07-01,105.48
2008-10-01,103.41
2009-01-01,99.28
2009-04-01,97.61
2009-07-01,98.90
2009-10-01,99.61
2010-01-01,99.54
2010-04-01,99.80
2010-07-01,100.51
2010-10-01,100.15
2011-01-01,100.72
2011-04-01,100.79
2011-07-01,101.66
2011-10-01,100.96
2012-01-01,99.90
2012-04-01,99.85
2012-07-01,99.50
2012-10-01,99.40
2013-01-01,100.15
2013-04-01,100.36
2013-07-01,99.92
2013-10-01,100.96
2014-01-01,100.85
2014-04-01,101.06
2014-07-01,100.80
2014-10-01,101.83
2015-01-01,102.56
2015-04-01,102.16
2015-07-01,103.38
2015-10-01,102.39
2016-01-01,103.00
2016-04-01,103.31
2016-07-01,103.66
2016-10-01,103.17
2017-01-01,102.28
2017-04-01,103.36
2017-07-01,103.09
2017-10-01,104.49
2018-01-01,105.09
