Date,UNXAUO
1992-01-01,91182000000.00
1992-02-01,91702000000.00
1992-03-01,91045000000.00
1992-04-01,91505000000.00
1992-05-01,91579000000.00
1992-06-01,91307000000.00
1992-07-01,91171000000.00
1992-08-01,90459000000.00
1992-09-01,90356000000.00
1992-10-01,90708000000.00
1992-11-01,91671000000.00
1992-12-01,91510000000.00
1993-01-01,92261000000.00
1993-02-01,92579000000.00
1993-03-01,91557000000.00
1993-04-01,92404000000.00
1993-05-01,91793000000.00
1993-06-01,91280000000.00
1993-07-01,91843000000.00
1993-08-01,92200000000.00
1993-09-01,91515000000.00
1993-10-01,92612000000.00
1993-11-01,92859000000.00
1993-12-01,94190000000.00
1994-01-01,95377000000.00
1994-02-01,96462000000.00
1994-03-01,96946000000.00
1994-04-01,98497000000.00
1994-05-01,98077000000.00
1994-06-01,99340000000.00
1994-07-01,100463000000.00
1994-08-01,101123000000.00
1994-09-01,101815000000.00
1994-10-01,104659000000.00
1994-11-01,105651000000.00
1994-12-01,105324000000.00
1995-01-01,109191000000.00
1995-02-01,110452000000.00
1995-03-01,111176000000.00
1995-04-01,111930000000.00
1995-05-01,112797000000.00
1995-06-01,112726000000.00
1995-07-01,112982000000.00
1995-08-01,112279000000.00
1995-09-01,113187000000.00
1995-10-01,116045000000.00
1995-11-01,117046000000.00
1995-12-01,116364000000.00
1996-01-01,119060000000.00
1996-02-01,121539000000.00
1996-03-01,120996000000.00
1996-04-01,120730000000.00
1996-05-01,120674000000.00
1996-06-01,119521000000.00
1996-07-01,121311000000.00
1996-08-01,120621000000.00
1996-09-01,118860000000.00
1996-10-01,121462000000.00
1996-11-01,121610000000.00
1996-12-01,118243000000.00
1997-01-01,121472000000.00
1997-02-01,124183000000.00
1997-03-01,124886000000.00
1997-04-01,125536000000.00
1997-05-01,124684000000.00
1997-06-01,123298000000.00
1997-07-01,126251000000.00
1997-08-01,126244000000.00
1997-09-01,128619000000.00
1997-10-01,130093000000.00
1997-11-01,130354000000.00
1997-12-01,129288000000.00
1998-01-01,132426000000.00
1998-02-01,135077000000.00
1998-03-01,133906000000.00
1998-04-01,133131000000.00
1998-05-01,133349000000.00
1998-06-01,132025000000.00
1998-07-01,131919000000.00
1998-08-01,131492000000.00
1998-09-01,132404000000.00
1998-10-01,131784000000.00
1998-11-01,130941000000.00
1998-12-01,131850000000.00
1999-01-01,133955000000.00
1999-02-01,135989000000.00
1999-03-01,137554000000.00
1999-04-01,138582000000.00
1999-05-01,138799000000.00
1999-06-01,135825000000.00
1999-07-01,137270000000.00
1999-08-01,136999000000.00
1999-09-01,139383000000.00
1999-10-01,140967000000.00
1999-11-01,142687000000.00
1999-12-01,146897000000.00
2000-01-01,151901000000.00
2000-02-01,152952000000.00
2000-03-01,154141000000.00
2000-04-01,155823000000.00
2000-05-01,156126000000.00
2000-06-01,159349000000.00
2000-07-01,160456000000.00
2000-08-01,159464000000.00
2000-09-01,160389000000.00
2000-10-01,161078000000.00
2000-11-01,160334000000.00
2000-12-01,157034000000.00
2001-01-01,157979000000.00
2001-02-01,158813000000.00
2001-03-01,155472000000.00
2001-04-01,153013000000.00
2001-05-01,151831000000.00
2001-06-01,147849000000.00
2001-07-01,145986000000.00
2001-08-01,143249000000.00
2001-09-01,139837000000.00
2001-10-01,137334000000.00
2001-11-01,137278000000.00
2001-12-01,135690000000.00
2002-01-01,134672000000.00
2002-02-01,135187000000.00
2002-03-01,131397000000.00
2002-04-01,131198000000.00
2002-05-01,130218000000.00
2002-06-01,125928000000.00
2002-07-01,124859000000.00
2002-08-01,122530000000.00
2002-09-01,118978000000.00
2002-10-01,118744000000.00
2002-11-01,117333000000.00
2002-12-01,115243000000.00
2003-01-01,116938000000.00
2003-02-01,118375000000.00
2003-03-01,120382000000.00
2003-04-01,121147000000.00
2003-05-01,122026000000.00
2003-06-01,120656000000.00
2003-07-01,120237000000.00
2003-08-01,119589000000.00
2003-09-01,119875000000.00
2003-10-01,121131000000.00
2003-11-01,122085000000.00
2003-12-01,122802000000.00
2004-01-01,124660000000.00
2004-02-01,127973000000.00
2004-03-01,131600000000.00
2004-04-01,132866000000.00
2004-05-01,133940000000.00
2004-06-01,133337000000.00
2004-07-01,134133000000.00
2004-08-01,131707000000.00
2004-09-01,134377000000.00
2004-10-01,134841000000.00
2004-11-01,136675000000.00
2004-12-01,137653000000.00
2005-01-01,141255000000.00
2005-02-01,144876000000.00
2005-03-01,146288000000.00
2005-04-01,148476000000.00
2005-05-01,148164000000.00
2005-06-01,148892000000.00
2005-07-01,149449000000.00
2005-08-01,150456000000.00
2005-09-01,150934000000.00
2005-10-01,153160000000.00
2005-11-01,154264000000.00
2005-12-01,154510000000.00
2006-01-01,159406000000.00
2006-02-01,163458000000.00
2006-03-01,167049000000.00
2006-04-01,168874000000.00
2006-05-01,170106000000.00
2006-06-01,170441000000.00
2006-07-01,172144000000.00
2006-08-01,171703000000.00
2006-09-01,176049000000.00
2006-10-01,180914000000.00
2006-11-01,183892000000.00
2006-12-01,185384000000.00
2007-01-01,190942000000.00
2007-02-01,194097000000.00
2007-03-01,197438000000.00
2007-04-01,200041000000.00
2007-05-01,200101000000.00
2007-06-01,199212000000.00
2007-07-01,201223000000.00
2007-08-01,201089000000.00
2007-09-01,200295000000.00
2007-10-01,201449000000.00
2007-11-01,201662000000.00
2007-12-01,203387000000.00
2008-01-01,208661000000.00
2008-02-01,212842000000.00
2008-03-01,214441000000.00
2008-04-01,218154000000.00
2008-05-01,219721000000.00
2008-06-01,220398000000.00
2008-07-01,223194000000.00
2008-08-01,223429000000.00
2008-09-01,221557000000.00
2008-10-01,219377000000.00
2008-11-01,217276000000.00
2008-12-01,210422000000.00
2009-01-01,205962000000.00
2009-02-01,201901000000.00
2009-03-01,196813000000.00
2009-04-01,191998000000.00
2009-05-01,188018000000.00
2009-06-01,184607000000.00
2009-07-01,182440000000.00
2009-08-01,179017000000.00
2009-09-01,179352000000.00
2009-10-01,178460000000.00
2009-11-01,176946000000.00
2009-12-01,176531000000.00
2010-01-01,176431000000.00
2010-02-01,177133000000.00
2010-03-01,178643000000.00
2010-04-01,176186000000.00
2010-05-01,177400000000.00
2010-06-01,179797000000.00
2010-07-01,179521000000.00
2010-08-01,180228000000.00
2010-09-01,183008000000.00
2010-10-01,183577000000.00
2010-11-01,185077000000.00
2010-12-01,187276000000.00
2011-01-01,190976000000.00
2011-02-01,194133000000.00
2011-03-01,197034000000.00
2011-04-01,199401000000.00
2011-05-01,202272000000.00
2011-06-01,203431000000.00
2011-07-01,205662000000.00
