Date,U33GNO
1992-02-01,1313000000.00
1992-03-01,1284000000.00
1992-04-01,1313000000.00
1992-05-01,1409000000.00
1992-06-01,1405000000.00
1992-07-01,1266000000.00
1992-08-01,1258000000.00
1992-09-01,1476000000.00
1992-10-01,1427000000.00
1992-11-01,1831000000.00
1992-12-01,1314000000.00
1993-01-01,1154000000.00
1993-02-01,1239000000.00
1993-03-01,1215000000.00
1993-04-01,1144000000.00
1993-05-01,1264000000.00
1993-06-01,1338000000.00
1993-07-01,1207000000.00
1993-08-01,1279000000.00
1993-09-01,1410000000.00
1993-10-01,1370000000.00
1993-11-01,1326000000.00
1993-12-01,1259000000.00
1994-01-01,1212000000.00
1994-02-01,1308000000.00
1994-03-01,1307000000.00
1994-04-01,1312000000.00
1994-05-01,1425000000.00
1994-06-01,1613000000.00
1994-07-01,1132000000.00
1994-08-01,1259000000.00
1994-09-01,1537000000.00
1994-10-01,1586000000.00
1994-11-01,1549000000.00
1994-12-01,1469000000.00
1995-01-01,1216000000.00
1995-02-01,1374000000.00
1995-03-01,1197000000.00
1995-04-01,1289000000.00
1995-05-01,1425000000.00
1995-06-01,1471000000.00
1995-07-01,1142000000.00
1995-08-01,1204000000.00
1995-09-01,1341000000.00
1995-10-01,1484000000.00
1995-11-01,1460000000.00
1995-12-01,1237000000.00
1996-01-01,1150000000.00
1996-02-01,1344000000.00
1996-03-01,1186000000.00
1996-04-01,1191000000.00
1996-05-01,1273000000.00
1996-06-01,1380000000.00
1996-07-01,1165000000.00
1996-08-01,1009000000.00
1996-09-01,1162000000.00
1996-10-01,1213000000.00
1996-11-01,1148000000.00
1996-12-01,1091000000.00
1997-01-01,1144000000.00
1997-02-01,1141000000.00
1997-03-01,1260000000.00
1997-04-01,1235000000.00
1997-05-01,1242000000.00
1997-06-01,1249000000.00
1997-07-01,1084000000.00
1997-08-01,1100000000.00
1997-09-01,1316000000.00
1997-10-01,1295000000.00
1997-11-01,1408000000.00
1997-12-01,1391000000.00
1998-01-01,1087000000.00
1998-02-01,1175000000.00
1998-03-01,1286000000.00
1998-04-01,1149000000.00
1998-05-01,1178000000.00
1998-06-01,1351000000.00
1998-07-01,1225000000.00
1998-08-01,1137000000.00
1998-09-01,1478000000.00
1998-10-01,1255000000.00
1998-11-01,1337000000.00
1998-12-01,1196000000.00
1999-01-01,1027000000.00
1999-02-01,979000000.00
1999-03-01,1197000000.00
1999-04-01,1207000000.00
1999-05-01,1187000000.00
1999-06-01,1437000000.00
1999-07-01,1182000000.00
1999-08-01,1209000000.00
1999-09-01,1562000000.00
1999-10-01,1323000000.00
1999-11-01,1299000000.00
1999-12-01,1238000000.00
2000-01-01,1021000000.00
2000-02-01,927000000.00
2000-03-01,1105000000.00
2000-04-01,919000000.00
2000-05-01,958000000.00
2000-06-01,974000000.00
2000-07-01,757000000.00
2000-08-01,910000000.00
2000-09-01,1087000000.00
2000-10-01,799000000.00
2000-11-01,839000000.00
2000-12-01,1162000000.00
2001-01-01,618000000.00
2001-02-01,775000000.00
2001-03-01,886000000.00
2001-04-01,763000000.00
2001-05-01,823000000.00
2001-06-01,976000000.00
2001-07-01,888000000.00
2001-08-01,800000000.00
2001-09-01,760000000.00
2001-10-01,826000000.00
2001-11-01,642000000.00
2001-12-01,658000000.00
2002-01-01,563000000.00
2002-02-01,568000000.00
2002-03-01,686000000.00
2002-04-01,642000000.00
2002-05-01,681000000.00
2002-06-01,633000000.00
2002-07-01,619000000.00
2002-08-01,576000000.00
2002-09-01,630000000.00
2002-10-01,660000000.00
2002-11-01,628000000.00
2002-12-01,635000000.00
2003-01-01,490000000.00
2003-02-01,594000000.00
2003-03-01,634000000.00
2003-04-01,519000000.00
2003-05-01,521000000.00
2003-06-01,655000000.00
2003-07-01,577000000.00
2003-08-01,588000000.00
2003-09-01,651000000.00
2003-10-01,705000000.00
2003-11-01,686000000.00
2003-12-01,709000000.00
2004-01-01,536000000.00
2004-02-01,619000000.00
2004-03-01,745000000.00
2004-04-01,650000000.00
2004-05-01,591000000.00
2004-06-01,628000000.00
2004-07-01,597000000.00
2004-08-01,547000000.00
2004-09-01,627000000.00
2004-10-01,692000000.00
2004-11-01,677000000.00
2004-12-01,623000000.00
2005-01-01,546000000.00
2005-02-01,500000000.00
2005-03-01,717000000.00
2005-04-01,605000000.00
2005-05-01,552000000.00
2005-06-01,763000000.00
2005-07-01,619000000.00
2005-08-01,627000000.00
2005-09-01,1007000000.00
2005-10-01,791000000.00
2005-11-01,730000000.00
2005-12-01,797000000.00
2006-01-01,629000000.00
2006-02-01,590000000.00
2006-03-01,793000000.00
2006-04-01,597000000.00
2006-05-01,676000000.00
2006-06-01,727000000.00
2006-07-01,651000000.00
2006-08-01,935000000.00
2006-09-01,650000000.00
2006-10-01,718000000.00
2006-11-01,802000000.00
2006-12-01,1234000000.00
2007-01-01,623000000.00
2007-02-01,575000000.00
2007-03-01,769000000.00
2007-04-01,759000000.00
2007-05-01,645000000.00
2007-06-01,705000000.00
2007-07-01,551000000.00
2007-08-01,736000000.00
2007-09-01,845000000.00
2007-10-01,688000000.00
2007-11-01,743000000.00
2007-12-01,660000000.00
2008-01-01,1012000000.00
2008-02-01,593000000.00
2008-03-01,721000000.00
2008-04-01,772000000.00
2008-05-01,744000000.00
2008-06-01,693000000.00
2008-07-01,799000000.00
2008-08-01,660000000.00
2008-09-01,1109000000.00
2008-10-01,878000000.00
2008-11-01,674000000.00
2008-12-01,833000000.00
2009-01-01,732000000.00
2009-02-01,605000000.00
2009-03-01,616000000.00
2009-04-01,543000000.00
2009-05-01,568000000.00
2009-06-01,594000000.00
2009-07-01,674000000.00
2009-08-01,670000000.00
2009-09-01,835000000.00
2009-10-01,653000000.00
2009-11-01,649000000.00
2009-12-01,852000000.00
2010-01-01,599000000.00
2010-02-01,717000000.00
2010-03-01,835000000.00
2010-04-01,747000000.00
2010-05-01,689000000.00
2010-06-01,835000000.00
2010-07-01,660000000.00
2010-08-01,778000000.00
2010-09-01,649000000.00
2010-10-01,761000000.00
2010-11-01,773000000.00
2010-12-01,400000000.00
2011-01-01,739000000.00
2011-02-01,672000000.00
2011-03-01,758000000.00
2011-04-01,604000000.00
2011-05-01,746000000.00
2011-06-01,795000000.00
2011-07-01,646000000.00
2011-08-01,729000000.00
2011-09-01,839000000.00
2011-10-01,605000000.00
2011-11-01,693000000.00
2011-12-01,418000000.00
2012-01-01,588000000.00
2012-02-01,580000000.00
2012-03-01,571000000.00
2012-04-01,559000000.00
2012-05-01,573000000.00
2012-06-01,604000000.00
2012-07-01,432000000.00
2012-08-01,476000000.00
2012-09-01,544000000.00
2012-10-01,507000000.00
2012-11-01,616000000.00
2012-12-01,318000000.00
2013-01-01,459000000.00
2013-02-01,519000000.00
2013-03-01,505000000.00
2013-04-01,667000000.00
2013-05-01,461000000.00
2013-06-01,425000000.00
2013-07-01,546000000.00
2013-08-01,532000000.00
2013-09-01,654000000.00
2013-10-01,450000000.00
2013-11-01,434000000.00
2013-12-01,531000000.00
2014-01-01,550000000.00
2014-02-01,447000000.00
2014-03-01,462000000.00
2014-04-01,503000000.00
2014-05-01,462000000.00
2014-06-01,396000000.00
2014-07-01,543000000.00
2014-08-01,507000000.00
2014-09-01,444000000.00
2014-10-01,539000000.00
2014-11-01,518000000.00
2014-12-01,553000000.00
2015-01-01,442000000.00
2015-02-01,404000000.00
2015-03-01,706000000.00
2015-04-01,717000000.00
2015-05-01,399000000.00
2015-06-01,376000000.00
2015-07-01,488000000.00
2015-08-01,549000000.00
2015-09-01,521000000.00
2015-10-01,670000000.00
2015-11-01,488000000.00
2015-12-01,541000000.00
2016-01-01,446000000.00
2016-02-01,524000000.00
2016-03-01,639000000.00
2016-04-01,473000000.00
2016-05-01,535000000.00
2016-06-01,462000000.00
2016-07-01,518000000.00
2016-08-01,628000000.00
2016-09-01,638000000.00
2016-10-01,575000000.00
2016-11-01,655000000.00
2016-12-01,645000000.00
2017-01-01,471000000.00
2017-02-01,492000000.00
2017-03-01,597000000.00
2017-04-01,502000000.00
2017-05-01,460000000.00
2017-06-01,557000000.00
2017-07-01,486000000.00
2017-08-01,308000000.00
2017-09-01,681000000.00
2017-10-01,576000000.00
2017-11-01,515000000.00
2017-12-01,714000000.00
2018-01-01,456000000.00
2018-02-01,456000000.00
2018-03-01,547000000.00
2018-04-01,396000000.00
