Date,IY2122
2012-12-01,100.00
2013-01-01,98.20
2013-02-01,101.50
2013-03-01,99.30
2013-04-01,97.60
2013-05-01,95.10
2013-06-01,94.30
2013-07-01,92.10
2013-08-01,87.80
2013-09-01,90.50
2013-10-01,92.10
2013-11-01,92.80
2013-12-01,92.10
2014-01-01,94.40
2014-02-01,93.70
2014-03-01,93.30
2014-04-01,92.80
2014-05-01,96.00
2014-06-01,98.60
2014-07-01,100.20
2014-08-01,102.40
2014-09-01,101.10
2014-10-01,98.10
2014-11-01,97.90
2014-12-01,95.40
2015-01-01,90.90
2015-02-01,89.80
2015-03-01,89.70
2015-04-01,87.90
2015-05-01,92.60
2015-06-01,89.10
2015-07-01,85.30
2015-08-01,82.60
2015-09-01,80.30
2015-10-01,76.40
2015-11-01,74.60
2015-12-01,72.30
2016-01-01,70.50
2016-02-01,71.00
2016-03-01,73.20
2016-04-01,75.60
2016-05-01,76.50
2016-06-01,78.10
2016-07-01,79.50
2016-08-01,80.30
2016-09-01,83.00
2016-10-01,83.30
2016-11-01,87.20
2016-12-01,90.80
2017-01-01,89.20
2017-02-01,94.70
2017-03-01,94.10
2017-04-01,94.90
2017-05-01,93.10
2017-06-01,91.90
2017-07-01,94.30
2017-08-01,97.10
2017-09-01,103.20
2017-10-01,104.70
2017-11-01,106.90
2017-12-01,107.40
2018-01-01,110.70
2018-02-01,114.80
2018-03-01,114.70
2018-04-01,112.90
2018-05-01,112.30
