Date,U34XUO
1992-01-01,12216000000.00
1992-02-01,12255000000.00
1992-03-01,12457000000.00
1992-04-01,12261000000.00
1992-05-01,12309000000.00
1992-06-01,12872000000.00
1992-07-01,12749000000.00
1992-08-01,12818000000.00
1992-09-01,13026000000.00
1992-10-01,12660000000.00
1992-11-01,13342000000.00
1992-12-01,13839000000.00
1993-01-01,14001000000.00
1993-02-01,13611000000.00
1993-03-01,13305000000.00
1993-04-01,13491000000.00
1993-05-01,13393000000.00
1993-06-01,13890000000.00
1993-07-01,13880000000.00
1993-08-01,13982000000.00
1993-09-01,14743000000.00
1993-10-01,15000000000.00
1993-11-01,15444000000.00
1993-12-01,15709000000.00
1994-01-01,15674000000.00
1994-02-01,16156000000.00
1994-03-01,16065000000.00
1994-04-01,16291000000.00
1994-05-01,15901000000.00
1994-06-01,16313000000.00
1994-07-01,16160000000.00
1994-08-01,15813000000.00
1994-09-01,16585000000.00
1994-10-01,16432000000.00
1994-11-01,16399000000.00
1994-12-01,17420000000.00
1995-01-01,17901000000.00
1995-02-01,17678000000.00
1995-03-01,18538000000.00
1995-04-01,19041000000.00
1995-05-01,19674000000.00
1995-06-01,19539000000.00
1995-07-01,20411000000.00
1995-08-01,20145000000.00
1995-09-01,21488000000.00
1995-10-01,23251000000.00
1995-11-01,23030000000.00
1995-12-01,23669000000.00
1996-01-01,24500000000.00
1996-02-01,25056000000.00
1996-03-01,25580000000.00
1996-04-01,25639000000.00
1996-05-01,25066000000.00
1996-06-01,24570000000.00
1996-07-01,24969000000.00
1996-08-01,24886000000.00
1996-09-01,24147000000.00
1996-10-01,25611000000.00
1996-11-01,25380000000.00
1996-12-01,23013000000.00
1997-01-01,23251000000.00
1997-02-01,24149000000.00
1997-03-01,24384000000.00
1997-04-01,24222000000.00
1997-05-01,24319000000.00
1997-06-01,25178000000.00
1997-07-01,25076000000.00
1997-08-01,24704000000.00
1997-09-01,26533000000.00
1997-10-01,26335000000.00
1997-11-01,25739000000.00
1997-12-01,25452000000.00
1998-01-01,27016000000.00
1998-02-01,28072000000.00
1998-03-01,28964000000.00
1998-04-01,28832000000.00
1998-05-01,30413000000.00
1998-06-01,30475000000.00
1998-07-01,29944000000.00
1998-08-01,29720000000.00
1998-09-01,30141000000.00
1998-10-01,30962000000.00
1998-11-01,30617000000.00
1998-12-01,30646000000.00
1999-01-01,31073000000.00
1999-02-01,32040000000.00
1999-03-01,32781000000.00
1999-04-01,32739000000.00
1999-05-01,32936000000.00
1999-06-01,33017000000.00
1999-07-01,33165000000.00
1999-08-01,32761000000.00
1999-09-01,34739000000.00
1999-10-01,37239000000.00
1999-11-01,39185000000.00
1999-12-01,42573000000.00
2000-01-01,44312000000.00
2000-02-01,44505000000.00
2000-03-01,45213000000.00
2000-04-01,46601000000.00
2000-05-01,45843000000.00
2000-06-01,50158000000.00
2000-07-01,50544000000.00
2000-08-01,49215000000.00
