Date,GDP
1995-01-01,7545296000000.00
1995-04-01,7604923000000.00
1995-07-01,7706531000000.00
1995-10-01,7799493000000.00
1996-01-01,7893146000000.00
1996-04-01,8061535000000.00
1996-07-01,8159043000000.00
1996-10-01,8287078000000.00
1997-01-01,8402060000000.00
1997-04-01,8551940000000.00
1997-07-01,8691756000000.00
1997-10-01,8788320000000.00
1998-01-01,8889732000000.00
1998-04-01,8994738000000.00
1998-07-01,9146521000000.00
1998-10-01,9325650000000.00
1999-01-01,9447103000000.00
1999-04-01,9557005000000.00
1999-07-01,9712280000000.00
1999-10-01,9926101000000.00
2000-01-01,10031031000000.00
2000-04-01,10278340000000.00
2000-07-01,10357445000000.00
2000-10-01,10472285000000.00
2001-01-01,10508121000000.00
2001-04-01,10638384000000.00
2001-07-01,10639486000000.00
2001-10-01,10701317000000.00
2002-01-01,10834445000000.00
2002-04-01,10934752000000.00
2002-07-01,11037057000000.00
2002-10-01,11103834000000.00
2003-01-01,11230078000000.00
2003-04-01,11370653000000.00
2003-07-01,11625137000000.00
2003-10-01,11816827000000.00
2004-01-01,11988403000000.00
2004-04-01,12181398000000.00
2004-07-01,12367744000000.00
2004-10-01,12562163000000.00
2005-01-01,12813729000000.00
2005-04-01,12974083000000.00
2005-07-01,13205445000000.00
2005-10-01,13381629000000.00
2006-01-01,13648904000000.00
2006-04-01,13799794000000.00
2006-07-01,13908498000000.00
2006-10-01,14066370000000.00
2007-01-01,14233226000000.00
2007-04-01,14422313000000.00
2007-07-01,14569675000000.00
2007-10-01,14685330000000.00
2008-01-01,14668445000000.00
2008-04-01,14812974000000.00
2008-07-01,14842983000000.00
2008-10-01,14549949000000.00
2009-01-01,14383885000000.00
2009-04-01,14340417000000.00
2009-07-01,14384145000000.00
2009-10-01,14566511000000.00
2010-01-01,14681063000000.00
2010-04-01,14888600000000.00
2010-07-01,15057660000000.00
2010-10-01,15230208000000.00
2011-01-01,15238371000000.00
2011-04-01,15460926000000.00
2011-07-01,15587125000000.00
2011-10-01,15785312000000.00
2012-01-01,15973881000000.00
2012-04-01,16121851000000.00
2012-07-01,16227939000000.00
2012-10-01,16297349000000.00
2013-01-01,16475440000000.00
2013-04-01,16541390000000.00
2013-07-01,16749349000000.00
2013-10-01,16999888000000.00
2014-01-01,17031324000000.00
2014-04-01,17320921000000.00
2014-07-01,17622257000000.00
2014-10-01,17735933000000.00
2015-01-01,17874715000000.00
2015-04-01,18093224000000.00
2015-07-01,18227689000000.00
2015-10-01,18287226000000.00
2016-01-01,18325187000000.00
2016-04-01,18538039000000.00
2016-07-01,18729130000000.00
2016-10-01,18905545000000.00
2017-01-01,19057705000000.00
2017-04-01,19250009000000.00
2017-07-01,19500602000000.00
2017-10-01,19754102000000.00
2018-01-01,19960097000000.00
