Date,SUUR0000SAM2
1999-12-01,100.00
2000-01-01,100.60
2000-02-01,101.30
2000-03-01,101.70
2000-04-01,102.00
2000-05-01,102.20
2000-06-01,102.70
2000-07-01,103.10
2000-08-01,103.50
2000-09-01,103.70
2000-10-01,103.90
2000-11-01,104.10
2000-12-01,104.40
2001-01-01,105.50
2001-02-01,106.10
2001-03-01,106.50
2001-04-01,106.80
2001-05-01,107.00
2001-06-01,107.30
2001-07-01,107.50
2001-08-01,108.10
2001-09-01,108.30
2001-10-01,108.70
2001-11-01,109.10
2001-12-01,109.30
2002-01-01,110.30
2002-02-01,110.90
2002-03-01,111.30
2002-04-01,111.80
2002-05-01,112.10
2002-06-01,112.30
2002-07-01,113.20
2002-08-01,113.50
2002-09-01,113.80
2002-10-01,114.60
2002-11-01,115.10
2002-12-01,115.50
2003-01-01,115.90
2003-02-01,116.50
2003-03-01,116.60
2003-04-01,116.80
2003-05-01,117.20
2003-06-01,117.50
2003-07-01,118.00
2003-08-01,118.30
2003-09-01,118.70
2003-10-01,119.10
2003-11-01,119.60
2003-12-01,120.20
2004-01-01,121.00
2004-02-01,122.00
2004-03-01,122.60
2004-04-01,122.80
2004-05-01,123.20
2004-06-01,123.70
2004-07-01,124.10
2004-08-01,124.30
2004-09-01,124.60
2004-10-01,125.00
2004-11-01,125.50
2004-12-01,126.00
2005-01-01,126.90
2005-02-01,128.00
2005-03-01,128.60
2005-04-01,129.00
2005-05-01,129.20
2005-06-01,129.50
2005-07-01,129.90
2005-08-01,129.90
2005-09-01,130.30
2005-10-01,130.80
2005-11-01,131.40
2005-12-01,131.60
2006-01-01,132.20
2006-02-01,133.20
2006-03-01,133.80
2006-04-01,134.20
2006-05-01,134.50
2006-06-01,134.70
2006-07-01,135.10
2006-08-01,135.50
2006-09-01,135.70
2006-10-01,136.20
2006-11-01,136.70
2006-12-01,137.20
2007-01-01,138.57
2007-02-01,139.96
2007-03-01,140.42
2007-04-01,140.90
2007-05-01,141.21
2007-06-01,141.55
2007-07-01,142.25
2007-08-01,142.77
2007-09-01,143.09
2007-10-01,143.80
2007-11-01,144.26
2007-12-01,144.68
2008-01-01,145.82
2008-02-01,146.57
2008-03-01,146.69
2008-04-01,146.94
2008-05-01,147.33
2008-06-01,147.41
2008-07-01,147.70
2008-08-01,147.90
2008-09-01,147.99
2008-10-01,148.42
2008-11-01,148.63
2008-12-01,148.87
2009-01-01,149.95
2009-02-01,150.85
2009-03-01,151.11
2009-04-01,151.39
2009-05-01,151.72
2009-06-01,151.77
2009-07-01,152.13
2009-08-01,152.16
2009-09-01,152.49
2009-10-01,152.95
2009-11-01,153.25
2009-12-01,153.52
2010-01-01,154.72
2010-02-01,155.82
2010-03-01,156.17
2010-04-01,156.40
2010-05-01,156.31
2010-06-01,156.36
2010-07-01,156.42
2010-08-01,156.85
2010-09-01,157.62
2010-10-01,157.87
2010-11-01,157.93
2010-12-01,158.12
2011-01-01,158.91
2011-02-01,160.02
2011-03-01,160.18
2011-04-01,160.47
2011-05-01,160.74
2011-06-01,160.95
2011-07-01,161.29
2011-08-01,161.68
2011-09-01,162.06
2011-10-01,162.84
2011-11-01,163.42
2011-12-01,163.98
2012-01-01,164.82
2012-02-01,165.73
2012-03-01,166.16
2012-04-01,166.80
2012-05-01,167.56
2012-06-01,168.31
2012-07-01,168.86
2012-08-01,168.83
2012-09-01,169.31
2012-10-01,169.64
2012-11-01,170.00
2012-12-01,170.40
2013-01-01,171.25
2013-02-01,172.61
2013-03-01,173.01
2013-04-01,172.76
2013-05-01,172.62
2013-06-01,173.31
2013-07-01,173.50
2013-08-01,174.46
2013-09-01,175.02
2013-10-01,174.91
2013-11-01,174.74
2013-12-01,174.86
2014-01-01,175.80
2014-02-01,177.03
2014-03-01,177.38
2014-04-01,177.59
2014-05-01,177.86
2014-06-01,177.78
2014-07-01,177.86
2014-08-01,177.68
2014-09-01,177.88
2014-10-01,178.12
2014-11-01,178.62
2014-12-01,178.97
2015-01-01,179.71
2015-02-01,179.79
2015-03-01,180.65
2015-04-01,182.09
2015-05-01,182.27
2015-06-01,181.67
2015-07-01,181.74
2015-08-01,181.49
2015-09-01,182.00
2015-10-01,183.59
2015-11-01,184.21
2015-12-01,184.24
2016-01-01,185.64
2016-02-01,187.13
2016-03-01,187.26
2016-04-01,187.71
2016-05-01,188.72
2016-06-01,188.84
2016-07-01,189.51
2016-08-01,190.87
2016-09-01,190.98
2016-10-01,190.99
2016-11-01,191.34
2016-12-01,191.41
2017-01-01,192.25
2017-02-01,193.41
2017-03-01,193.39
2017-04-01,193.21
2017-05-01,193.12
2017-06-01,193.09
2017-07-01,193.42
2017-08-01,193.74
2017-09-01,193.99
2017-10-01,194.42
2017-11-01,194.27
2017-12-01,194.33
2018-01-01,195.81
2018-02-01,196.51
2018-03-01,197.10
2018-04-01,197.29
2018-05-01,197.29
